o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
1,A1,1,A1,0.0,0,"LINESTRING (115.330781 38.9541581,115.330781 38.9541581)"
1,A1,2,A2,1.762554646381119,0,"LINESTRING (115.330781 38.9541581,115.34996 38.96564)"
1,A1,3,A3,3.626719789732507,0,"LINESTRING (115.330781 38.9541581,115.37532 38.96564)"
1,A1,4,A4,5.5853990233456985,0,"LINESTRING (115.330781 38.9541581,115.40068 38.96564)"
1,A1,5,A5,7.565537411958302,0,"LINESTRING (115.330781 38.9541581,115.42604 38.96564)"
1,A1,6,A6,9.55380126852586,0,"LINESTRING (115.330781 38.9541581,115.4514 38.96564)"
1,A1,7,A7,11.545993646725597,0,"LINESTRING (115.330781 38.9541581,115.47676 38.96564)"
1,A1,8,A8,13.540380650741149,0,"LINESTRING (115.330781 38.9541581,115.50212 38.96564)"
1,A1,9,A9,15.536117124580992,0,"LINESTRING (115.330781 38.9541581,115.52748 38.96564)"
1,A1,10,A10,17.532742247447434,0,"LINESTRING (115.330781 38.9541581,115.55284 38.96564)"
1,A1,11,A11,19.529983471246297,0,"LINESTRING (115.330781 38.9541581,115.5782 38.96564)"
1,A1,12,A12,21.52766931936374,0,"LINESTRING (115.330781 38.9541581,115.60356 38.96564)"
1,A1,13,B1,0.5941582236588674,9,"LINESTRING (115.330781 38.9541581,115.3339836 38.9473372)"
1,A1,14,B2,1.2752145313768761,20,"LINESTRING (115.330781 38.9541581,115.3422762 38.942782)"
1,A1,15,B3,4.4608065202605225,1,"LINESTRING (115.330781 38.9541581,115.3833512 38.9332555)"
1,A1,16,B4,5.665246610582025,2,"LINESTRING (115.330781 38.9541581,115.3984928 38.930131)"
1,A1,17,B5,8.670594336134355,1,"LINESTRING (115.330781 38.9541581,115.4378719 38.9291894)"
1,A1,18,B6,10.268583225060135,1,"LINESTRING (115.330781 38.9541581,115.4607998 38.9467558)"
1,A1,19,B7,11.562342950223853,0,"LINESTRING (115.330781 38.9541581,115.47676 38.94028)"
1,A1,20,B8,13.554324526708394,0,"LINESTRING (115.330781 38.9541581,115.50212 38.94028)"
1,A1,21,B9,15.548271303172651,0,"LINESTRING (115.330781 38.9541581,115.52748 38.94028)"
1,A1,22,B10,17.543513214968986,0,"LINESTRING (115.330781 38.9541581,115.55284 38.94028)"
1,A1,23,B11,19.539653517795983,0,"LINESTRING (115.330781 38.9541581,115.5782 38.94028)"
1,A1,24,B12,21.536442406586982,0,"LINESTRING (115.330781 38.9541581,115.60356 38.94028)"
1,A1,25,C1,3.13207411732842,0,"LINESTRING (115.330781 38.9541581,115.3246 38.91492)"
1,A1,26,C2,2.5251077004276974,1,"LINESTRING (115.330781 38.9541581,115.3451265 38.9255267)"
1,A1,27,C3,4.680362711901516,0,"LINESTRING (115.330781 38.9541581,115.37532 38.91492)"
1,A1,28,C4,6.320552264771789,0,"LINESTRING (115.330781 38.9541581,115.40068 38.91492)"
1,A1,29,C5,8.724083898354618,1,"LINESTRING (115.330781 38.9541581,115.4333376 38.9126407)"
1,A1,30,C6,9.983280378552255,1,"LINESTRING (115.330781 38.9541581,115.4497231 38.9107629)"
1,A1,31,C7,11.919004487453996,0,"LINESTRING (115.330781 38.9541581,115.47676 38.91492)"
1,A1,32,C8,13.85981987071571,0,"LINESTRING (115.330781 38.9541581,115.50212 38.91492)"
1,A1,33,C9,15.815297467655151,0,"LINESTRING (115.330781 38.9541581,115.52748 38.91492)"
1,A1,34,C10,17.78060036661161,0,"LINESTRING (115.330781 38.9541581,115.55284 38.91492)"
1,A1,35,C11,19.752796082298683,0,"LINESTRING (115.330781 38.9541581,115.5782 38.91492)"
1,A1,36,C12,21.7300079384614,0,"LINESTRING (115.330781 38.9541581,115.60356 38.91492)"
1,A1,37,D1,5.1168222574934585,0,"LINESTRING (115.330781 38.9541581,115.3246 38.88956)"
1,A1,38,D2,5.313311519339162,0,"LINESTRING (115.330781 38.9541581,115.34996 38.88956)"
1,A1,39,D3,6.186903656377717,0,"LINESTRING (115.330781 38.9541581,115.37532 38.88956)"
1,A1,40,D4,7.504756003365708,0,"LINESTRING (115.330781 38.9541581,115.40068 38.88956)"
1,A1,41,D5,9.075353257686627,0,"LINESTRING (115.330781 38.9541581,115.42604 38.88956)"
