name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
河北大学新校区,0,158579210,,university,,,"POLYGON ((115.5552375 38.8763398, 115.5578353 38.8762572, 115.5617889 38.8759257, 115.5624724 38.8804083, 115.5642515 38.8802565, 115.5648618 38.880234, 115.5651683 38.8802879, 115.5654105 38.8804002, 115.566062 38.8810093, 115.5701512 38.880657, 115.5706583 38.8841713, 115.5557247 38.8855112, 115.5552375 38.8763398))",POINT (115.5613395 38.8813409),0.0,9643654.2,46
河北保定外国语学校,1,202380739,,school,,,"POLYGON ((115.5627163 38.8786553, 115.5623262 38.8758705, 115.5662047 38.8754738, 115.566649 38.8782629, 115.5627163 38.8786553))",POINT (115.5644756 38.8770686),0.0,1145073.7,46
,2,208011846,,yes,,,"POLYGON ((115.4629771 38.8704273, 115.4634204 38.8704348, 115.4640188 38.8709001, 115.4640106 38.8713339, 115.4631076 38.8713221, 115.463108 38.8711049, 115.4629569 38.8711033, 115.4629771 38.8704273))",POINT (115.4634515 38.8709198),7398.5,79636.9,54
万博广场,3,208011855,,yes,,,"POLYGON ((115.462937 38.8767707, 115.4627638 38.8766123, 115.4628296 38.8733938, 115.4631031 38.8731853, 115.4639978 38.8731942, 115.463893 38.8767892, 115.462937 38.8767707))",POINT (115.4633768 38.8749813),39286.2,422872.7,54
中银大厦,4,208011856,,yes,,,"POLYGON ((115.4609819 38.87223, 115.4611793 38.8723006, 115.4613143 38.8723131, 115.461548 38.8723053, 115.4617555 38.8722394, 115.4618744 38.8721045, 115.4619469 38.8719727, 115.4619751 38.8718347, 115.4619711 38.8717108, 115.4617918 38.8717155, 115.4616931 38.8716481, 115.461552 38.8716606, 115.4614876 38.8717359, 115.4614835 38.8718347, 115.4615843 38.8719037, 115.4614936 38.87199, 115.4610302 38.8719853, 115.4609516 38.8722159, 115.4609819 38.87223))",POINT (115.461526 38.8720287),3774.9,40632.6,54
燕赵国际商务中心,5,208011859,,yes,,,"POLYGON ((115.4627904 38.8714525, 115.4639587 38.8714636, 115.4639302 38.8726195, 115.4638238 38.8726835, 115.4632596 38.8726713, 115.4627809 38.8722742, 115.4627904 38.8714525))",POINT (115.4633935 38.8720292),12647.0,136131.2,54
时代商厦,6,208183942,,yes,,,"POLYGON ((115.4617534 38.8715389, 115.4621545 38.8715405, 115.4621576 38.8707522, 115.4620909 38.8706545, 115.4619536 38.8706179, 115.4614829 38.8706148, 115.461479 38.8712744, 115.461755 38.8712744, 115.4617534 38.8715389))",POINT (115.4618409 38.8710406),5218.7,56173.5,54
通信大厦,7,208183943,,yes,,,"POLYGON ((115.4568769 38.8722749, 115.4568824 38.8719791, 115.4576396 38.8719834, 115.4576396 38.8719014, 115.4577866 38.8719035, 115.4577794 38.8722818, 115.4568769 38.8722749))",POINT (115.4573476 38.8721221),2690.9,28964.3,54
山外园,8,208191039,,restaurant,,,"POLYGON ((115.4536577 38.8598352, 115.4536155 38.8597702, 115.4536194 38.8596991, 115.4536713 38.8596362, 115.4537736 38.8595985, 115.4538862 38.8596152, 115.4539628 38.8596777, 115.4539709 38.8597604, 115.4539336 38.8598351, 115.4538594 38.8598742, 115.4538492 38.8599266, 115.4539107 38.8599289, 115.4539297 38.8600268, 115.4538809 38.8600661, 115.4532425 38.8600452, 115.4532479 38.8599118, 115.4537307 38.8599243, 115.453736 38.85987, 115.4536577 38.8598352))",POINT (115.453684 38.8598752),1682.0,18105.0,54
保定学院,9,208526692,,university,,,"POLYGON ((115.5664335 38.8754447, 115.5718948 38.8749399, 115.5722048 38.8749648, 115.5723537 38.8750173, 115.5724272 38.8751188, 115.5728231 38.8778561, 115.5743533 38.877714, 115.5746631 38.8803003, 115.5777784 38.8800355, 115.5789637 38.8834251, 115.5708908 38.8841404, 115.5703787 38.8804926, 115.5690369 38.8806078, 115.5686889 38.8780849, 115.5668721 38.8782517, 115.5664335 38.8754447))",POINT (115.5723933 38.8797709),0.0,6109867.6,47
,10,208535964,,yes,,,"POLYGON ((115.4768662 38.8534954, 115.4769005 38.8534324, 115.4764573 38.85328, 115.4764197 38.8533461, 115.4768662 38.8534954))",POINT (115.4766589 38.8533878),327.9,3529.6,55
,11,208535967,,yes,,,"POLYGON ((115.4764159 38.8535056, 115.4764169 38.8534163, 115.4765962 38.8534216, 115.4765928 38.8535078, 115.4764159 38.8535056))",POINT (115.4765049 38.8534627),149.5,1608.8,55
,12,208535969,,yes,,,"POLYGON ((115.4764115 38.8536191, 115.4764154 38.8535157, 115.4773257 38.8535259, 115.4773243 38.8536269, 115.4764115 38.8536191))",POINT (115.4768674 38.8535719),898.0,9665.7,55
,13,208535971,,yes,,,"POLYGON ((115.4773261 38.8536049, 115.4776309 38.8536087, 115.4776358 38.853537, 115.4773272 38.8535345, 115.4773261 38.8536049))",POINT (115.4774805 38.8535712),208.5,2244.3,55
,14,208535973,,yes,,,"POLYGON ((115.4763277 38.8530904, 115.4763692 38.8530192, 115.4771205 38.8532734, 115.4770773 38.853344, 115.4763277 38.8530904))",POINT (115.4767237 38.8531817),614.2,6610.9,55
,15,208677393,,yes,,,"POLYGON ((115.4982523 38.8659588, 115.4982159 38.8658691, 115.498294 38.8658493, 115.4983295 38.8659413, 115.4982523 38.8659588))",POINT (115.498273 38.8659044),74.8,805.0,56
,16,208677394,,yes,,,"POLYGON ((115.498773 38.8658372, 115.4987367 38.8657476, 115.4988148 38.8657277, 115.4988503 38.8658198, 115.498773 38.8658372))",POINT (115.4987938 38.8657829),75.0,807.0,56
