poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,hospital,"1,000 Sq. Ft. GFA",1,0.97,0.1,1,0
2,recycling,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
4,bank,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
5,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
6,parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,0
7,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.6,0,1
8,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
9,library,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
10,restaurant,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
12,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
13,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,bus_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
15,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
17,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
18,industrial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
19,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
20,courthouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,0
22,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,0
