activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
1,A1,115.33078100714285,38.954158078571425,"POLYGON ((115.31192 38.95296,115.31192 38.97832,115.33728 38.97832,115.33728 38.95296,115.31192 38.95296))",POINT (115.33078100714285 38.954158078571425),11,0,0,0,0,0,0,182.13593852672,182.13593852672
2,A2,115.34996000000001,38.96563999999999,"POLYGON ((115.33728 38.95296,115.33728 38.97832,115.36264000000001 38.97832,115.36264000000001 38.95296,115.33728 38.95296))",POINT (115.34996000000001 38.96563999999999),0,0,0,0,0,0,0,0.0,0.0
3,A3,115.37532000000002,38.96563999999999,"POLYGON ((115.36264000000001 38.95296,115.36264000000001 38.97832,115.38800000000002 38.97832,115.38800000000002 38.95296,115.36264000000001 38.95296))",POINT (115.37532000000002 38.96563999999999),0,0,0,0,0,0,0,0.0,0.0
4,A4,115.40068000000002,38.96563999999999,"POLYGON ((115.38800000000002 38.95296,115.38800000000002 38.97832,115.41336000000003 38.97832,115.41336000000003 38.95296,115.38800000000002 38.95296))",POINT (115.40068000000002 38.96563999999999),0,0,0,0,0,0,0,0.0,0.0
5,A5,115.42604000000003,38.96563999999999,"POLYGON ((115.41336000000003 38.95296,115.41336000000003 38.97832,115.43872000000003 38.97832,115.43872000000003 38.95296,115.41336000000003 38.95296))",POINT (115.42604000000003 38.96563999999999),0,0,0,0,0,0,0,0.0,0.0
6,A6,115.45140000000004,38.96563999999999,"POLYGON ((115.43872000000003 38.95296,115.43872000000003 38.97832,115.46408000000004 38.97832,115.46408000000004 38.95296,115.43872000000003 38.95296))",POINT (115.45140000000004 38.96563999999999),0,0,0,0,0,0,0,0.0,0.0
7,A7,115.47676000000004,38.96563999999999,"POLYGON ((115.46408000000004 38.95296,115.46408000000004 38.97832,115.48944000000004 38.97832,115.48944000000004 38.95296,115.46408000000004 38.95296))",POINT (115.47676000000004 38.96563999999999),0,0,0,0,0,0,0,0.0,0.0
8,A8,115.50212000000005,38.96563999999999,"POLYGON ((115.48944000000004 38.95296,115.48944000000004 38.97832,115.51480000000005 38.97832,115.51480000000005 38.95296,115.48944000000004 38.95296))",POINT (115.50212000000005 38.96563999999999),0,0,0,0,0,0,0,0.0,0.0
9,A9,115.52748000000005,38.96563999999999,"POLYGON ((115.51480000000005 38.95296,115.51480000000005 38.97832,115.54016000000006 38.97832,115.54016000000006 38.95296,115.51480000000005 38.95296))",POINT (115.52748000000005 38.96563999999999),0,0,0,0,0,0,0,0.0,0.0
10,A10,115.55284000000006,38.96563999999999,"POLYGON ((115.54016000000006 38.95296,115.54016000000006 38.97832,115.56552000000006 38.97832,115.56552000000006 38.95296,115.54016000000006 38.95296))",POINT (115.55284000000006 38.96563999999999),0,0,0,0,0,0,0,0.0,0.0
11,A11,115.57820000000007,38.96563999999999,"POLYGON ((115.56552000000006 38.95296,115.56552000000006 38.97832,115.59088000000007 38.97832,115.59088000000007 38.95296,115.56552000000006 38.95296))",POINT (115.57820000000007 38.96563999999999),0,0,0,0,0,0,0,0.0,0.0
12,A12,115.60356000000007,38.96563999999999,"POLYGON ((115.59088000000007 38.95296,115.59088000000007 38.97832,115.61624000000008 38.97832,115.61624000000008 38.95296,115.59088000000007 38.95296))",POINT (115.60356000000007 38.96563999999999),0,0,0,0,0,0,0,0.0,0.0
13,B1,115.3339836282051,38.94733723333334,"POLYGON ((115.31192 38.9276,115.31192 38.95296,115.33728 38.95296,115.33728 38.9276,115.31192 38.9276))",POINT (115.3339836282051 38.94733723333334),31,0,0,0,0,0,0,519.3617598323201,519.3617598323201
14,B2,115.3422762338462,38.94278201538461,"POLYGON ((115.33728 38.9276,115.33728 38.95296,115.36264000000001 38.95296,115.36264000000001 38.9276,115.33728 38.9276))",POINT (115.3422762338462 38.94278201538461),32,0,0,0,1,0,0,1887.4338366427842,1273.02138134112
15,B3,115.38335119999999,38.93325555,"POLYGON ((115.36264000000001 38.9276,115.36264000000001 38.95296,115.38800000000002 38.95296,115.38800000000002 38.9276,115.36264000000001 38.9276))",POINT (115.38335119999999 38.93325555),0,0,0,0,0,0,0,40.0,40.0
16,B4,115.3984928375,38.9301309875,"POLYGON ((115.38800000000002 38.9276,115.38800000000002 38.95296,115.41336000000003 38.95296,115.41336000000003 38.9276,115.38800000000002 38.9276))",POINT (115.3984928375 38.9301309875),0,0,0,0,0,0,0,160.0,160.0
17,B5,115.4378719,38.9291894,"POLYGON ((115.41336000000003 38.9276,115.41336000000003 38.95296,115.43872000000003 38.95296,115.43872000000003 38.9276,115.41336000000003 38.9276))",POINT (115.4378719 38.9291894),0,0,0,0,0,0,0,20.0,20.0
18,B6,115.4607998,38.9467558,"POLYGON ((115.43872000000003 38.9276,115.43872000000003 38.95296,115.46408000000004 38.95296,115.46408000000004 38.9276,115.43872000000003 38.9276))",POINT (115.4607998 38.9467558),0,0,0,0,0,0,0,20.0,20.0
