name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
云南大学 东陆校区,0,24046824.0,,university,,,"POLYGON ((102.7027814 25.0550577, 102.7024029 25.054963, 102.7023117 25.0549402, 102.7022356 25.0549284, 102.7018669 25.054871, 102.7015599 25.0550365, 102.7014177 25.0550722, 102.7009288 25.0551949, 102.7008953 25.0556066, 102.7006773 25.0559723, 102.7002626 25.0559267, 102.7002395 25.0560124, 102.6990664 25.0558013, 102.6989956 25.0560106, 102.6987576 25.0559773, 102.6987174 25.0560612, 102.6986262 25.056405, 102.6978859 25.0562956, 102.6974899 25.0571755, 102.6973263 25.0575472, 102.6992095 25.0582873, 102.699367 25.0583492, 102.700169 25.0586775, 102.7014275 25.0591176, 102.7020798 25.0584184, 102.7023941 25.0580118, 102.7026128 25.0577371, 102.7027861 25.0573848, 102.7028506 25.0572266, 102.7025128 25.0572004, 102.7025237 25.0568341, 102.7025756 25.0564585, 102.7029773 25.0564895, 102.7030115 25.0562581, 102.703546 25.0562908, 102.703557 25.0562273, 102.7035062 25.0561501, 102.7029903 25.0557173, 102.7029153 25.0555964, 102.7028479 25.0555723, 102.7026863 25.0555236, 102.7027632 25.0551438, 102.7027814 25.0550577))",POINT (102.7005923 25.0570029),0.0,1709644.3,45
真庆观,1,37276060.0,,place_of_worship,,,"POLYGON ((102.7242334 25.037899, 102.7242396 25.0366608, 102.7249266 25.0366636, 102.7249188 25.0381899, 102.724574 25.0381884, 102.7245755 25.0379004, 102.7242334 25.037899))",POINT (102.7245974 25.0373611),10607.2,114175.2,59
新西南商城,2,37276068.0,,retail,,,"POLYGON ((102.7128999 25.0448425, 102.7130869 25.0449238, 102.7132785 25.0449458, 102.7135051 25.0449389, 102.7136891 25.0448838, 102.7136861 25.0449169, 102.7139081 25.0449348, 102.7139294 25.04487, 102.7139796 25.0448315, 102.7140541 25.0448163, 102.7140708 25.0444567, 102.7138122 25.0444317, 102.7137074 25.0444264, 102.7135743 25.0444391, 102.7135219 25.0443148, 102.7132223 25.0443052, 102.7129333 25.0440985, 102.7127142 25.0440877, 102.712687 25.0443162, 102.7126809 25.0445036, 102.7127676 25.0447185, 102.7128999 25.0448425))",POINT (102.7133161 25.0445809),8955.7,96398.6,45
云南美术馆,3,37356952.0,,yes,,,"POLYGON ((102.70262 25.0405871, 102.7026951 25.0406988, 102.7029794 25.0404801, 102.7028936 25.0403392, 102.702856 25.040169, 102.702915 25.0400184, 102.7030223 25.0398726, 102.7026468 25.0395907, 102.7025556 25.0396539, 102.7027595 25.0398191, 102.7026575 25.0400815, 102.702443 25.0400815, 102.7024162 25.0402274, 102.7026415 25.0402711, 102.7027541 25.0404655, 102.70262 25.0405871))",POINT (102.7027542 25.0401457),2935.4,31596.5,58
云南日报社,4,37594902.0,,yes,,,"POLYGON ((102.691977 25.0383659, 102.6920628 25.0375883, 102.6928997 25.0376077, 102.6928997 25.0383854, 102.691977 25.0383659))",POINT (102.6924593 25.0379931),7654.7,82394.5,57
篆新农贸市场,5,37594906.0,,yes,,,"POLYGON ((102.6904188 25.0396764, 102.6905501 25.038941, 102.6912045 25.038813, 102.6911401 25.0407377, 102.6907865 25.0406087, 102.6903248 25.0399018, 102.6904188 25.0396764))",POINT (102.6908366 25.0397193),13251.5,142637.9,57
圆通寺,6,40089822.0,,place_of_worship,,,"POLYGON ((102.7100175 25.0532472, 102.7101516 25.0541706, 102.7098834 25.054224, 102.7101463 25.0555215, 102.7102643 25.0555653, 102.7105915 25.0555458, 102.7107382 25.0555003, 102.7108375 25.0554195, 102.7109992 25.0552397, 102.7108007 25.0543893, 102.7105915 25.0544281, 102.7103662 25.0532181, 102.7102042 25.0532358, 102.7100175 25.0532472))",POINT (102.7103947 25.0545917),16436.4,176919.3,45
会泽院,7,41417902.0,,university,,,"POLYGON ((102.7016991 25.0559177, 102.7017157 25.0556652, 102.7025206 25.0557085, 102.702504 25.055961, 102.7016991 25.0559177))",POINT (102.7021098 25.0558131),2273.6,24473.2,45
熊庆来李广田故居,8,41709337.0,,yes,,,"POLYGON ((102.7023072 25.0562888, 102.7023178 25.0562018, 102.7028242 25.0562523, 102.7028137 25.0563394, 102.7023072 25.0562888))",POINT (102.7025658 25.0562706),496.2,5340.6,45
至公堂,9,41709366.0,,yes,,,"POLYGON ((102.7019399 25.0565431, 102.7019659 25.0563812, 102.7022203 25.0564147, 102.7021943 25.0565766, 102.7019399 25.0565431))",POINT (102.7020801 25.0564789),470.4,5062.9,45
档案馆,10,41709379.0,,yes,,,"POLYGON ((102.7021511 25.0571125, 102.7021417 25.0572618, 102.7020016 25.0572528, 102.7020132 25.0571041, 102.7021511 25.0571125))",POINT (102.7020769 25.057183),232.7,2504.2,45
云南大学图书馆,11,41709385.0,,school,,,"POLYGON ((102.6998805 25.0577953, 102.7000445 25.0573092, 102.700539 25.057446, 102.7003751 25.0579322, 102.6998805 25.0577953))",POINT (102.7002098 25.0576207),2933.5,31575.8,45
云南民族大学,12,41712747.0,,university,,,"POLYGON ((102.7005359 25.0614671, 102.7009905 25.0605159, 102.7015256 25.0596618, 102.7017952 25.0596375, 102.7025556 25.0607989, 102.7025449 25.0616542, 102.7022499 25.0621498, 102.7014211 25.0626115, 102.7009409 25.0618729, 102.7005359 25.0614671))",POINT (102.7016442 25.0611661),41667.5,448505.0,45
,13,42408079.0,,fountain,,,"POLYGON ((102.623039 25.0210545, 102.623039 25.02114, 102.6230905 25.0212178, 102.6231763 25.0212645, 102.6232793 25.0212956, 102.6233823 25.0212723, 102.6234682 25.0212178, 102.6235111 25.0211167, 102.6235025 25.0210312, 102.623451 25.0209378, 102.623348 25.0208756, 102.6232364 25.0208756, 102.623142 25.0208989, 102.6230647 25.0209534, 102.623039 25.0210545))",POINT (102.6232728 25.0210803),1744.8,18781.1,67
昆明西北部客运站,14,45009013.0,,bus_station,,,"POLYGON ((102.6635639 25.0965634, 102.6634537 25.0960314, 102.6635607 25.0960132, 102.663516 25.0957973, 102.6637119 25.095764, 102.6638669 25.0965119, 102.6635639 25.0965634))",POINT (102.6636553 25.096192),2352.8,25324.9,17
昆明西部客运站,15,53261442.0,,bus_station,,,"POLYGON ((102.6391482 25.0409516, 102.640028 25.0406016, 102.6388263 25.038016, 102.6386199 25.0380787, 102.6380109 25.0383076, 102.6391482 25.0409516))",POINT (102.6390105 25.039487),28986.1,312003.1,55
正义坊购物中心,16,72372940.0,,yes,,,"POLYGON ((102.7077602 25.0446746, 102.7078234 25.0439448, 102.7079081 25.0439003, 102.70793 25.0436096, 102.7078622 25.0435314, 102.7078695 25.0426853, 102.7081456 25.0426959, 102.7082806 25.0428408, 102.7084094 25.0427791, 102.7083678 25.0444098, 102.7082403 25.0446554, 102.7078354 25.0446716, 102.7077602 25.0446746))",POINT (102.708107 25.0437061),11409.1,122806.3,45
筇竹寺,17,122518526.0,,place_of_worship,,,"POLYGON ((102.6228514 25.0689062, 102.6229538 25.0686468, 102.6231477 25.0687096, 102.6230454 25.068969, 102.6228514 25.0689062))",POINT (102.6229996 25.0688079),635.1,6836.0,28
,18,140006224.0,,warehouse,,,"POLYGON ((102.7825752 25.0154197, 102.7816778 25.015214, 102.7814951 25.0158685, 102.7812053 25.0158021, 102.7811706 25.0159264, 102.7816338 25.0160325, 102.7815931 25.0161784, 102.7819582 25.0162621, 102.7820007 25.0161099, 102.7823583 25.0161919, 102.7825752 25.0154197))",POINT (102.7819706 25.0157435),9340.2,100536.9,75
,19,140006230.0,,yes,,,"POLYGON ((102.806683 24.9798269, 102.806223 24.9798287, 102.8062282 24.9808959, 102.8066882 24.980894, 102.806683 24.9798269))",POINT (102.8064556 24.9803614),5484.6,59035.5,89
,20,140006231.0,,yes,,,"POLYGON ((102.7836015 25.0181308, 102.7833717 25.0179452, 102.782777 25.0185498, 102.7830067 25.0187353, 102.7836015 25.0181308))",POINT (102.7831892 25.0183403),2783.9,29965.8,75
,21,140006233.0,,yes,,,"POLYGON ((102.8066723 24.9797074, 102.8066772 24.9788405, 102.8062063 24.9788384, 102.8062014 24.9797052, 102.8066723 24.9797074))",POINT (102.8064393 24.9792729),4557.7,49059.2,102
,22,140006236.0,,yes,,,"POLYGON ((102.8246673 24.9883553, 102.8241702 24.9882671, 102.8238986 24.9895957, 102.8227864 24.9895074, 102.8227249 24.9899534, 102.8243752 24.990102, 102.8244162 24.9896839, 102.8246673 24.9883553))",POINT (102.8239176 24.9894048),16094.7,173241.5,90
,23,218148402.0,,train_station,,,"POLYGON ((102.7198842 25.0173821, 102.7193569 25.0173372, 102.7193853 25.0170637, 102.7214155 25.0172367, 102.7213886 25.0174954, 102.7208563 25.01745, 102.7207332 25.0186363, 102.7211519 25.018672, 102.7211178 25.0190005, 102.7204058 25.0189399, 102.7203791 25.0191969, 102.7199793 25.0191628, 102.720007 25.0188952, 102.7193953 25.0188431, 102.7192077 25.0188271, 102.719239 25.018526, 102.7197608 25.0185704, 102.7198842 25.0173821))",POINT (102.7202905 25.0180787),27022.3,290865.2,72
沃尔玛,24,218341175.0,,supermarket,,,"POLYGON ((102.7281542 25.0159218, 102.7297918 25.0163135, 102.7295705 25.0171031, 102.729181 25.0170081, 102.7291538 25.0170992, 102.7280896 25.0168504, 102.7282542 25.0162797, 102.7280611 25.0162315, 102.7281542 25.0159218))",POINT (102.7288966 25.0165446),15536.8,167236.8,72
苏家塘政法小区,25,226513752.0,,apartments,,,"POLYGON ((102.6874329 25.0653183, 102.6872076 25.0649685, 102.6873471 25.0648421, 102.6881732 25.0648324, 102.6874329 25.0653183))",POINT (102.6875983 25.065005),2637.0,28384.9,31
,26,234066199.0,,apartments,,,"POLYGON ((102.7044654 25.0269316, 102.7042213 25.0268538, 102.704173 25.0269559, 102.7044144 25.0270361, 102.7044654 25.0269316))",POINT (102.7043191 25.0269445),324.3,3490.5,58
,27,234066200.0,,apartments,,,"POLYGON ((102.7023909 25.0277889, 102.7024457 25.0278261, 102.7023863 25.0278977, 102.7023311 25.0278609, 102.702315 25.0278828, 102.7021966 25.0278026, 102.7022138 25.027779, 102.7021722 25.0277505, 102.7022287 25.0276753, 102.7022761 25.0277083, 102.7023392 25.0276276, 102.7024545 25.0277127, 102.7023909 25.0277889))",POINT (102.7023228 25.0277653),477.0,5134.0,58
,28,234066201.0,,apartments,,,"POLYGON ((102.7053899 25.0271095, 102.705325 25.0270233, 102.7052783 25.027059, 102.7052521 25.0270297, 102.7051228 25.0271265, 102.7051464 25.0271575, 102.705112 25.0271875, 102.7051791 25.0272544, 102.7053899 25.0271095))",POINT (102.7052427 25.0271321),369.9,3981.8,58
,29,234066202.0,,apartments,,,"POLYGON ((102.7059245 25.0270652, 102.7056392 25.0270187, 102.7056571 25.0269139, 102.7056938 25.0269218, 102.7056989 25.0268751, 102.7059084 25.0269073, 102.7059003 25.0269607, 102.7059459 25.0269607, 102.7059245 25.0270652))",POINT (102.7057936 25.0269716),452.7,4872.9,58
,30,234066203.0,,apartments,,,"POLYGON ((102.6999877 25.0271328, 102.6998402 25.0270016, 102.6997785 25.0270356, 102.6997436 25.0270088, 102.699588 25.0271352, 102.6996757 25.027234, 102.6997248 25.0271936, 102.6998294 25.027196, 102.6998769 25.0272437, 102.6999877 25.0271328))",POINT (102.6997901 25.0271237),618.3,6655.4,58
,31,234066204.0,,apartments,,,"POLYGON ((102.7028792 25.0272284, 102.7028775 25.027126, 102.702612 25.0271284, 102.7026078 25.0272313, 102.7028792 25.0272284))",POINT (102.702744 25.0271787),308.9,3325.1,58
,32,234066205.0,,apartments,,,"POLYGON ((102.7025735 25.0272259, 102.7025682 25.0271334, 102.7023648 25.0271345, 102.7023732 25.0272321, 102.7025735 25.0272259))",POINT (102.702469 25.0271814),213.9,2302.8,58
,33,234066206.0,,apartments,,,"POLYGON ((102.7018438 25.0279348, 102.7017909 25.0278942, 102.7018599 25.027823, 102.7017553 25.0277452, 102.7016856 25.0278149, 102.7015968 25.0277528, 102.7016614 25.0276796, 102.701546 25.0276019, 102.701479 25.0276723, 102.7014012 25.0276213, 102.7014514 25.0275548, 102.7013315 25.0274682, 102.7012809 25.0275332, 102.7012339 25.0275033, 102.7012073 25.027539, 102.701187 25.02757, 102.7012352 25.0276022, 102.7012035 25.0276436, 102.7012542 25.0276873, 102.7013181 25.0277088, 102.7013395 25.0276869, 102.7014173 25.0277404, 102.7013977 25.0277687, 102.7014487 25.0278246, 102.7015156 25.0278482, 102.7015326 25.0278303, 102.7016123 25.0278878, 102.7015863 25.0279178, 102.7016364 25.0279728, 102.7017223 25.0279972, 102.7017445 25.0279786, 102.701782 25.0280034, 102.7018438 25.0279348))",POINT (102.7015293 25.0277431),1418.5,15269.1,58
