poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,bungalow,"1,000 Sq. Ft. GFA",1,0.1,0.99,0,1
2,car_rental,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,clinic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
4,greenhouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
5,college,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
6,office,"1,000 Sq. Ft. GFA",1,1.15,0.1,1,0
7,student accomodation,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,planetarium,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
9,faculty,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
10,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,pet_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
12,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
13,hall,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,tower,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
15,childcare,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,0
16,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,0
17,boathouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
18,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,0
19,sports,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,grandstand,"1,000 Sq. Ft. GFA",1,0.1,0.15,0,1
22,arts_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
23,sports_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
24,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,detached,"1,000 Sq. Ft. GFA",1,0.1,0.99,0,1
26,manufacture,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
27,station_building,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
28,nursing_home,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
29,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
30,ferry_terminal,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
31,archive,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
32,collapsed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
33,Ascot Vale Uniting Church,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,bar,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
35,allotments,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
36,theatre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
37,cafe,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
38,social_facility,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,industrial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
40,parking_space,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
41,social_services,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
42,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.6,0,1
43,marketplace,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
44,restaurant,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
45,waste_transfer_station;recycling,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
46,train_station,"1,000 Sq. Ft. GFA",1,1.72,0.1,1,0
47,brothel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
48,taxi,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
49,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
50,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
51,prison,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
52,pub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
53,conference_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
54,semidetached_house,"1,000 Sq. Ft. GFA",1,0.1,0.99,0,1
55,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
56,fast_food,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
57,service,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,0
58,kindergarten,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,0
59,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
60,garage,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
61,doctors,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
62,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
63,church,"1,000 Sq. Ft. GFA",1,0.49,0.1,1,0
64,gymnasium,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
65,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
66,club_house,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
67,supermarket,"1,000 Sq. Ft. GFA",1,9.24,0.1,1,0
68,no,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
69,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
70,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
71,bus_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
72,vehicle_inspection,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
73,garages,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
74,casino,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
75,religious,"1,000 Sq. Ft. GFA",1,0.49,0.1,1,0
76,silo,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
77,public_building,"1,000 Sq. Ft. GFA",1,0.11,0.1,1,0
78,swimming_pool,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
