activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
1,A1,144.86767506875,-37.767135393749996,"POLYGON ((144.85632 -37.773720000000004,144.85632 -37.76104,144.869 -37.76104,144.869 -37.773720000000004,144.85632 -37.773720000000004))",POINT (144.86767506875 -37.767135393749996),0,0,0,0,0,0,0,320.0,320.0
2,A2,144.87623981374998,-37.771359145000005,"POLYGON ((144.869 -37.773720000000004,144.869 -37.76104,144.88168 -37.76104,144.88168 -37.773720000000004,144.869 -37.773720000000004))",POINT (144.87623981374998 -37.771359145000005),5,0,0,0,0,2,0,1611.9013972401922,1594.130288808896
3,A3,144.88855974626867,-37.77049849850747,"POLYGON ((144.88168 -37.773720000000004,144.88168 -37.76104,144.89435999999998 -37.76104,144.89435999999998 -37.773720000000004,144.88168 -37.773720000000004))",POINT (144.88855974626867 -37.77049849850747),35,3,0,2,3,10,0,3971.1556276261435,1448.792800357824
4,A4,144.90120639487168,-37.76964446923078,"POLYGON ((144.89435999999998 -37.773720000000004,144.89435999999998 -37.76104,144.90703999999997 -37.76104,144.90703999999997 -37.773720000000004,144.89435999999998 -37.773720000000004))",POINT (144.90120639487168 -37.76964446923078),28,0,0,1,0,9,0,1144.580779909338,1068.9937594081923
5,A5,144.91396003603606,-37.76995544594594,"POLYGON ((144.90703999999997 -37.773720000000004,144.90703999999997 -37.76104,144.91971999999996 -37.76104,144.91971999999996 -37.773720000000004,144.90703999999997 -37.773720000000004))",POINT (144.91396003603606 -37.76995544594594),35,15,1,0,2,3,0,1827.9308379530942,1624.7467551642374
6,A6,144.92507331313874,-37.76913731167884,"POLYGON ((144.91971999999996 -37.773720000000004,144.91971999999996 -37.76104,144.93239999999994 -37.76104,144.93239999999994 -37.773720000000004,144.91971999999996 -37.773720000000004))",POINT (144.92507331313874 -37.76913731167884),79,5,0,4,0,14,0,3075.512223536954,1805.8380469235067
7,A7,144.9403320018868,-37.76984321981133,"POLYGON ((144.93239999999994 -37.773720000000004,144.93239999999994 -37.76104,144.94507999999993 -37.76104,144.94507999999993 -37.773720000000004,144.93239999999994 -37.773720000000004))",POINT (144.9403320018868 -37.76984321981133),24,1,0,0,4,4,0,2169.8636182796863,1758.6018022972676
8,A8,144.95278675578223,-37.77055419251699,"POLYGON ((144.94507999999993 -37.773720000000004,144.94507999999993 -37.76104,144.95775999999992 -37.76104,144.95775999999992 -37.773720000000004,144.94507999999993 -37.773720000000004))",POINT (144.95278675578223 -37.77055419251699),104,3,5,2,4,12,0,2427.270239746367,1744.5383947869825
9,A9,144.96225346969698,-37.77111046277058,"POLYGON ((144.95775999999992 -37.773720000000004,144.95775999999992 -37.76104,144.9704399999999 -37.76104,144.9704399999999 -37.773720000000004,144.95775999999992 -37.773720000000004))",POINT (144.96225346969698 -37.77111046277058),158,3,0,4,8,20,0,3359.157602658655,2201.111032460469
10,A10,144.97771734510866,-37.76924132989131,"POLYGON ((144.9704399999999 -37.773720000000004,144.9704399999999 -37.76104,144.9831199999999 -37.76104,144.9831199999999 -37.773720000000004,144.9704399999999 -37.773720000000004))",POINT (144.97771734510866 -37.76924132989131),93,17,3,0,1,7,0,2078.4314029199554,2014.3124678371778
11,A11,144.98873822564104,-37.7693991863248,"POLYGON ((144.9831199999999 -37.773720000000004,144.9831199999999 -37.76104,144.9957999999999 -37.76104,144.9957999999999 -37.773720000000004,144.9831199999999 -37.773720000000004))",POINT (144.98873822564104 -37.7693991863248),68,1,0,0,0,4,0,1419.7291728729406,1408.6465107942654
12,A12,144.9994421103226,-37.769823575913996,"POLYGON ((144.9957999999999 -37.773720000000004,144.9957999999999 -37.76104,145.00847999999988 -37.76104,145.00847999999988 -37.773720000000004,144.9957999999999 -37.773720000000004))",POINT (144.9994421103226 -37.769823575913996),385,0,1,0,3,74,0,3441.2486796390363,2762.7307333786835
