name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,123566421,,,0,,,,116.3255287,39.8950505,,,
,1,123566444,,,0,,,,116.3296951,39.8950338,,,
,2,124170974,,,0,,,,116.3350278,39.8963004,,,
,3,124171932,traffic_signals,,1,,,,116.3230845,39.8959802,5,,
,4,124186353,,,0,,,,116.3231135,39.8924996,,,
,5,245111942,motorway_junction,,0,,,,116.3395458,39.896547,,,
,6,245113520,,,0,,,,116.3175965,39.8958447,,,
,7,245113523,,,0,,,,116.3241015,39.8958251,,,
,8,245113526,,,0,,,,116.3057716,39.89582,,,
,9,245113527,,,0,,,,116.312675,39.8958413,,,
,10,245114442,traffic_signals,,1,,,,116.3230807,39.8955231,0,,
,11,270146881,,,0,,,,116.2771404,39.8950176,,,
,12,276093739,,,0,,,,116.3218735,39.8942605,,,
,13,276093756,,,0,,,,116.3115355,39.8936711,,,
,14,276093759,,,0,,,,116.3203811,39.8938701,,,
,15,276094598,,,0,,,,116.302805,39.8958161,,,
,16,320900425,,,0,,,,116.2871165,39.8958072,,,
,17,320900426,,,0,,,,116.2910609,39.8958104,,,
,18,320900545,,,0,,,,116.2871145,39.8956855,,,
,19,320900546,,,0,,,,116.2910536,39.8956869,,,
,20,320900795,,,0,,,,116.2799154,39.8957976,,,
,21,320902254,traffic_signals,,1,,,,116.2889062,39.8959541,8,,
,22,320902255,traffic_signals,,1,,,,116.2844921,39.8960101,2,,
,23,320902259,traffic_signals,,1,,,,116.2773415,39.8959914,3,,
,24,320902599,,,0,,,,116.2752439,39.8956725,,,
,25,320902600,,,0,,,,116.2799134,39.8956894,,,
,26,320902672,,,0,,,,116.2752328,39.895793,,,
,27,325031339,,,0,,,,116.277117,39.8948141,,,
,28,325031342,,,0,,,,116.2813806,39.8947016,,,
,29,325031382,,,0,,,,116.30339,39.8940676,,,
,30,325031383,,,0,,,,116.3038086,39.8941181,,,
,31,325683420,,,0,,,,116.3032146,39.896399,,,
,32,325683424,,,0,,,,116.3029256,39.89603,,,
,33,325684672,,,0,,,,116.3175912,39.8957175,,,
,34,325684675,,,0,,,,116.3240971,39.895658,,,
,35,325684678,,,0,,,,116.3350399,39.8961693,,,
,36,325684679,,,0,,,,116.3396015,39.8964122,,,
,37,325684680,,,0,,,,116.3402702,39.8964426,,,
,38,325685077,,,0,,,,116.3126782,39.8957091,,,
,39,325685528,,,0,,,,116.3027955,39.8956663,,,
,40,325912918,,,0,,,,116.3148864,39.8959695,,,
,41,325912923,,,0,,,,116.3204094,39.8959272,,,
,42,325913406,,,0,,,,116.3082255,39.8959155,,,
,43,325913416,,,0,,,,116.3057085,39.8959589,,,
,44,325913420,,,0,,,,116.3053492,39.8963949,,,
,45,325914358,,,0,,,,116.3153616,39.8959717,,,
,46,325915598,,,0,,,,116.3080319,39.8954646,,,
,47,325915627,,,0,,,,116.3006588,39.895511,,,
,48,325915643,,,0,,,,116.3088759,39.8955483,,,
,49,333162930,,,0,,,,116.2728526,39.8956485,,,
,50,353344131,,,0,,,,116.3312135,39.8917108,,,
,51,353344135,,,0,,,,116.3285092,39.891724,,,
,52,353344136,,,0,,,,116.3284361,39.8942783,,,
,53,387156770,,,0,,,,116.2960274,39.8959752,,,
,54,467702156,,,0,,,,116.3341729,39.8959669,,,
,55,467702157,,,0,,,,116.3339357,39.8945439,,,
,56,467702760,,,0,,,,116.3333708,39.8910758,,,
,57,529690767,,,0,,,,116.3106949,39.895954,,,
,58,529697168,traffic_signals,,1,,,,116.336336,39.8964873,1,,
,59,530642360,,,0,,,,116.3399427,39.8967061,,,
,60,534312883,,,0,,,,116.3145781,39.8897587,,,
,61,534312987,,,0,,,,116.2967308,39.8907021,,,
,62,534313347,,,0,,,,116.2889507,39.8898639,,,
,63,534313468,,,0,,,,116.3013933,39.8925354,,,
,64,534313702,,,0,,,,116.2931378,39.8898801,,,
,65,604705371,,,0,,,,116.3051982,39.8958244,,,
,66,604708860,,,0,,,,116.3029362,39.8949498,,,
,67,604709051,,,0,,,,116.3057019,39.8949614,,,
,68,604716649,,,0,,,,116.3040165,39.8943028,,,
,69,604716650,,,0,,,,116.3040124,39.8925564,,,
,70,604723347,traffic_signals,,1,,,,116.2774229,39.8959104,3,,
,71,604724649,,,0,,,,116.3047511,39.8947563,,,
,72,604724789,,,0,,,,116.3038618,39.8947535,,,
,73,604732753,,,0,,,,116.3045542,39.8943055,,,
,74,604746890,,,0,,,,116.304021,39.890188,,,
,75,604747002,,,0,,,,116.3013796,39.8901944,,,
,76,754514767,,,0,,,,116.3407399,39.8927113,,,
,77,754514984,,,0,,,,116.341722,39.8897118,,,
,78,754515157,,,0,,,,116.341885,39.8893725,,,
,79,754515343,,,0,,,,116.3256215,39.8896926,,,
,80,754515574,,,0,,,,116.3287176,39.8896823,,,
,81,754515844,,,0,,,,116.3398459,39.8910773,,,
,82,754515877,,,0,,,,116.3283916,39.896122,,,
,83,754515929,,,0,,,,116.321306,39.8959991,,,
,84,754516069,,,0,,,,116.3283373,39.8973045,,,
,85,754516528,,,0,,,,116.3254448,39.8917206,,,
,86,754516614,,,0,,,,116.3196484,39.8962465,,,
,87,754516750,,,0,,,,116.3412961,39.8964442,,,
,88,754516787,,,0,,,,116.3404962,39.8907428,,,
,89,754516997,,,0,,,,116.3172889,39.8968776,,,
,90,754517036,,,0,,,,116.3420996,39.8947987,,,
,91,754517077,,,0,,,,116.340291,39.8896737,,,
,92,754517160,,,0,,,,116.3287182,39.8898823,,,
,93,754517182,,,0,,,,116.3148065,39.8908271,,,
,94,754517188,,,0,,,,116.3261949,39.897254,,,
,95,754517218,,,0,,,,116.3152308,39.8969272,,,
,96,1038282436,,,0,,,,116.3057817,39.8956804,,,
,97,1099882757,,,0,,,,116.3206085,39.8944349,,,
,98,1099882770,,,0,,,,116.3210993,39.8936286,,,
,99,1099882785,,,0,,,,116.3240506,39.8947119,,,
,100,1099882788,,,0,,,,116.3236509,39.894897,,,
,101,1099882792,,,0,,,,116.3207169,39.8943897,,,
,102,1099882857,,,0,,,,116.3212386,39.8940544,,,
,103,1099882913,,,0,,,,116.3212092,39.8944657,,,
,104,1099882938,,,0,,,,116.324855,39.895043,,,
,105,1099882941,,,0,,,,116.3196982,39.8936523,,,
,106,1099882970,,,0,,,,116.3216788,39.8939692,,,
,107,1099882979,,,0,,,,116.324207,39.8949959,,,
,108,1099882989,,,0,,,,116.3208507,39.8942555,,,
,109,1099883023,,,0,,,,116.3238932,39.8948858,,,
,110,1099883054,,,0,,,,116.3214716,39.8945432,,,
,111,1099883057,,,0,,,,116.3203532,39.8934829,,,
,112,1099883072,,,0,,,,116.3169916,39.8937128,,,
,113,1099883075,,,0,,,,116.3223733,39.8942598,,,
,114,1099883107,,,0,,,,116.3228155,39.8947075,,,
,115,1099883128,,,0,,,,116.3202927,39.8941593,,,
,116,1099883131,,,0,,,,116.3212611,39.8940171,,,
,117,1099883154,,,0,,,,116.3223954,39.8942175,,,
,118,1099883165,,,0,,,,116.3239831,39.8948372,,,
,119,1099883170,,,0,,,,116.3221487,39.8946027,,,
,120,1099883171,,,0,,,,116.3218316,39.8944444,,,
,121,1099883187,,,0,,,,116.3215157,39.8944563,,,
,122,1099883221,,,0,,,,116.3205125,39.8944183,,,
,123,1099883232,,,0,,,,116.323615,39.8948409,,,
,124,1099883247,,,0,,,,116.3230645,39.8948111,,,
,125,1099883293,,,0,,,,116.3202246,39.8943612,,,
,126,1099883307,,,0,,,,116.320417,39.8933093,,,
,127,1099883317,,,0,,,,116.3210023,39.8937093,,,
,128,1099883322,,,0,,,,116.3210761,39.8943802,,,
,129,1099883334,,,0,,,,116.3223343,39.8945986,,,
,130,1099883337,,,0,,,,116.3210633,39.8942051,,,
,131,1099883348,,,0,,,,116.3195217,39.8943185,,,
,132,1099883350,,,0,,,,116.3219096,39.8943276,,,
,133,1099883352,,,0,,,,116.3217232,39.8939351,,,
,134,1101153987,,,0,,,,116.3078882,39.8942549,,,
,135,1101153993,,,0,,,,116.3097605,39.8938332,,,
,136,1101153994,,,0,,,,116.3109185,39.8933092,,,
,137,1101153997,,,0,,,,116.3115545,39.8937213,,,
,138,1101154001,,,0,,,,116.3075416,39.8940274,,,
,139,1101154003,,,0,,,,116.309701,39.8942005,,,
,140,1101154004,,,0,,,,116.3084366,39.8942065,,,
,141,1101154011,,,0,,,,116.3120672,39.8931875,,,
,142,1101154021,,,0,,,,116.3107818,39.8933949,,,
,143,1101154022,,,0,,,,116.3103748,39.8937803,,,
,144,1101154025,,,0,,,,116.3103805,39.8937316,,,
,145,1101154036,,,0,,,,116.3097718,39.8938779,,,
,146,1101154042,,,0,,,,116.3096856,39.8938041,,,
,147,1101154047,,,0,,,,116.3075737,39.894069,,,
,148,1101154048,,,0,,,,116.3078238,39.8940164,,,
,149,1101154049,,,0,,,,116.3108859,39.8932716,,,
,150,1101154064,,,0,,,,116.3109216,39.8935891,,,
,151,1101154069,,,0,,,,116.3114798,39.8935948,,,
,152,1101154070,,,0,,,,116.3097776,39.8941431,,,
,153,1101154076,,,0,,,,116.3097078,39.8936513,,,
,154,1101154077,,,0,,,,116.3102563,39.8936643,,,
,155,1101154081,,,0,,,,116.3109402,39.8936336,,,
,156,1101154082,,,0,,,,116.3120344,39.8936922,,,
,157,1101154083,,,0,,,,116.3089633,39.8942065,,,
,158,1101154085,,,0,,,,116.3113786,39.893921,,,
,159,1101154101,,,0,,,,116.3108506,39.8939983,,,
,160,1101154106,,,0,,,,116.3108961,39.8942643,,,
,161,1101154120,,,0,,,,116.3083683,39.8939644,,,
,162,1101154121,,,0,,,,116.3082811,39.8940641,,,
,163,1101154122,,,0,,,,116.3055244,39.8940685,,,
,164,1101154127,,,0,,,,116.3103597,39.8936899,,,
,165,1101154133,,,0,,,,116.31074,39.8939568,,,
,166,1101154136,,,0,,,,116.3101411,39.8942043,,,
,167,1101154143,,,0,,,,116.307413,39.893978,,,
,168,1101154145,,,0,,,,116.3103318,39.8934672,,,
,169,1101163261,,,0,,,,116.3167513,39.8955497,,,
,170,1101169133,motorway_junction,,0,,,,116.3262314,39.8958692,,,
,171,1101169134,,,0,,,,116.3387167,39.8966018,,,
,172,1101169139,,,0,,,,116.3217557,39.8957015,,,
,173,1101169140,,,0,,,,116.3262654,39.895686,,,
,174,1101169141,,,0,,,,116.3388614,39.8962184,,,
,175,1101169142,,,0,,,,116.3255007,39.8955263,,,
,176,1101169143,,,0,,,,116.3217413,39.8958424,,,
,177,1101169147,traffic_signals,,1,,,,116.3363077,39.8960874,9,,
,178,1101169148,,,0,,,,116.3254647,39.8959967,,,
,179,1101169152,,,0,,,,116.3419842,39.8958835,,,
,180,1101169154,,,0,,,,116.3204461,39.8955514,,,
,181,1181931686,,,0,,,,116.2815219,39.8945715,,,
,182,1189099857,,,0,,,,116.317287,39.8959602,,,
,183,1189099860,,,0,,,,116.3152356,39.8972217,,,
,184,1189099869,,,0,,,,116.3154694,39.890809,,,
,185,1189099877,,,0,,,,116.3150816,39.8966219,,,
,186,1189099884,,,0,,,,116.3150973,39.8972202,,,
,187,1189161274,,,0,,,,116.3040106,39.8942501,,,
,188,1189161285,,,0,,,,116.2775292,39.8950155,,,
,189,1189161290,,,0,,,,116.2937628,39.8910534,,,
,190,1189161346,,,0,,,,116.2893674,39.8929903,,,
,191,1189161396,,,0,,,,116.2892669,39.893669,,,
,192,1189161444,,,0,,,,116.2886126,39.893005,,,
,193,1189161449,,,0,,,,116.2775139,39.8948122,,,
,194,1189161455,,,0,,,,116.2886562,39.8935705,,,
,195,1190368467,motorway_junction,,0,,,,116.3303989,39.8960654,,,
,196,1190368468,,,0,,,,116.330037,39.8962059,,,
,197,1291613252,,,0,,,,116.3176659,39.8919932,,,
,198,1410718528,traffic_signals,,1,,,,116.3229678,39.8955241,0,,
,199,1410718529,,,0,,,,116.3218843,39.8957031,,,
,200,1410718530,,,0,,,,116.3218844,39.8958433,,,
,201,1410718531,traffic_signals,,1,,,,116.3229655,39.8959795,5,,
,202,1410728778,motorway_junction,,0,,,,116.3043727,39.8942801,,,
,203,1410728779,,,0,,,,116.3041971,39.8942798,,,
,204,1410728796,,,0,,,,116.3022096,39.8950714,,,
,205,1410728798,,,0,,,,116.3027706,39.8950777,,,
,206,1410728800,,,0,,,,116.3030636,39.8950811,,,
,207,1410728808,,,0,,,,116.3060387,39.8950947,,,
,208,1410728810,,,0,,,,116.3058638,39.8950955,,,
,209,1410728812,,,0,,,,116.3055091,39.8950971,,,
,210,1410728815,,,0,,,,116.3045183,39.8953098,,,
,211,1410728816,,,0,,,,116.3067417,39.8950807,,,
,212,1410728825,,,0,,,,116.3066743,39.8951634,,,
,213,1410728863,,,0,,,,116.3022049,39.895669,,,
,214,1410728865,,,0,,,,116.3006322,39.895671,,,
,215,1410728867,,,0,,,,116.3074481,39.8956747,,,
,216,1410728869,,,0,,,,116.3061097,39.8956854,,,
,217,1410728871,,,0,,,,116.3033899,39.8958152,,,
,218,1410728873,motorway_junction,,0,,,,116.2998802,39.8958104,,,
,219,1410728874,,,0,,,,116.3071789,39.8958244,,,
,220,1410728881,,,0,,,,116.2990256,39.8959992,,,
,221,1410728882,,,0,,,,116.3045123,39.8962504,,,
,222,1410728883,,,0,,,,116.3043753,39.8962534,,,
,223,1410728884,,,0,,,,116.3042056,39.8962515,,,
,224,1410728885,,,0,,,,116.3040829,39.8962519,,,
,225,1410728886,,,0,,,,116.3040787,39.8965215,,,
,226,1410728888,,,0,,,,116.3042043,39.8965223,,,
,227,1410728890,,,0,,,,116.3043743,39.8965263,,,
,228,1410728892,,,0,,,,116.3045141,39.8965245,,,
,229,1410728901,motorway_junction,,0,,,,116.3045151,39.8966757,,,
,230,1410728903,,,0,,,,116.3040763,39.8966803,,,
,231,1410728905,,,0,,,,116.3033795,39.8966935,,,
,232,1410728907,,,0,,,,116.305192,39.8967076,,,
,233,1410887137,,,0,,,,116.3171901,39.8955828,,,
,234,1410887141,,,0,,,,116.3133327,39.895567,,,
,235,1410887175,,,0,,,,116.3133014,39.8959522,,,
,236,1410887177,,,0,,,,116.3171818,39.8959604,,,
,237,1419885125,,,0,,,,116.3401891,39.8966059,,,
,238,1419885126,,,0,,,,116.3406196,39.8966322,,,
,239,1519301739,,,0,,,,116.3331937,39.8963467,,,
,240,1519301740,,,0,,,,116.3389597,39.8966279,,,
,241,1549151164,,,0,,,,116.3147695,39.8897469,,,
,242,1559574332,,,0,,,,116.3120283,39.8936409,,,
,243,1559574340,,,0,,,,116.3120823,39.8937386,,,
,244,1559574349,,,0,,,,116.3100937,39.8939563,,,
,245,1559574352,,,0,,,,116.3095674,39.894025,,,
,246,1559574360,,,0,,,,116.3075818,39.894117,,,
,247,1559574362,,,0,,,,116.3082937,39.8941134,,,
,248,1559574364,,,0,,,,116.308879,39.8941114,,,
,249,1559574365,,,0,,,,116.3089644,39.8941555,,,
,250,1559574367,,,0,,,,116.3082426,39.8941563,,,
,251,1573977211,,,0,,,,116.3223649,39.8955201,,,
,252,1573977216,,,0,,,,116.3222708,39.8959836,,,
,253,1584011210,,,0,,,,116.3262373,39.8960131,,,
,254,1584011213,,,0,,,,116.3318933,39.8961265,,,
,255,1584011215,,,0,,,,116.3376527,39.8962835,,,
,256,1584011217,,,0,,,,116.332879,39.89633,,,
,257,1584011219,,,0,,,,116.3376563,39.8964239,,,
,258,1599591023,traffic_signals,,1,,,,116.3362072,39.8964831,1,,
,259,1636769840,,,0,,,,116.3139967,39.8955613,,,
,260,1637646625,,,0,,,,116.3040308,39.8914401,,,
,261,1637646626,motorway_junction,,0,,,,116.3041981,39.8922053,,,
,262,1637880390,,,0,,,,116.3045587,39.8914601,,,
,263,1637880396,,,0,,,,116.3043809,39.8922077,,,
,264,1647726692,bus_stop,,0,,,,116.3165096,39.8959646,,,
,265,1651191099,traffic_signals,,1,,,,116.2844907,39.8959179,2,,
,266,1651191108,,,0,,,,116.2843287,39.8955553,,,
,267,1651191112,,,0,,,,116.2841765,39.8958119,,,
,268,1651194764,,,0,,,,116.2947746,39.8958046,,,
,269,1651194768,,,0,,,,116.2935696,39.8959563,,,
,270,1651194772,,,0,,,,116.2953461,39.8959714,,,
,271,1651225609,,,0,,,,116.3000611,39.8956607,,,
,272,1673265463,traffic_signals,,1,,,,116.277435,39.8959919,3,,
,273,1673265464,traffic_signals,,1,,,,116.2890602,39.8959538,8,,
,274,1679698993,,,0,,,,116.3356756,39.896056,,,
,275,1679698995,,,0,,,,116.3369895,39.8961104,,,
,276,1679698997,,,0,,,,116.335648,39.8964583,,,
,277,1679698998,,,0,,,,116.3369536,39.8965093,,,
,278,1679752290,bus_stop,,0,,,,116.3182391,39.8955556,,,
,279,1679792246,,,0,,,,116.3185516,39.895946,,,
,280,1695480915,,,0,,,,116.2898396,39.8959421,,,
,281,1695490695,,,0,,,,116.2990611,39.8954959,,,
,282,1695490698,motorway_junction,,0,,,,116.2939976,39.8958029,,,
,283,1695490710,,,0,,,,116.2879415,39.8955591,,,
,284,1695490711,,,0,,,,116.2898388,39.89553,,,
,285,1721502105,,,0,,,,116.3329276,39.8959053,,,
,286,1721502108,motorway_junction,,0,,,,116.3318909,39.896004,,,
,287,1745111573,,,0,,,,116.3042093,39.8950846,,,
,288,1745111575,,,0,,,,116.3043706,39.8950854,,,
,289,1771676606,,,0,,,,116.2739454,39.8957924,,,
,290,1771721992,,,0,,,,116.289047,39.8898653,,,
,291,1771721993,traffic_signals,,1,,,,116.2890647,39.8955543,4,,
,292,1771721994,traffic_signals,,1,,,,116.2889179,39.8955648,4,,
,293,1771738224,,,0,,,,116.3155072,39.8899776,,,
,294,1772922483,,,0,,,,116.3040048,39.8938868,,,
,295,1772922486,,,0,,,,116.3041972,39.8938498,,,
,296,1772922488,,,0,,,,116.3043742,39.8938532,,,
,297,1772922490,,,0,,,,116.3045549,39.8938567,,,
,298,1840007845,,,0,,,,116.3235832,39.8955234,,,
,299,1840007846,,,0,,,,116.3235396,39.8959786,,,
,300,1886848807,traffic_signals,,1,,,,116.3197867,39.8910065,6,,
,301,1886848808,traffic_signals,,1,,,,116.3196424,39.8910067,6,,
,302,1886848812,traffic_signals,,1,,,,116.3198058,39.8919969,7,,
,303,1886848833,traffic_signals,,1,,,,116.3196593,39.8920568,7,,
,304,1886848847,bus_stop,,0,,,,116.3187555,39.8910116,,,
,305,1886848852,bus_stop,,0,,,,116.319036,39.8920003,,,
,306,1886866533,,,0,,,,116.3159755,39.8905034,,,
