name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
北京西站,0,30680817,,train_station,,,"POLYGON ((116.3141455 39.8944776, 116.3101326 39.8944561, 116.310128 39.8951768, 116.310795 39.8951734, 116.3107861 39.8946958, 116.311053 39.8946958, 116.3110681 39.8954458, 116.3114887 39.895443, 116.311471 39.8947197, 116.3131252 39.8947129, 116.3131296 39.8949449, 116.3137162 39.8949436, 116.3147705 39.8949414, 116.314767 39.8951855, 116.3154553 39.8951871, 116.3154597 39.8949312, 116.3171495 39.8949312, 116.3171673 39.8946753, 116.3192884 39.8946856, 116.3193107 39.895443, 116.3196886 39.8954361, 116.3196842 39.8946753, 116.3201867 39.8946787, 116.3201777 39.8944869, 116.3160883 39.8944819, 116.3160826 39.8925307, 116.3170581 39.8925323, 116.317057 39.8923165, 116.3133655 39.8923046, 116.3131549 39.8923973, 116.3130722 39.8924442, 116.3130104 39.8925168, 116.3141448 39.8925218, 116.3141455 39.8944776))",POINT (116.31491 39.8939987),84365.5,908101.9
,1,39321981,,yes,,,"POLYGON ((116.2932782 39.8916922, 116.2942009 39.8916974, 116.2941948 39.8923296, 116.2932721 39.8923244, 116.2932782 39.8916922))",POINT (116.2937365 39.8920109),5539.1,59622.1
,2,39321989,,yes,,,"POLYGON ((116.2748612 39.8903761, 116.2802686 39.8904551, 116.2802637 39.8905401, 116.2802597 39.8906081, 116.2802553 39.8906846, 116.2802514 39.8907515, 116.2748612 39.890679, 116.2748612 39.8906277, 116.2748612 39.8905511, 116.2748612 39.8904744, 116.2748612 39.8903761))",POINT (116.2775512 39.8905652),15354.0,165269.4
,3,102965468,,parking,,,"POLYGON ((116.328532 39.8968588, 116.3294681 39.8968394, 116.3294874 39.8963279, 116.3293551 39.8963239, 116.3285529 39.8962909, 116.3285486 39.8964081, 116.328532 39.8968588))",POINT (116.3290018 39.8965795),4781.4,51466.6
,4,102968914,,,,platform,"POLYGON ((116.3189028 39.8937662, 116.3189036 39.8936962, 116.3186985 39.8936851, 116.3126707 39.8936934, 116.312334 39.8937042, 116.3123392 39.893765, 116.3189028 39.8937662))",POINT (116.3156972 39.8937276),4738.6,51005.7
,5,102968919,,,,platform,"POLYGON ((116.3189129 39.8939972, 116.3189121 39.8939302, 116.3187154 39.8939193, 116.3125674 39.8939225, 116.3123375 39.893929, 116.3123417 39.8939918, 116.3189129 39.8939972))",POINT (116.3156895 39.8939578),4590.5,49411.6
,6,102968923,,,,platform,"POLYGON ((116.3189129 39.8942875, 116.3123362 39.8942871, 116.312332 39.8944366, 116.3189132 39.8944362, 116.3189129 39.8942875))",POINT (116.3156206 39.8943619),9309.4,100205.3
,7,102968926,,,,platform,"POLYGON ((116.3189005 39.8931701, 116.318904 39.8931254, 116.3187013 39.8931052, 116.3185268 39.8930899, 116.313307 39.8930724, 116.3130478 39.8930751, 116.3126844 39.8930888, 116.3123532 39.8931227, 116.3123675 39.8931961, 116.3126832 39.8931622, 116.313051 39.8931499, 116.3133052 39.893152, 116.3187022 39.8931641, 116.3189005 39.8931701))",POINT (116.3155715 39.8931209),4665.1,50214.8
,8,102968928,,,,platform,"POLYGON ((116.3189188 39.8941874, 116.3189176 39.8941241, 116.3123445 39.8940977, 116.3123445 39.8941852, 116.3189188 39.8941874))",POINT (116.3154555 39.8941482),4721.1,50817.9
,9,102968933,,,,platform,"POLYGON ((116.3189025 39.8930184, 116.3189215 39.8929702, 116.3187557 39.8929434, 116.3185752 39.8929261, 116.3180103 39.8929173, 116.3133205 39.892896, 116.3130385 39.8929025, 116.3127606 39.8929188, 116.3123417 39.8929815, 116.312346 39.8930252, 116.3126783 39.8929847, 116.3130415 39.8929725, 116.3133208 39.8929665, 116.3185902 39.8929821, 116.3187489 39.8929969, 116.3189025 39.8930184))",POINT (116.3155807 39.8929437),4043.0,43518.0
,10,102968935,,,,platform,"POLYGON ((116.3189018 39.8935946, 116.3189048 39.8935333, 116.3187283 39.8935221, 116.3184268 39.8935118, 116.3126929 39.8935098, 116.3123457 39.8935371, 116.3123475 39.893598, 116.3126862 39.8935826, 116.3189018 39.8935946))",POINT (116.3156849 39.8935504),4739.7,51017.1
,11,102968939,,,,platform,"POLYGON ((116.3123445 39.8933188, 116.3123597 39.8933772, 116.3126901 39.8933534, 116.3186882 39.8933464, 116.3189053 39.8933572, 116.3189082 39.8932825, 116.3186825 39.8932695, 116.3130554 39.8932542, 116.3126915 39.8932791, 116.3123445 39.8933188))",POINT (116.3155541 39.8933072),5352.0,57608.1
,12,102968941,,,,platform,"POLYGON ((116.3189199 39.892864, 116.3189351 39.8928179, 116.3187913 39.8927822, 116.3185741 39.8927476, 116.3182215 39.8927216, 116.3180114 39.8927097, 116.3133254 39.8927083, 116.3130349 39.892717, 116.3127725 39.8927386, 116.3123269 39.8928219, 116.3123325 39.8928695, 116.3127838 39.8927992, 116.3130349 39.8927862, 116.313331 39.892783, 116.3180112 39.8927977, 116.3184027 39.892809, 116.3186453 39.8928237, 116.3189199 39.892864))",POINT (116.3157315 39.8927567),4825.2,51938.1
,13,103094928,,,,platform,"POLYGON ((116.3120208 39.8927978, 116.3120028 39.8927619, 116.3123322 39.8926804, 116.3124222 39.8926556, 116.3126076 39.8926114, 116.3127912 39.8925838, 116.312982 39.8925617, 116.3130612 39.8925534, 116.3180228 39.8925531, 116.318238 39.8925506, 116.318445 39.8925713, 116.318697 39.8926003, 116.3189598 39.8926528, 116.3191038 39.8926956, 116.3190732 39.8927467, 116.318886 39.892697, 116.3186808 39.8926542, 116.3184792 39.8926362, 116.318202 39.8926128, 116.3180094 39.8926086, 116.3131044 39.8926045, 116.3128902 39.892628, 116.3126364 39.8926611, 116.3120208 39.8927978))",POINT (116.3156493 39.8925987),3629.0,39062.4
北京西站南广场,14,113968806,,bus_station,,,"POLYGON ((116.3162191 39.8920398, 116.3176659 39.8920396, 116.3176659 39.8919932, 116.3176657 39.8910687, 116.3174972 39.8910687, 116.3172719 39.8910687, 116.3163948 39.8910688, 116.316368 39.8910688, 116.3162189 39.8910688, 116.3162191 39.8920398))",POINT (116.3169424 39.8915542),13335.1,143537.9
北京西站,15,113969009,,bus_station,,,"POLYGON ((116.3172338 39.8953476, 116.3191878 39.8953607, 116.3191936 39.8949371, 116.3191969 39.8947017, 116.3172232 39.8946933, 116.3172338 39.8953476))",POINT (116.3182116 39.8950253),12229.6,131637.8
,16,159796664,,parking,,,"POLYGON ((116.3112278 39.89588, 116.3113455 39.8958793, 116.3115227 39.8958783, 116.3115201 39.8956084, 116.3113443 39.8956094, 116.3112251 39.8956101, 116.3112278 39.89588))",POINT (116.3113739 39.8957442),753.5,8110.8
,17,172800371,,,,platform,"POLYGON ((116.3291531 39.8962375, 116.3290436 39.8962295, 116.3289892 39.8962255, 116.3291531 39.8962375))",POINT (116.329062 39.8962308),0.2,2.0
,18,225589614,,yes,,,"POLYGON ((116.321201 39.8949337, 116.3223732 39.8949457, 116.3223704 39.8948905, 116.3226168 39.8948885, 116.3226102 39.8951212, 116.3224416 39.8952409, 116.321386 39.8952404, 116.3211956 39.8951539, 116.321201 39.8949337))",POINT (116.3219159 39.89508),3980.0,42840.8
,19,225589615,,yes,,,"POLYGON ((116.3200294 39.8950961, 116.3200278 39.8952224, 116.3208452 39.8952288, 116.3208469 39.8951025, 116.3200294 39.8950961))",POINT (116.3204373 39.8951624),981.5,10564.8
1路公交总站,20,264439434,,garage,,,"POLYGON ((116.2972503 39.8887303, 116.2987057 39.8887917, 116.2987348 39.8896963, 116.2969155 39.8896963, 116.2969446 39.8888643, 116.2972503 39.8887303))",POINT (116.2978247 39.8892341),15770.1,169747.6
北京世纪坛医院,21,266293714,,hospital,,,"POLYGON ((116.3148105 39.8990794, 116.3109037 39.8990794, 116.3108421 39.8960916, 116.3130235 39.8961153, 116.3130604 39.8968669, 116.3148536 39.8969237, 116.3148105 39.8990794))",POINT (116.312702 39.8977349),98322.4,1058332.7
后勤学院门诊部,22,278337146,,hospital,,,"POLYGON ((116.2893497 39.8977057, 116.290265 39.89772, 116.2902463 39.8975481, 116.2901436 39.8973976, 116.2893871 39.8974621, 116.2893497 39.8977057))",POINT (116.2898199 39.8975743),2326.5,25041.9
莲馨园1号楼,23,281509275,,residential,,,"POLYGON ((116.3007012 39.8887992, 116.3008085 39.8890256, 116.3008085 39.889322, 116.300433 39.8892973, 116.3003847 39.8891121, 116.3004384 39.8888157, 116.3007012 39.8887992))",POINT (116.3006019 39.8890709),1783.2,19193.8
莲馨园2号楼,24,281983319,,residential,,,"POLYGON ((116.2998339 39.8888799, 116.2998938 39.8890234, 116.2999462 39.8893277, 116.299617 39.8893277, 116.2994898 39.8891382, 116.2995197 39.888943, 116.2995796 39.8888225, 116.2998339 39.8888799))",POINT (116.2997128 39.8890962),1660.4,17871.9
莲馨园3号楼,25,282019034,,residential,,,"POLYGON ((116.3000167 39.8892616, 116.2999631 39.8894221, 116.2999953 39.8896814, 116.3001133 39.889739, 116.3004083 39.889702, 116.3003279 39.8893933, 116.3002367 39.8892451, 116.3000167 39.8892616))",POINT (116.3001676 39.8895032),1582.7,17036.2
,26,297848050,,yes,,,"POLYGON ((116.3335439 39.8912416, 116.333914 39.8912394, 116.3339172 39.8915577, 116.3335471 39.8915599, 116.3335439 39.8912416))",POINT (116.3337305 39.8913997),1120.7,12062.8
,27,297848051,,yes,,,"POLYGON ((116.333962 39.8938536, 116.3341817 39.8938558, 116.3341827 39.8938, 116.3343022 39.8938012, 116.3343077 39.8934828, 116.3339684 39.8934794, 116.333962 39.8938536))",POINT (116.3341289 39.8936593),1141.3,12284.4
,28,297848052,,yes,,,"POLYGON ((116.3339249 39.8922537, 116.3339244 39.891937, 116.3342855 39.8919367, 116.3342859 39.8922534, 116.3339249 39.8922537))",POINT (116.3341052 39.8920952),1084.4,11672.2
,29,297848053,,yes,,,"POLYGON ((116.3345588 39.8914598, 116.3345512 39.8911373, 116.3349167 39.8911322, 116.3349243 39.8914547, 116.3345588 39.8914598))",POINT (116.3347378 39.891296),1119.1,12045.6
