name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,0,23767572,38,40,1,56.588416736491425,1,29,,tertiary,5,"LINESTRING (140.4588975 37.7623785, 140.4590472 37.7625058, 140.4593404 37.7627478)",auto,1
,1,23767572,40,38,1,56.588416736491425,1,29,,tertiary,5,"LINESTRING (140.4593404 37.7627478, 140.4590472 37.7625058, 140.4588975 37.7623785)",auto,1
,2,23767572,40,309,1,101.79870683025703,1,29,,tertiary,5,"LINESTRING (140.4593404 37.7627478, 140.4594217 37.7628305, 140.4594751 37.7628946, 140.4600001 37.7635)",auto,1
,3,23767572,309,40,1,101.79870683025703,1,29,,tertiary,5,"LINESTRING (140.4600001 37.7635, 140.4594751 37.7628946, 140.4594217 37.7628305, 140.4593404 37.7627478)",auto,1
∏£çuŒ·∆ﬁ—Y≈ÕÃ›æÄ,4,24282037,1,127,1,10.847708417869043,3,39,,primary,3,"LINESTRING (140.4555208 37.7529255, 140.4556346 37.7529632)",auto,0
,5,24282599,310,298,1,38.63281179066934,1,29,,tertiary,5,"LINESTRING (140.4624 37.7605023, 140.4619606 37.7605084)",auto,1
,6,24282599,298,310,1,38.63281179066934,1,29,,tertiary,5,"LINESTRING (140.4619606 37.7605084, 140.4624 37.7605023)",auto,1
,7,24282599,298,35,1,56.913678130212595,1,29,,tertiary,5,"LINESTRING (140.4619606 37.7605084, 140.4613134 37.7605218)",auto,1
,8,24282599,35,298,1,56.913678130212595,1,29,,tertiary,5,"LINESTRING (140.4613134 37.7605218, 140.4619606 37.7605084)",auto,1
,9,24282599,35,44,1,64.19132791713561,1,29,,tertiary,5,"LINESTRING (140.4613134 37.7605218, 140.4612208 37.7605132, 140.4606347 37.760316)",auto,1
,10,24282599,44,35,1,64.19132791713561,1,29,,tertiary,5,"LINESTRING (140.4606347 37.760316, 140.4612208 37.7605132, 140.4613134 37.7605218)",auto,1
,11,24282599,44,80,1,62.03395023456611,1,29,,tertiary,5,"LINESTRING (140.4606347 37.760316, 140.4599744 37.7601192)",auto,1
,12,24282599,80,44,1,62.03395023456611,1,29,,tertiary,5,"LINESTRING (140.4599744 37.7601192, 140.4606347 37.760316)",auto,1
,13,24282599,80,263,1,35.34262265066088,1,29,,tertiary,5,"LINESTRING (140.4599744 37.7601192, 140.4595869 37.7600345)",auto,1
,14,24282599,263,80,1,35.34262265066088,1,29,,tertiary,5,"LINESTRING (140.4595869 37.7600345, 140.4599744 37.7601192)",auto,1
,15,24282599,263,242,1,11.977892529653042,1,29,,tertiary,5,"LINESTRING (140.4595869 37.7600345, 140.4594539 37.7600111)",auto,1
,16,24282599,242,263,1,11.977892529653042,1,29,,tertiary,5,"LINESTRING (140.4594539 37.7600111, 140.4595869 37.7600345)",auto,1
,17,24282599,242,241,1,9.651436450448776,1,29,,tertiary,5,"LINESTRING (140.4594539 37.7600111, 140.4593475 37.7599897)",auto,1
,18,24282599,241,242,1,9.651436450448776,1,29,,tertiary,5,"LINESTRING (140.4593475 37.7599897, 140.4594539 37.7600111)",auto,1
,19,24282599,241,283,1,3.227598075294895,1,29,,tertiary,5,"LINESTRING (140.4593475 37.7599897, 140.4593119 37.7599826)",auto,1
,20,24282599,283,241,1,3.227598075294895,1,29,,tertiary,5,"LINESTRING (140.4593119 37.7599826, 140.4593475 37.7599897)",auto,1
,21,24282599,283,240,1,1.9836890999630061,1,29,,tertiary,5,"LINESTRING (140.4593119 37.7599826, 140.45929 37.7599783)",auto,1
,22,24282599,240,283,1,1.9836890999630061,1,29,,tertiary,5,"LINESTRING (140.45929 37.7599783, 140.4593119 37.7599826)",auto,1
