name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,262916947,traffic_signals,,1,,,,140.4547952,37.7526098,,,
,1,262916956,traffic_signals,,1,,,,140.4555208,37.7529255,0,,
,2,262916961,,,0,,,,140.456418,37.7529559,,,
,3,262926027,,,0,,,,140.4588417,37.7511612,,,
,4,262926031,,,0,,,,140.4582061,37.7527902,,,
,5,262926032,,,0,,,,140.4583896,37.7530517,,,
,6,262929414,,,0,,,,140.4584603,37.7595311,,,
,7,262930342,,,0,,,,140.4579845,37.7578932,,,
,8,262930344,,,0,,,,140.4576728,37.7562946,,,
,9,262930348,traffic_signals,,1,,,,140.4574881,37.7527854,,,
,10,263229710,,,0,,,,140.4587501,37.7581386,,,
,11,263229786,,,0,,,,140.4547635,37.7621609,,,
,12,263229840,,,0,,,,140.4574558,37.7612284,,,
,13,263239232,,,0,,,,140.4599088,37.7548644,,,
,14,263239329,,,0,,,,140.4580934,37.7625875,,,
,15,263239336,,,0,,,,140.4579763,37.7627617,,,
,16,263239724,,,0,,,,140.4593676,37.7603546,,,
,17,263248081,,,0,,,,140.4577981,37.7628566,,,
,18,264176145,,,0,,,,140.4597984,37.7527736,,,
,19,264183997,,,0,,,,140.4579467,37.7626282,,,
,20,265032603,,,0,,,,140.4587433,37.7586985,,,
,21,265032661,,,0,,,,140.458752,37.756271,,,
,22,267324859,traffic_signals,,1,,,,140.4576072,37.7549971,,,
,23,267324886,traffic_signals,,1,,,,140.455536,37.7552897,9,,
,24,358869167,,,0,,,,140.4570217,37.7597574,,,
,25,361381224,,,0,,,,140.4565387,37.7528804,,,
,26,361381225,traffic_signals,,1,,,,140.4556327,37.752889,0,,
,27,365545778,traffic_signals,,1,,,,140.4551672,37.7593492,,,
,28,365546291,,,0,,,,140.4547376,37.759447,,,
,29,365546292,,,0,,,,140.4559819,37.7591401,,,
,30,365546354,traffic_signals,,1,,,,140.4567666,37.7589705,6,,
,31,365546697,,,0,,,,140.460474,37.7578673,,,
,32,365546698,traffic_signals,,1,,,,140.4611349,37.7576942,8,,
,33,365546728,,,0,,,,140.4573612,37.7588457,,,
,34,365546875,traffic_signals,,1,,,,140.4612038,37.7596583,,,
,35,365546929,,,0,,,,140.4613134,37.7605218,,,
,36,365546931,,,0,,,,140.4613399,37.7609946,,,
,37,365547025,,,0,,,,140.4622248,37.7573338,,,
,38,579465734,,,0,,,,140.4588975,37.7623785,,,
,39,579465737,,,0,,,,140.4585378,37.7624047,,,
,40,579465745,,,0,,,,140.4593404,37.7627478,,,
,41,579465749,traffic_signals,,1,,,,140.4590835,37.762094,10,,
,42,579465764,,,0,,,,140.457739,37.7627834,,,
,43,579465765,,,0,,,,140.4574668,37.7629665,,,
,44,579465776,traffic_signals,,1,,,,140.4606347,37.760316,,,
,45,579480653,,,0,,,,140.4581236,37.7632968,,,
,46,579489212,,,0,,,,140.4597685,37.7613245,,,
,47,579489213,traffic_signals,,1,,,,140.4591889,37.7620042,10,,
,48,579489216,,,0,,,,140.4600254,37.7620548,,,
,49,579489218,,,0,,,,140.4599911,37.7625507,,,
,50,579489224,traffic_signals,,1,,,,140.461345,37.762155,,,
,51,579489228,,,0,,,,140.4613636,37.7625146,,,
,52,579489238,,,0,,,,140.4613422,37.76142,,,
,53,579489239,,,0,,,,140.4613399,37.7613861,,,
,54,579489241,,,0,,,,140.4608786,37.7613844,,,
,55,579489242,,,0,,,,140.4623354,37.7614362,,,
,56,579489246,,,0,,,,140.4623507,37.7620041,,,
,57,580694951,,,0,,,,140.4567058,37.7506936,,,
,58,580694954,,,0,,,,140.4560135,37.7508305,,,
,59,580694956,,,0,,,,140.4575658,37.7505086,,,
,60,580694958,traffic_signals,,1,,,,140.4588418,37.7513442,,,
,61,580694960,,,0,,,,140.457915,37.7515573,,,
,62,580694962,,,0,,,,140.4599548,37.7506432,,,
,63,580694986,traffic_signals,,1,,,,140.461131,37.7510459,,,
,64,580694993,,,0,,,,140.4604713,37.7506974,,,
,65,580695013,traffic_signals,,1,,,,140.4610882,37.7530045,,,
,66,580695015,traffic_signals,,1,,,,140.4611485,37.7527903,,,
,67,580695016,,,0,,,,140.4611396,37.7519665,,,
,68,580695040,,,0,,,,140.4618316,37.7538573,,,
,69,580695041,traffic_signals,,1,,,,140.461105,37.7538942,2,,
,70,580695067,traffic_signals,,1,,,,140.4611234,37.7551937,5,,
,71,580695070,traffic_signals,,1,,,,140.4611165,37.7562366,,,
,72,580695072,,,0,,,,140.4606356,37.7562506,,,
,73,580695073,,,0,,,,140.4618451,37.7562024,,,
,74,580695077,,,0,,,,140.4618675,37.7569005,,,
,75,580695083,traffic_signals,,1,,,,140.4623721,37.7583559,,,
,76,580695085,,,0,,,,140.4606671,37.7583379,,,
,77,580695086,traffic_signals,,1,,,,140.4611493,37.7583498,7,,
,78,580695088,,,0,,,,140.4617435,37.7591256,,,
,79,580695089,,,0,,,,140.4606643,37.7590384,,,
,80,580695118,,,0,,,,140.4599744,37.7601192,,,
,81,580716917,,,0,,,,140.4618179,37.7551938,,,
,82,583483020,,,0,,,,140.4575195,37.7614862,,,
,83,583483022,,,0,,,,140.4570228,37.7623406,,,
,84,583483025,,,0,,,,140.4575921,37.7618176,,,
,85,583483027,,,0,,,,140.4553385,37.7627556,,,
,86,583483066,,,0,,,,140.4608828,37.761233,,,
,87,583483067,,,0,,,,140.4613639,37.763191,,,
,88,584745368,,,0,,,,140.4547778,37.758039,,,
,89,584745370,,,0,,,,140.4567951,37.7564025,,,
,90,584745371,traffic_signals,,1,,,,140.4560328,37.7565377,3,,
,91,584745372,,,0,,,,140.4552434,37.7566673,,,
,92,584745374,,,0,,,,140.4569918,37.757663,,,
,93,584745376,traffic_signals,,1,,,,140.4564045,37.75777,4,,
,94,584745378,,,0,,,,140.4556127,37.7578981,,,
,95,584745380,,,0,,,,140.4553808,37.757945,,,
,96,584745383,,,0,,,,140.454943,37.758013,,,
,97,584745384,,,0,,,,140.4571137,37.7580357,,,
,98,584745385,,,0,,,,140.4565093,37.7581453,,,
,99,584745386,,,0,,,,140.4557198,37.7582784,,,
,100,584745389,,,0,,,,140.4573272,37.7587688,,,
,101,584745391,,,0,,,,140.4568954,37.7588767,,,
,102,584745395,,,0,,,,140.4584772,37.7574217,,,
,103,584745399,,,0,,,,140.4576692,37.7583081,,,
,104,584745400,,,0,,,,140.4581799,37.758519,,,
,105,584745402,traffic_signals,,1,,,,140.4578548,37.7575112,,,
,106,584745404,,,0,,,,140.4581097,37.7582776,,,
,107,584745406,,,0,,,,140.4577791,37.7586657,,,
,108,584787425,,,0,,,,140.4548825,37.7554143,,,
,109,584787426,,,0,,,,140.4566141,37.7557696,,,
,110,584787427,traffic_signals,,1,,,,140.4556576,37.7552935,9,,
,111,584787430,,,0,,,,140.4556249,37.7548676,,,
,112,584787432,,,0,,,,140.4550588,37.7560255,,,
,113,584787435,,,0,,,,140.4558503,37.7559029,,,
,114,584787437,,,0,,,,140.4576354,37.755609,,,
,115,584787438,,,0,,,,140.4554215,37.7572868,,,
,116,584787442,,,0,,,,140.4558087,37.7586322,,,
,117,584787443,,,0,,,,140.4549967,37.7587755,,,
,118,584787445,,,0,,,,140.4555887,37.7586734,,,
,119,584787447,,,0,,,,140.4551651,37.7587458,,,
,120,669420870,,,0,,,,140.4558391,37.7502969,,,
,121,669420871,,,0,,,,140.4565366,37.750185,,,
,122,669420872,,,0,,,,140.4574243,37.7500436,,,
,123,669420875,,,0,,,,140.4585749,37.7498696,,,
,124,669420876,traffic_signals,,1,,,,140.4585508,37.7514103,,,
,125,669420880,,,0,,,,140.4560156,37.7520608,,,
,126,669420884,,,0,,,,140.4555731,37.7522575,,,
,127,669420886,traffic_signals,,1,,,,140.4556346,37.7529632,0,,
,128,669420888,,,0,,,,140.4570919,37.7517685,,,
,129,669420894,,,0,,,,140.4563815,37.7519519,,,
,130,669420896,traffic_signals,,1,,,,140.4575005,37.7530172,,,
,131,1204390103,,,0,,,,140.4587667,37.7575355,,,
,132,1204390105,,,0,,,,140.4588519,37.7628891,,,
,133,1205746900,traffic_signals,,1,,,,140.4606485,37.7578205,,,
,134,2412495309,,,0,,,,140.4574666,37.7523037,,,
,135,2447758890,traffic_signals,,1,,,,140.4612633,37.7589677,1,,
,136,2447758893,,,0,,,,140.4592508,37.7599726,,,
,137,2447758988,,,0,,,,140.4612312,37.757184,,,
,138,2447762748,,,0,,,,140.4585486,37.7628087,,,
,139,2478800244,,,0,,,,140.4573872,37.7622668,,,
,140,2478800260,,,0,,,,140.4566272,37.763075,,,
,141,2478800264,,,0,,,,140.4570865,37.7631076,,,
,142,2478800267,,,0,,,,140.455542,37.7631856,,,
,143,2478800274,,,0,,,,140.4548032,37.7634459,,,
,144,2519412148,,,0,,,,140.458218,37.753013,,,
,145,2519412150,traffic_signals,,1,,,,140.4575681,37.7538484,,,
,146,2843211357,,,0,,,,140.4572987,37.7618041,,,
,147,2843212631,,,0,,,,140.4575908,37.762183,,,
,148,2843303482,,,0,,,,140.4558335,37.7623377,,,
,149,2843303488,,,0,,,,140.4565466,37.7624502,,,
,150,2843303497,,,0,,,,140.4559162,37.7626018,,,
,151,2843304839,,,0,,,,140.4547223,37.7628449,,,
,152,2843304945,,,0,,,,140.4568775,37.7631191,,,
,153,2844104303,,,0,,,,140.4618071,37.7569368,,,
,154,2872023670,,,0,,,,140.4563402,37.7495635,,,
,155,2872023928,,,0,,,,140.4548099,37.7496129,,,
,156,2872023930,,,0,,,,140.4601787,37.7496133,,,
,157,2872023961,,,0,,,,140.4598655,37.7496623,,,
,158,2872023979,,,0,,,,140.4556411,37.7496809,,,
,159,2872024527,,,0,,,,140.4593143,37.7497485,,,
,160,2872024542,,,0,,,,140.4551845,37.7497613,,,
,161,2872024600,,,0,,,,140.4588169,37.7498279,,,
,162,2872024824,,,0,,,,140.4598873,37.7498579,,,
,163,2872024888,,,0,,,,140.4580829,37.7499356,,,
,164,2872025751,,,0,,,,140.4593606,37.7501567,,,
,165,2872025792,,,0,,,,140.4562799,37.7502262,,,
,166,2872026571,,,0,,,,140.4563592,37.7504583,,,
,167,2872027495,,,0,,,,140.4560174,37.7508438,,,
,168,2872027996,,,0,,,,140.4581299,37.7510834,,,
,169,2872028248,,,0,,,,140.4561131,37.7511482,,,
,170,2872028249,,,0,,,,140.4577796,37.7511507,,,
,171,2872028292,,,0,,,,140.4577986,37.7512077,,,
,172,2872028445,,,0,,,,140.4590525,37.751283,,,
,173,2872028954,,,0,,,,140.4569535,37.7514192,,,
,174,2872028961,,,0,,,,140.4553135,37.7514285,,,
,175,2872029338,,,0,,,,140.4562559,37.7515756,,,
,176,2872031207,,,0,,,,140.4549643,37.7520845,,,
,177,2872031376,,,0,,,,140.4582407,37.7522932,,,
,178,2887208024,,,0,,,,140.4547932,37.7542322,,,
,179,2887208028,,,0,,,,140.4555087,37.7542367,,,
,180,2887208339,,,0,,,,140.4555072,37.7544694,,,
,181,2887208345,,,0,,,,140.4547877,37.7544776,,,
,182,2887209663,,,0,,,,140.4547824,37.7547147,,,
,183,2887209664,,,0,,,,140.4555109,37.7547242,,,
,184,2887295985,,,0,,,,140.4547407,37.7549495,,,
,185,2887295993,,,0,,,,140.4547771,37.7549523,,,
,186,2887296306,,,0,,,,140.4555071,37.7550407,,,
,187,3660223092,,,0,,,,140.4603529,37.7499551,,,
,188,3660223100,,,0,,,,140.4587329,37.7510039,,,
,189,3660223101,,,0,,,,140.4586536,37.7511513,,,
,190,3660223103,,,0,,,,140.4601475,37.7509022,,,
,191,3660223107,,,0,,,,140.4602836,37.7511587,,,
,192,3660223110,,,0,,,,140.4599837,37.7516028,,,
,193,3660223117,,,0,,,,140.4586057,37.7517295,,,
,194,3660223121,,,0,,,,140.4587867,37.7516855,,,
,195,3660223336,,,0,,,,140.4596669,37.7525539,,,
,196,3660223344,,,0,,,,140.4596191,37.7527454,,,
,197,3660223355,,,0,,,,140.4595342,37.7530746,,,
,198,3660223382,,,0,,,,140.4595731,37.7553246,,,
,199,3660223389,,,0,,,,140.4596894,37.7548508,,,
,200,3660223391,,,0,,,,140.45976,37.7548521,,,
,201,3660223393,,,0,,,,140.4592934,37.7550791,,,
,202,3660223394,,,0,,,,140.4593387,37.7550816,,,
,203,3660223395,,,0,,,,140.459384,37.755084,,,
,204,3660223397,,,0,,,,140.459435,37.7550868,,,
,205,3660223403,,,0,,,,140.4601095,37.7551693,,,
,206,3660223404,,,0,,,,140.4600224,37.7551867,,,
,207,3660223421,,,0,,,,140.4600874,37.7555315,,,
,208,3660223422,,,0,,,,140.4599544,37.7548649,,,
,209,3660223531,,,0,,,,140.4586982,37.7562669,,,
,210,3660223563,,,0,,,,140.4599937,37.7548654,,,
,211,3660223568,,,0,,,,140.4594171,37.7566307,,,
,212,3660223579,,,0,,,,140.4598279,37.7566771,,,
,213,3660223580,,,0,,,,140.4597608,37.7566785,,,
,214,3660223583,,,0,,,,140.4597755,37.7569512,,,
,215,3660223584,,,0,,,,140.458578,37.7566776,,,
,216,3660223591,,,0,,,,140.4586571,37.7573315,,,
,217,3660223592,,,0,,,,140.4588154,37.7570731,,,
,218,3660223594,,,0,,,,140.4597,37.7573045,,,
,219,3660223596,,,0,,,,140.4586304,37.7575294,,,
,220,3660223597,,,0,,,,140.4586802,37.7575318,,,
,221,3660223598,,,0,,,,140.4587238,37.7575354,,,
,222,3660223599,,,0,,,,140.458797,37.7575345,,,
,223,3660223604,,,0,,,,140.4586889,37.7581414,,,
,224,3660223607,,,0,,,,140.4596697,37.7578349,,,
,225,3660223615,,,0,,,,140.4586937,37.7587007,,,
,226,3660223623,,,0,,,,140.4593937,37.7595107,,,
,227,3660223630,,,0,,,,140.4592904,37.760218,,,
,228,3660223641,,,0,,,,140.4580045,37.7626115,,,
,229,3660223642,,,0,,,,140.4578841,37.7627998,,,
,230,3660223643,,,0,,,,140.4587928,37.7628898,,,
,231,3660230511,,,0,,,,140.4593171,37.7586691,,,
,232,3660230516,,,0,,,,140.4592958,37.7591421,,,
,233,3660230517,,,0,,,,140.4593509,37.7591529,,,
,234,3660230523,,,0,,,,140.4591972,37.7594137,,,
,235,3660235941,,,0,,,,140.4576568,37.7612307,,,
,236,3660235942,,,0,,,,140.4576307,37.7611688,,,
,237,3660847275,,,0,,,,140.4595345,37.7540986,,,
,238,3660847279,,,0,,,,140.4594844,37.7550851,,,
,239,3687557252,,,0,,,,140.4589008,37.7598376,,,
,240,3687557253,,,0,,,,140.45929,37.7599783,,,
,241,3687557254,,,0,,,,140.4593475,37.7599897,,,
,242,3687557255,,,0,,,,140.4594539,37.7600111,,,
,243,3721585422,,,0,,,,140.4586226,37.7544085,,,
,244,3721585423,,,0,,,,140.4588132,37.7544089,,,
,245,3721585424,,,0,,,,140.458487,37.7544119,,,
,246,3721593586,,,0,,,,140.458742,37.7544061,,,
,247,3721593587,,,0,,,,140.4586862,37.7544079,,,
,248,3767538065,,,0,,,,140.4557339,37.7559203,,,
,249,3767538066,traffic_signals,,1,,,,140.4559188,37.7565559,3,,
,250,3767538067,,,0,,,,140.4561077,37.7571701,,,
,251,3767538068,traffic_signals,,1,,,,140.4562943,37.7577893,4,,
,252,3767538069,,,0,,,,140.4564028,37.7581652,,,
,253,3767538976,traffic_signals,,1,,,,140.4612167,37.7551934,5,,
,254,3781725913,,,0,,,,140.459879,37.7519498,,,
,255,3781738521,,,0,,,,140.459751,37.7571902,,,
,256,3781738522,,,0,,,,140.4597783,37.75757,,,
,257,3781738524,,,0,,,,140.4595633,37.758297,,,
,258,3901926550,,,0,,,,140.46008,37.7563714,,,
,259,3901926551,,,0,,,,140.4606431,37.7568418,,,
,260,3901926555,,,0,,,,140.4599809,37.7568386,,,
,261,3901927293,,,0,,,,140.4589615,37.7598717,,,
,262,3901927294,,,0,,,,140.4590096,37.7598908,,,
,263,3901927298,,,0,,,,140.4595869,37.7600345,,,
,264,4308176176,,,0,,,,140.4606777,37.755276,,,
,265,4336411943,traffic_signals,,1,,,,140.4618126,37.7527852,,,
,266,4343226448,traffic_signals,,1,,,,140.4567138,37.7590356,6,,
,267,4343226449,traffic_signals,,1,,,,140.4566466,37.7589668,6,,
,268,5044927665,,,0,,,,140.4555377,37.7512739,,,
,269,5893192071,,,0,,,,140.4564174,37.7551778,,,
,270,5893192072,,,0,,,,140.4564095,37.7551452,,,
,271,5893192074,traffic_signals,,1,,,,140.455636,37.7552204,9,,
,272,5893245706,,,0,,,,140.4611881,37.7530019,,,
,273,5893245707,traffic_signals,,1,,,,140.4612072,37.7538962,2,,
,274,5893245709,,,0,,,,140.4612244,37.7562312,,,
,275,5893245710,,,0,,,,140.4612238,37.7565405,,,
,276,5893245711,traffic_signals,,1,,,,140.4612372,37.7575935,8,,
,277,5893245712,traffic_signals,,1,,,,140.4612482,37.7583518,7,,
,278,5893245713,traffic_signals,,1,,,,140.461164,37.7589771,1,,
,279,5893245716,traffic_signals,,1,,,,140.4612369,37.7576953,8,,
,280,6090398269,,,0,,,,140.4595707,37.7548402,,,
,281,6090398270,,,0,,,,140.4595453,37.7556545,,,
,282,6090398274,,,0,,,,140.4597269,37.7576175,,,
,283,6090398277,,,0,,,,140.4593119,37.7599826,,,
,284,6090398278,,,0,,,,140.4593267,37.759815,,,
,285,6143048359,,,0,,,,140.4600039,37.755523,,,
,286,6259420233,,,0,,,,140.4574355,37.7516803,,,
,287,6338823720,,,0,,,,140.4547998,37.7630731,,,
,288,6366945601,,,0,,,,140.4611221,37.7502117,,,
,289,6366945602,,,0,,,,140.4618017,37.7501947,,,
,290,6453365203,,,0,,,,140.4567088,37.7618793,,,
,291,6453365204,,,0,,,,140.4594259,37.7623002,,,
,292,6453365207,,,0,,,,140.4594352,37.7620191,,,
,293,6530651253,,,0,,,,140.4557347,37.7583375,,,
,294,6530651254,,,0,,,,140.4555055,37.7583819,,,
,295,6590087804,,,0,,,,140.4613131,37.7601183,,,
,296,6590087805,,,0,,,,140.4616897,37.7600854,,,
,297,6590093715,,,0,,,,140.4622543,37.7603038,,,
,298,6590093718,,,0,,,,140.4619606,37.7605084,,,
,299,6590093727,,,0,,,,140.459451,37.7616968,,,
,300,6590093728,,,0,,,,140.4592006,37.7615703,,,
,301,6590093749,,,0,,,,140.4594326,37.7611329,,,
,302,6590093752,,,0,,,,140.4578606,37.7612918,,,
,303,6590093753,,,0,,,,140.4579963,37.7615591,,,
,304,6590093754,,,0,,,,140.4578729,37.7622981,,,
