name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
福島県立聾学校,0,45482931,,school,,,"POLYGON ((140.4606266 37.7639339, 140.4604922 37.7638528, 140.4603649 37.7637383, 140.4596548 37.7628287, 140.4597326 37.7627939, 140.4599756 37.7627066, 140.4605948 37.7627089, 140.4605952 37.7625371, 140.4612913 37.7625415, 140.4613357 37.7640042, 140.4610935 37.7640124, 140.4609255 37.7640083, 140.4607498 37.7639891, 140.4606266 37.7639339))",POINT (140.4606915 37.7632273),16569.8,178355.6
,1,186141339,,yes,,,"POLYGON ((140.4584183 37.7554723, 140.4584209 37.7546933, 140.4584461 37.7546934, 140.4584473 37.7543404, 140.4583188 37.7543401, 140.4583176 37.7546931, 140.4583826 37.7546932, 140.4583821 37.7548472, 140.4578454 37.7548461, 140.4578453 37.7548791, 140.458382 37.7548802, 140.4583808 37.7552437, 140.4580949 37.7552431, 140.4580948 37.7552704, 140.4583807 37.755271, 140.45838 37.7554723, 140.4584183 37.7554723))",POINT (140.4583293 37.7548027),982.7,10577.6
,2,186141352,,yes,,,"POLYGON ((140.4583778 37.7558506, 140.4584328 37.7558507, 140.4584329 37.7558128, 140.4583779 37.7558127, 140.4583778 37.7558506))",POINT (140.4584053 37.7558317),20.4,219.3
,3,186141354,,yes,,,"POLYGON ((140.4583715 37.7558066, 140.4584324 37.7558067, 140.4584326 37.7557223, 140.4583718 37.7557221, 140.4583715 37.7558066))",POINT (140.4584021 37.7557644),50.5,543.5
,4,186157348,,yes,,,"POLYGON ((140.4622945 37.7549922, 140.462351 37.7549906, 140.4623498 37.7549623, 140.4623686 37.7549618, 140.462363 37.7548334, 140.4618733 37.7548467, 140.4618789 37.7549751, 140.461952 37.7549731, 140.4619543 37.7550243, 140.4622955 37.755015, 140.4622945 37.7549922))",POINT (140.4621255 37.7549248),800.3,8614.2
,5,186157349,,yes,,,"POLYGON ((140.4622167 37.7545305, 140.4622165 37.754545, 140.4623656 37.7545464, 140.4623658 37.7545319, 140.4623683 37.7543726, 140.462138 37.7543704, 140.4620872 37.7543699, 140.4620859 37.7544555, 140.4621367 37.754456, 140.4621356 37.7545297, 140.4622167 37.7545305))",POINT (140.4622398 37.7544517),422.1,4543.2
,6,186157351,,yes,,,"POLYGON ((140.4605718 37.7545008, 140.4605413 37.7545013, 140.4605436 37.7545947, 140.4606078 37.7545937, 140.4606148 37.7550009, 140.4606463 37.7550006, 140.4606376 37.7545091, 140.4606951 37.7544645, 140.4606957 37.7543699, 140.460617 37.7543695, 140.4606163 37.7544641, 140.4605718 37.7545008))",POINT (140.4606241 37.754611),314.2,3381.9
,7,186157353,,yes,,,"POLYGON ((140.4616376 37.7542241, 140.461634 37.754008, 140.4613527 37.7540107, 140.4613357 37.7540187, 140.4613209 37.7540291, 140.461309 37.7540421, 140.4612995 37.754062, 140.4612954 37.7540781, 140.4612956 37.7540931, 140.4612994 37.7541065, 140.4613055 37.7541191, 140.4613209 37.7541386, 140.4613198 37.7542274, 140.4616376 37.7542241))",POINT (140.4614743 37.7541173),680.2,7322.1
,8,186157354,,yes,,,"POLYGON ((140.4607556 37.7554527, 140.4606936 37.7554528, 140.4606954 37.7559502, 140.4610326 37.7559495, 140.4610321 37.755815, 140.4609839 37.7558151, 140.4609838 37.7557781, 140.4610202 37.755778, 140.4610208 37.7554954, 140.4609912 37.755494, 140.460994 37.7554331, 140.4609398 37.7553943, 140.4607578 37.7553903, 140.4607556 37.7554527))",POINT (140.4608575 37.7556826),1705.9,18361.7
,9,186157356,,yes,,,"POLYGON ((140.4620273 37.7542096, 140.4620277 37.7541866, 140.4619319 37.7541857, 140.4619315 37.7542086, 140.4619308 37.754253, 140.461906 37.7542527, 140.4619054 37.754292, 140.4619303 37.7542923, 140.4619295 37.7543419, 140.4620183 37.7543428, 140.4620179 37.7543692, 140.4620647 37.7543696, 140.4620651 37.7543432, 140.4620978 37.7543435, 140.4620986 37.7542958, 140.4621168 37.754296, 140.4621174 37.754256, 140.4620992 37.7542558, 140.4620999 37.7542103, 140.4620273 37.7542096))",POINT (140.4620121 37.7542733),269.5,2901.4
,10,186157358,,yes,,,"POLYGON ((140.4623642 37.7543318, 140.4623714 37.7541575, 140.4621778 37.7541525, 140.4621706 37.7543268, 140.4623642 37.7543318))",POINT (140.462271 37.7542422),328.5,3535.5
,11,186157360,,yes,,,"POLYGON ((140.4618813 37.7550775, 140.4623917 37.755053, 140.4623873 37.755025, 140.4618796 37.7550389, 140.4618813 37.7550775))",POINT (140.4621216 37.7550491),166.4,1791.0
,12,186157361,,yes,,,"POLYGON ((140.4623787 37.7541349, 140.4623612 37.7539447, 140.4621787 37.7539552, 140.4621962 37.7541455, 140.4623787 37.7541349))",POINT (140.4622787 37.7540451),340.4,3663.6
,13,186157366,,,,platform,"POLYGON ((140.4595828 37.7550365, 140.4596648 37.7550392, 140.4597275 37.7542851, 140.4596449 37.7542813, 140.4595828 37.7550365))",POINT (140.459655 37.75466),604.9,6511.4
