name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
Boggy Creek Road,0,4385935,499,498,1,212.31753541681186,2,39,,primary,3,"LINESTRING (-81.34977960000001 28.4499605, -81.3499972 28.4501404, -81.3502204 28.4502838, -81.35044360000001 28.4503894, -81.35152290000001 28.4508021, -81.3516765 28.4508578)",auto,0
,1,11171736,1532,1013,1,83.42369591946525,1,59,,motorway,1,"LINESTRING (-81.33186550000001 28.4515, -81.3319911 28.4514664, -81.33269319999999 28.4513183)",auto,0
,2,11172138,500,380,1,130.97577666705047,4,59,,motorway,1,"LINESTRING (-81.3531097 28.4510329, -81.3525783 28.4509091, -81.3524505 28.4508678, -81.3523838 28.4508366, -81.3523378 28.4507998, -81.35230079999999 28.4507597, -81.35227329999999 28.4507072, -81.3522584 28.4506526, -81.3522534 28.4505981, -81.35226110000001 28.4505442, -81.35227690000001 28.4504973, -81.3523047 28.4504463, -81.35235299999999 28.4503861)",auto,0
,3,11172786,340,973,1,481.9459199028439,4,59,,motorway,1,"LINESTRING (-81.27076390000001 28.4484413, -81.2685159 28.4483514, -81.2671217 28.4482749, -81.2663433 28.4480566, -81.2658879 28.447973)",auto,0
,4,11173840,390,393,1,290.3805517666523,1,29,,unclassified,11,"LINESTRING (-81.3638206 28.44967, -81.3639785 28.4496707, -81.3645417 28.4496733, -81.3645533 28.4496734, -81.3650114 28.4496754, -81.3655265 28.4496778, -81.3659006 28.4496796, -81.3667907 28.4496838)",auto,1
,5,11173840,393,390,1,290.3805517666523,1,29,,unclassified,11,"LINESTRING (-81.3667907 28.4496838, -81.3659006 28.4496796, -81.3655265 28.4496778, -81.3650114 28.4496754, -81.3645533 28.4496734, -81.3645417 28.4496733, -81.3639785 28.4496707, -81.3638206 28.44967)",auto,1
,6,11174476,389,392,1,157.57523834954853,1,29,,unclassified,11,"LINESTRING (-81.3642782 28.4479699, -81.3644096 28.447968, -81.3645496 28.4479659, -81.36478289999999 28.4479625, -81.3654051 28.4479534, -81.3658897 28.4479463)",auto,1
,7,11174476,392,389,1,157.57523834954853,1,29,,unclassified,11,"LINESTRING (-81.3658897 28.4479463, -81.3654051 28.4479534, -81.36478289999999 28.4479625, -81.3645496 28.4479659, -81.3644096 28.447968, -81.3642782 28.4479699)",auto,1
Cargo Road,8,11176558,27,208,1,135.94954024324218,1,35,,tertiary,5,"LINESTRING (-81.314966 28.4413902, -81.31468270000001 28.4414377, -81.3145615 28.4414438, -81.3143898 28.4414967, -81.31367299999999 28.4418065)",auto,1
Cargo Road,9,11176558,208,27,1,135.94954024324218,1,35,,tertiary,5,"LINESTRING (-81.31367299999999 28.4418065, -81.3143898 28.4414967, -81.3145615 28.4414438, -81.31468270000001 28.4414377, -81.314966 28.4413902)",auto,1
6th Avenue,10,11177314,28,29,1,109.63889534357426,1,29,,residential,6,"LINESTRING (-81.36366 28.4326425, -81.363664 28.4316565)",auto,1
6th Avenue,11,11177314,29,28,1,109.63889534357426,1,29,,residential,6,"LINESTRING (-81.363664 28.4316565, -81.36366 28.4326425)",auto,1
6th Avenue,12,11177314,29,30,1,108.05009645756805,1,29,,residential,6,"LINESTRING (-81.363664 28.4316565, -81.3636573 28.4306848)",auto,1
6th Avenue,13,11177314,30,29,1,108.05009645756805,1,29,,residential,6,"LINESTRING (-81.3636573 28.4306848, -81.363664 28.4316565)",auto,1
6th Avenue,14,11177314,30,884,1,7.661729812623356,1,29,,residential,6,"LINESTRING (-81.3636573 28.4306848, -81.3636565 28.4306159)",auto,1
6th Avenue,15,11177314,884,30,1,7.661729812623356,1,29,,residential,6,"LINESTRING (-81.3636565 28.4306159, -81.3636573 28.4306848)",auto,1
Hangar Boulevard,16,11177703,461,460,1,499.8214941264184,1,29,,unclassified,11,"LINESTRING (-81.2910442 28.4490882, -81.2910399 28.4487917, -81.2910392 28.448109, -81.2910388 28.4476747, -81.2910378 28.4476138, -81.2910378 28.4475885, -81.2910353 28.4468899, -81.2910402 28.4459309, -81.2910406 28.4458481, -81.29101780000001 28.4456869, -81.29098260000001 28.4455901, -81.2909106 28.4454151, -81.2906539 28.4450146, -81.2905246 28.4447518, -81.29049809999999 28.444698)",auto,1
Hangar Boulevard,17,11177703,460,461,1,499.8214941264184,1,29,,unclassified,11,"LINESTRING (-81.29049809999999 28.444698, -81.2905246 28.4447518, -81.2906539 28.4450146, -81.2909106 28.4454151, -81.29098260000001 28.4455901, -81.29101780000001 28.4456869, -81.2910406 28.4458481, -81.2910402 28.4459309, -81.2910353 28.4468899, -81.2910378 28.4475885, -81.2910378 28.4476138, -81.2910388 28.4476747, -81.2910392 28.448109, -81.2910399 28.4487917, -81.2910442 28.4490882)",auto,1
Hangar Boulevard,18,11177703,460,455,1,13.083720067337888,1,29,,unclassified,11,"LINESTRING (-81.29049809999999 28.444698, -81.2904515 28.4445877)",auto,1
Hangar Boulevard,19,11177703,455,460,1,13.083720067337888,1,29,,unclassified,11,"LINESTRING (-81.2904515 28.4445877, -81.29049809999999 28.444698)",auto,1
Hangar Boulevard,20,11177703,455,41,1,626.3830759563847,1,29,,unclassified,11,"LINESTRING (-81.2904515 28.4445877, -81.2901327 28.4439356, -81.2893667 28.4425836, -81.2893566 28.4425658, -81.2892279 28.4422941, -81.2891077 28.4419772, -81.2890305 28.4416753, -81.28901 28.4415129, -81.2889876 28.4413357, -81.28895319999999 28.4392224)",auto,1
Hangar Boulevard,21,11177703,41,455,1,626.3830759563847,1,29,,unclassified,11,"LINESTRING (-81.28895319999999 28.4392224, -81.2889876 28.4413357, -81.28901 28.4415129, -81.2890305 28.4416753, -81.2891077 28.4419772, -81.2892279 28.4422941, -81.2893566 28.4425658, -81.2893667 28.4425836, -81.2901327 28.4439356, -81.2904515 28.4445877)",auto,1
Wichita Place,22,11178200,42,25,1,595.5373669807386,1,29,,residential,6,"LINESTRING (-81.3460998 28.4426674, -81.3462285 28.442524, -81.3463229 28.4423428, -81.3463744 28.442124, -81.3463659 28.4397013, -81.3463229 28.4393919, -81.3462285 28.4390825, -81.3460826 28.4387806, -81.34591949999999 28.4385164, -81.3457135 28.4382749, -81.3454303 28.4380409, -81.3450277 28.4378087)",auto,1
Wichita Place,23,11178200,25,42,1,595.5373669807389,1,29,,residential,6,"LINESTRING (-81.3450277 28.4378087, -81.3454303 28.4380409, -81.3457135 28.4382749, -81.34591949999999 28.4385164, -81.3460826 28.4387806, -81.3462285 28.4390825, -81.3463229 28.4393919, -81.3463659 28.4397013, -81.3463744 28.442124, -81.3463229 28.4423428, -81.3462285 28.442524, -81.3460998 28.4426674)",auto,1
6th Street,24,11178451,600,43,1,91.40682439673665,1,29,,residential,6,"LINESTRING (-81.36551470000001 28.4268046, -81.36458 28.4268129)",auto,1
6th Street,25,11178451,43,600,1,91.40682439673665,1,29,,residential,6,"LINESTRING (-81.36458 28.4268129, -81.36551470000001 28.4268046)",auto,1
