name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,26582337,,parking,,,"POLYGON ((-81.31422480000001 28.4505625, -81.3141409 28.4506273, -81.3137291 28.4506197, -81.31352320000001 28.4504825, -81.3135309 28.450227, -81.3136719 28.4501889, -81.3140875 28.4501927, -81.3142515 28.4502994, -81.31422480000001 28.4505625))",POINT (-81.3138884 28.4504027),3033.6,32653.2
,1,26582338,,parking,,,"POLYGON ((-81.3144879 28.4501088, -81.3141524 28.4500097, -81.3139808 28.4499601, -81.3138778 28.4500364, -81.3136262 28.4499601, -81.3135537 28.4498305, -81.3135537 28.4492738, -81.3144269 28.4492471, -81.31449929999999 28.448984, -81.3142896 28.4487247, -81.3141943 28.4484654, -81.31422480000001 28.4482062, -81.31455649999999 28.4476914, -81.31449550000001 28.4473483, -81.3148997 28.447455, -81.31525430000001 28.4473483, -81.3154983 28.4474207, -81.3154983 28.4477334, -81.3146595 28.4498495, -81.3144879 28.4501088))",POINT (-81.3145935 28.4487222),27302.5,293880.9
,2,26582339,,parking,,,"POLYGON ((-81.31567269999999 28.4459305, -81.31457899999999 28.4461611, -81.31444070000001 28.4464707, -81.31355120000001 28.4463719, -81.3133601 28.4462138, -81.31342600000001 28.4458778, -81.31342600000001 28.4434993, -81.3136105 28.443407, -81.313795 28.4434993, -81.31411780000001 28.443407, -81.3138477 28.442478, -81.3139268 28.4418982, -81.31467790000001 28.4416676, -81.31567269999999 28.4459305))",POINT (-81.31439450000001 28.4444131),77186.2,830825.1
,3,26582361,,parking,,,"POLYGON ((-81.3019625 28.4159537, -81.301705 28.4158178, -81.2998339 28.4158329, -81.2998339 28.415463, -81.2987267 28.415463, -81.2987438 28.4197055, -81.30187290000001 28.4196694, -81.3019797 28.4196979, -81.3019711 28.418777, -81.3019625 28.4159537))",POINT (-81.30031510000001 28.4176928),139627.3,1502933.9
,4,26582362,,parking,,,"POLYGON ((-81.301911 28.4152365, -81.301911 28.4149874, -81.3003489 28.4150025, -81.3003403 28.4139306, -81.2987095 28.4139457, -81.2987181 28.4152667, -81.301911 28.4152365))",POINT (-81.2997742 28.4146782),27611.1,297203.5
,5,26582363,,parking,,,"POLYGON ((-81.3042208 28.4204189, -81.30420359999999 28.4191054, -81.3020827 28.4191091, -81.3020836 28.4204265, -81.3042208 28.4204189))",POINT (-81.3031472 28.4197658),30379.1,326997.4
,6,41450576,,parking,,,"POLYGON ((-81.2982325 28.4503508, -81.2990221 28.4504867, -81.29994050000001 28.4506451, -81.30018080000001 28.4506753, -81.30053270000001 28.4507131, -81.30174289999999 28.4507885, -81.30245530000001 28.4508187, -81.3029617 28.4508338, -81.30342520000001 28.4508414, -81.3036827 28.4508112, -81.3039144 28.4507508, -81.3041119 28.4506753, -81.3043007 28.4505697, -81.3044981 28.4504112, -81.3046526 28.4502603, -81.30476419999999 28.4501093, -81.3048414 28.449966, -81.30492719999999 28.4497547, -81.3049616 28.449566, -81.30497870000001 28.4493547, -81.304953 28.449166, -81.3049015 28.4489698, -81.3048242 28.4487962, -81.30467830000001 28.4485321, -81.3045925 28.4483284, -81.3045496 28.4481699, -81.3045067 28.4479661, -81.3044809 28.4476869, -81.304438 28.4474907, -81.3043522 28.4472869, -81.30421490000001 28.4471133, -81.30401740000001 28.4469473, -81.30379430000001 28.4468266, -81.303511 28.4467511, -81.3032364 28.446736, -81.3029617 28.4467813, -81.30269079999999 28.4468828, -81.3025068 28.4470077, -81.3022837 28.4471888, -81.3019575 28.4474605, -81.3018288 28.4474982, -81.30160619999999 28.4475107, -81.30143390000001 28.447551, -81.3003181 28.4481699, -81.2994856 28.4486378, -81.2981037 28.4494151, -81.29790629999999 28.4495434, -81.2977861 28.4497018, -81.2977518 28.4498754, -81.2977861 28.450049, -81.2978634 28.4501622, -81.2979921 28.4502754, -81.2982325 28.4503508))",POINT (-81.30193060000001 28.4491423),209244.4,2252286.2
,7,74328802,,parking,,,"POLYGON ((-81.31307579999999 28.4495526, -81.3132841 28.4495255, -81.31327469999999 28.4494665, -81.3132452 28.449397, -81.3131889 28.4492767, -81.3129823 28.449279, -81.3129361 28.4493471, -81.31296380000001 28.4493692, -81.3129957 28.4493999, -81.3130317 28.4494438, -81.3130625 28.4495008, -81.31307579999999 28.4495526))",POINT (-81.31312200000001 28.449405),683.7,7359.3
,8,74328822,,parking,,,"POLYGON ((-81.3132626 28.4505431, -81.313213 28.4505336, -81.3132251 28.4504865, -81.3132506 28.450424, -81.3133029 28.4503345, -81.31337259999999 28.4502153, -81.3134182 28.45024, -81.3133002 28.4504275, -81.3132774 28.4504829, -81.3132626 28.4505431))",POINT (-81.31330850000001 28.4503781),183.5,1975.0
Bus Stop 2,9,118297032,,yes,,,"POLYGON ((-81.302679 28.4485055, -81.3028425 28.4491934, -81.3027029 28.4492191, -81.3025394 28.4485311, -81.302679 28.4485055))",POINT (-81.302691 28.4488623),1085.1,11679.6
