name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,30198403,,,0,,,,121.3208955,31.1650749,,,
,1,81315710,,,0,,,,121.353518,31.18478,,,
,2,81315723,motorway_junction,,0,,,,121.3377826,31.1719538,,,
,3,81328212,motorway_junction,,0,,,,121.3320522,31.1699257,,,
,4,81328503,,,0,,,,121.3306088,31.1695723,,,
,5,81328511,,,0,,,,121.3182185,31.1753966,,,
,6,81329033,,,0,,,,121.2989346,31.2102801,,,
,7,81329034,,,0,,,,121.2983347,31.2201545,,,
,8,81329186,,,0,,,,121.2953831,31.2092669,,,
,9,81329192,traffic_signals,,1,,,,121.2932464,31.207189,,,
,10,81329194,,,0,,,,121.2930919,31.2070589,,,
,11,81329412,,,0,,,,121.2909028,31.2089089,,,
,12,81330960,,,0,,,,121.2985989,31.2108087,,,
,13,81330961,,,0,,,,121.2986223,31.2102684,,,
,14,81330971,,,0,,,,121.3109271,31.1827568,,,
,15,81331203,,,0,,,,121.3153784,31.1770497,,,
,16,81331204,,,0,,,,121.316797,31.1759655,,,
,17,81331206,,,0,,,,121.3182944,31.1750199,,,
,18,81331384,,,0,,,,121.3325248,31.1699537,,,
,19,81331686,,,0,,,,121.3168439,31.1762812,,,
,20,94526908,,,0,,,,121.2983533,31.2198345,,,
,21,94544419,,,0,,,,121.3386913,31.1722479,,,
,22,171117164,,,0,,,,121.342977,31.1965677,,,
,23,171132651,,,0,,,,121.3542947,31.1878377,,,
,24,171133282,,,0,,,,121.3614859,31.1878333,,,
,25,172150371,traffic_signals,,1,,,,121.3464114,31.1955594,,,
,26,172768217,,,0,,,,121.3560726,31.186148,,,
,27,172792038,motorway_junction,,0,,,,121.3531983,31.1870261,,,
,28,172792092,,,0,,,,121.353294,31.1881839,,,
,29,172792187,,,0,,,,121.3517845,31.1895448,,,
,30,172817255,,,0,,,,121.3360091,31.2030452,,,
,31,172817276,,,0,,,,121.337143,31.1820961,,,
,32,172817294,,,0,,,,121.336202,31.1992377,,,
