name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
2号航站楼 Terminal 2,0,70364442,,hall,,,"POLYGON ((121.3208547 31.1957272, 121.3208695 31.1955069, 121.3208809 31.1955057, 121.3208815 31.1954375, 121.3210418 31.1954421, 121.3213966 31.1954522, 121.3216245 31.1954587, 121.3222496 31.1954895, 121.3224104 31.1954975, 121.3225552 31.1955046, 121.3229294 31.1955195, 121.323376 31.1951742, 121.3233941 31.1946941, 121.32337 31.1946941, 121.3234189 31.193744, 121.3234281 31.1936212, 121.323431 31.193583, 121.3234725 31.1936232, 121.3237059 31.1938389, 121.3236965 31.194097, 121.3235503 31.1940936, 121.323541 31.1942886, 121.3236818 31.1942955, 121.3236657 31.194697, 121.3236429 31.1950251, 121.3237273 31.1950652, 121.3238548 31.1950713, 121.3240398 31.1950744, 121.324186 31.195079, 121.3242973 31.1950824, 121.3243711 31.1934259, 121.3236912 31.1927915, 121.3237435 31.1919586, 121.3239098 31.1919597, 121.32394 31.1912931, 121.3239667 31.1912942, 121.3240519 31.1912978, 121.3239942 31.1923785, 121.3239795 31.1926515, 121.3251543 31.193762, 121.3281611 31.1938848, 121.3281476 31.1942232, 121.3256089 31.1941211, 121.3247587 31.1947865, 121.3246916 31.1959382, 121.3246232 31.1972472, 121.3245897 31.1978838, 121.3253635 31.1986146, 121.3278995 31.1987155, 121.3278848 31.1990608, 121.3248807 31.1989369, 121.3235879 31.199951, 121.3235611 31.2004993, 121.323549 31.2004988, 121.3235047 31.201308, 121.3234001 31.2013058, 121.323435 31.2006267, 121.3232768 31.2006255, 121.3233156 31.1997881, 121.3240613 31.1991996, 121.3240935 31.1986582, 121.324127 31.1980181, 121.3241565 31.1975466, 121.3237683 31.1975345, 121.3236161 31.1975294, 121.3236161 31.1975543, 121.3234256 31.1975466, 121.322853 31.1970063, 121.3221772 31.1969808, 121.321878 31.1969695, 121.3213456 31.1969485, 121.3208031 31.1969271, 121.3208071 31.1968611, 121.320793 31.1968594, 121.3208091 31.1966438, 121.320812 31.1965854, 121.3208547 31.1957272))",POINT (121.3239276 31.1962569),139570.5,1502323.2
上海虹桥站,1,70364443,,train_station,,,"POLYGON ((121.3141808 31.1966812, 121.3141939 31.1963859, 121.3139435 31.1963751, 121.3139843 31.1955135, 121.3142364 31.1955241, 121.3142556 31.1952046, 121.3143633 31.1952088, 121.3149747 31.1952329, 121.3157786 31.1952646, 121.3164642 31.1952916, 121.3174612 31.1953309, 121.317687 31.1953398, 121.3181038 31.1953562, 121.3184573 31.1953701, 121.3184365 31.1957363, 121.3184261 31.1959017, 121.3182745 31.1958963, 121.3182522 31.1963523, 121.3184041 31.1963577, 121.3183848 31.196556, 121.3183667 31.1968556, 121.3180172 31.196841, 121.3175962 31.1968235, 121.3163903 31.1967733, 121.3156825 31.1967438, 121.3148876 31.1967107, 121.3142877 31.1966857, 121.3141808 31.1966812))",POINT (121.3162197 31.1960238),67347.6,724922.9
,2,71898265,,parking,,,"POLYGON ((121.3208783 31.197738, 121.3209035 31.1969666, 121.3223003 31.1970008, 121.3222483 31.1977746, 121.3222228 31.1977739, 121.3221974 31.1977732, 121.3209795 31.1977407, 121.3209125 31.1977389, 121.3208783 31.197738))",POINT (121.3215831 31.1973688),11300.2,121634.3
1号航站楼 Terminal 1,3,93184730,,hall,,,"POLYGON ((121.3411624 31.1963289, 121.3411181 31.1962881, 121.3411684 31.1962474, 121.3411825 31.19603, 121.3411839 31.1959394, 121.3411376 31.1958992, 121.3411433 31.1957708, 121.341155 31.1955052, 121.3412113 31.1954656, 121.341214 31.1953985, 121.3412181 31.1952912, 121.3412288 31.1951622, 121.3411792 31.1951191, 121.3412355 31.1950698, 121.3412556 31.194767, 121.3412764 31.19428, 121.341259 31.19428, 121.341269 31.1941268, 121.3412824 31.1940442, 121.3413428 31.1940064, 121.3414823 31.1940138, 121.3415285 31.1940614, 121.3415252 31.1941784, 121.341721 31.1941842, 121.3417169 31.1942828, 121.3415198 31.194276, 121.3415131 31.1943746, 121.341548 31.1943781, 121.3415453 31.1944761, 121.3415815 31.1945094, 121.3416284 31.1944733, 121.3418625 31.1944807, 121.3418785 31.1945002, 121.3418698 31.1946901, 121.341847 31.1946993, 121.3418303 31.1950159, 121.3418544 31.1950365, 121.3418987 31.1950337, 121.3418926 31.1951163, 121.3419087 31.1951375, 121.3420764 31.1951444, 121.3420713 31.1952049, 121.3421451 31.1952092, 121.3421444 31.1952304, 121.3421635 31.1952299, 121.3421587 31.1953022, 121.3421287 31.1957541, 121.3421079 31.1961212, 121.3421012 31.1962422, 121.3420985 31.1963311, 121.3420983 31.1963501, 121.3420971 31.196447, 121.342077 31.1964493, 121.3420737 31.1964992, 121.342239 31.1966452, 121.3431154 31.1966814, 121.3433424 31.1966908, 121.3436978 31.1965784, 121.3444025 31.1963552, 121.3444083 31.1963685, 121.3444357 31.196432, 121.3444406 31.1964433, 121.3444662 31.1965027, 121.3438446 31.1966828, 121.3438567 31.1967132, 121.3438024 31.1967298, 121.3438949 31.1969082, 121.3438942 31.1969627, 121.3438741 31.1973361, 121.3433645 31.1973194, 121.3431492 31.1973126, 121.3431486 31.1972839, 121.3430815 31.1972827, 121.3431016 31.1973458, 121.3430943 31.1974766, 121.343162 31.19748, 121.3431627 31.1974382, 121.3434919 31.1974502, 121.3435134 31.197437, 121.3439506 31.1974519, 121.3439713 31.1974754, 121.3442798 31.1974806, 121.3442805 31.1975793, 121.3446211 31.1975902, 121.3446154 31.1976862, 121.3446003 31.1976857, 121.3445943 31.197823, 121.3444179 31.1978162, 121.3438399 31.1977921, 121.3435462 31.1977812, 121.3430661 31.1977611, 121.3430641 31.1977456, 121.3430239 31.1977439, 121.3430121 31.1977327, 121.3429923 31.1977336, 121.3423178 31.1977095, 121.3416345 31.1976842, 121.3413991 31.1976779, 121.3411953 31.1976733, 121.3411684 31.1976682, 121.3411269 31.1976297, 121.3410947 31.1975959, 121.3410813 31.1975753, 121.341088 31.1973831, 121.3411094 31.197386, 121.3411242 31.1970613, 121.3411503 31.1966059, 121.3411624 31.1963289))",POINT (121.3422565 31.1965669),54317.6,584669.3
,4,101936681,,parking,,,"POLYGON ((121.3210418 31.1954421, 121.3210579 31.1946903, 121.321108 31.1946924, 121.3211627 31.1946948, 121.3223882 31.1947468, 121.3224153 31.194748, 121.3224104 31.1954975, 121.3222496 31.1954895, 121.3216245 31.1954587, 121.3213966 31.1954522, 121.3210418 31.1954421))",POINT (121.3217311 31.1950932),10756.8,115785.0
,5,107807507,,yes,,,"POLYGON ((121.3100107 31.1613686, 121.3101315 31.1614795, 121.3102951 31.161349, 121.3101743 31.1612381, 121.3100107 31.1613686))",POINT (121.3101529 31.1613588),358.6,3860.3
,6,107807635,,yes,,,"POLYGON ((121.3086888 31.1617776, 121.3089184 31.1618509, 121.3093515 31.1608581, 121.3091219 31.1607848, 121.3086888 31.1617776))",POINT (121.3090202 31.1613178),2743.5,29531.1
Sinopec,7,120930743,,fuel,,,"POLYGON ((121.299997 31.1750566, 121.3000241 31.1752979, 121.3002941 31.1752757, 121.3002669 31.1750344, 121.299997 31.1750566))",POINT (121.3001455 31.1751662),696.5,7497.3
Xinda Commercial Building #1,8,247368783,,commercial,,,"POLYGON ((121.3498291 31.2260364, 121.3498505 31.2259768, 121.3499203 31.2259378, 121.349982 31.2259286, 121.3501348 31.2259286, 121.3505962 31.2259538, 121.3505854 31.2260479, 121.3506364 31.2260502, 121.350631 31.2261121, 121.3500249 31.2261167, 121.3499337 31.2261098, 121.3498639 31.2260846, 121.3498452 31.2260616, 121.3498291 31.2260364))",POINT (121.3502261 31.2260266),1384.8,14906.1
中国电信营业厅,9,262062251,,yes,,,"POLYGON ((121.3529915 31.2208128, 121.3529632 31.2204249, 121.3534376 31.2204008, 121.3534908 31.2204686, 121.3534993 31.2205631, 121.3535617 31.220648, 121.3535333 31.220745, 121.353482 31.2207757, 121.3529915 31.2208128))",POINT (121.353244 31.2206057),2156.3,23209.8
