name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,158030410,,,0,,,,139.7045284,35.6903957,,,
,1,158030430,,,0,,,,139.7060519,35.6929078,,,
,2,191500702,traffic_signals,,1,,,,139.6965455,35.6877392,20,,
,3,191504250,traffic_signals,,1,,,,139.699104,35.6936955,,,
,4,191504251,,,0,,,,139.7009925,35.6937352,,,
,5,191504252,traffic_signals,,1,,,,139.703489,35.6931368,23,,
,6,197004349,,,0,,,,139.6994135,35.6888318,,,
,7,260567674,traffic_signals,,1,,,,139.6970629,35.6931439,6,,
,8,260905739,,,0,,,,139.7061259,35.6894037,,,
,9,281366382,,,0,,,,139.7002976,35.6849381,,,
,10,281417261,,,0,,,,139.6985752,35.6879702,,,
,11,281418409,,,0,,,,139.6973545,35.6873307,,,
,12,281491577,,,0,,,,139.690931,35.6841213,,,
,13,281491578,,,0,,,,139.6908143,35.6842338,,,
,14,295393493,,,0,,,,139.691225,35.6837367,,,
,15,295403184,crossing,,0,,,,139.7037941,35.6844532,,,
,16,295403278,traffic_signals,,1,,,,139.7041541,35.6898354,14,,
,17,295403282,,,0,,,,139.7062011,35.6894807,,,
,18,295403316,traffic_signals,,1,,,,139.7040527,35.6897083,14,,
,19,295405191,,,0,,,,139.6994617,35.6887217,,,
,20,295405274,traffic_signals,,1,,,,139.6957267,35.6873857,12,,
,21,295405291,traffic_signals,,1,,,,139.6920178,35.684855,5,,
,22,295416366,traffic_signals,,1,,,,139.6964405,35.6893377,,,
,23,295416369,traffic_signals,,1,,,,139.6963862,35.6900206,,,
,24,295416420,traffic_signals,,1,,,,139.6943522,35.6926501,7,,
,25,295416423,traffic_signals,,1,,,,139.6951221,35.6937579,0,,
,26,295416458,traffic_signals,,1,,,,139.6944787,35.6926242,7,,
,27,295416486,traffic_signals,,1,,,,139.6948422,35.6910104,3,,
,28,295416542,,,0,,,,139.6963143,35.6911592,,,
,29,295416628,traffic_signals,,1,,,,139.6942381,35.6874261,19,,
,30,295416651,,,0,,,,139.6937727,35.6892234,,,
,31,295416696,,,0,,,,139.6933709,35.6908857,,,
,32,295416719,traffic_signals,,1,,,,139.6930918,35.6924522,2,,
,33,295416806,,,0,,,,139.6965956,35.6920287,,,
,34,295422430,traffic_signals,,1,,,,139.6919233,35.6849628,5,,
,35,295422454,,,0,,,,139.6916991,35.685706,,,
,36,295422479,,,0,,,,139.6913858,35.6872199,,,
,37,295422490,,,0,,,,139.6915496,35.6867115,,,
,38,295422511,traffic_signals,,1,,,,139.6910214,35.688637,1,,
,39,295422678,traffic_signals,,1,,,,139.6907967,35.6903261,9,,
,40,295422692,traffic_signals,,1,,,,139.6911957,35.6886646,1,,
,41,295422739,,,0,,,,139.6920809,35.6853597,,,
,42,295422743,,,0,,,,139.6925548,35.6854257,,,
,43,295422757,,,0,,,,139.6982439,35.6913494,,,
,44,295422762,traffic_signals,,1,,,,139.6908164,35.6902458,9,,
,45,295422914,traffic_signals,,1,,,,139.6889787,35.6883018,28,,
,46,295422943,traffic_signals,,1,,,,139.6894102,35.6861874,,,
,47,295422944,,,0,,,,139.6898741,35.6852593,,,
,48,295422991,,,0,,,,139.695149,35.68928,,,
,49,295422996,traffic_signals,,1,,,,139.6910577,35.6885189,1,,
,50,295423004,traffic_signals,,1,,,,139.6912247,35.6885445,1,,
,51,295423016,,,0,,,,139.6951813,35.689183,,,
,52,295429192,,,0,,,,139.6907048,35.6839792,,,
,53,304609775,,,0,,,,139.7007076,35.6857017,,,
,54,304610049,traffic_signals,,1,,,,139.6989475,35.6886546,18,,
,55,304610052,traffic_signals,,1,,,,139.701236,35.6848459,,,
,56,304610053,,,0,,,,139.7010868,35.6853061,,,
,57,304610250,,,0,,,,139.6984067,35.6902683,,,
,58,304610252,,,0,,,,139.6983316,35.6903129,,,
,59,304610254,traffic_signals,,1,,,,139.6982367,35.6910422,,,
,60,304610256,,,0,,,,139.6984335,35.6921972,,,
,61,304610258,,,0,,,,139.6992923,35.6920475,,,
,62,304610418,,,0,,,,139.6987149,35.6904805,,,
,63,304611116,traffic_signals,,1,,,,139.6989912,35.6885419,18,,
,64,317859834,,,0,,,,139.6917103,35.6847785,,,
,65,317859849,,,0,,,,139.6909888,35.6839356,,,
,66,317859907,,,0,,,,139.6986243,35.6910011,,,
,67,317859914,,,0,,,,139.6983373,35.691043,,,
,68,317859925,,,0,,,,139.6980802,35.6911491,,,
,69,430168808,,,0,,,,139.6916345,35.6867273,,,
,70,430170096,,,0,,,,139.6924457,35.6889509,,,
,71,430170101,traffic_signals,,1,,,,139.6916551,35.6922041,11,,
,72,471970153,,,0,,,,139.6934931,35.6904296,,,
,73,471978570,,,0,,,,139.6888365,35.6888216,,,
,74,471978613,,,0,,,,139.6885386,35.686822,,,
,75,471978614,,,0,,,,139.6886406,35.6868638,,,
,76,471978615,,,0,,,,139.689219,35.6870648,,,
,77,471978616,,,0,,,,139.688484,35.6873871,,,
,78,471978619,,,0,,,,139.6889975,35.6859536,,,
,79,471978631,,,0,,,,139.6883205,35.6857775,,,
,80,471978667,,,0,,,,139.6891684,35.6856985,,,
,81,471978669,,,0,,,,139.6890481,35.685063,,,
,82,471978670,,,0,,,,139.6894037,35.6852649,,,
,83,471978672,,,0,,,,139.6887408,35.6848964,,,
,84,471978673,,,0,,,,139.6885091,35.6847757,,,
,85,471978674,,,0,,,,139.6883262,35.6846796,,,
,86,471978680,,,0,,,,139.6895256,35.6850748,,,
,87,471978681,,,0,,,,139.6896017,35.6844401,,,
,88,471978682,,,0,,,,139.6892552,35.6842646,,,
,89,471978684,,,0,,,,139.6886612,35.6839959,,,
,90,472359807,,,0,,,,139.6892388,35.6930815,,,
,91,472359843,,,0,,,,139.6902728,35.6883921,,,
,92,472359845,,,0,,,,139.6896202,35.6849405,,,
,93,472359968,,,0,,,,139.6951076,35.6899622,,,
,94,472359970,,,0,,,,139.6980778,35.6900976,,,
,95,472359971,,,0,,,,139.6981208,35.6894142,,,
,96,472359973,,,0,,,,139.6987342,35.6894335,,,
,97,472359974,,,0,,,,139.6987738,35.6891473,,,
,98,472359976,,,0,,,,139.6965213,35.6883066,,,
,99,472359977,,,0,,,,139.6956727,35.6879883,,,
,100,472359980,,,0,,,,139.6971142,35.6885422,,,
,101,472359981,,,0,,,,139.6970527,35.689367,,,
,102,472359983,,,0,,,,139.6970019,35.6900485,,,
,103,472359984,,,0,,,,139.6974797,35.6900703,,,
,104,472359985,,,0,,,,139.6975408,35.6893886,,,
,105,472359987,,,0,,,,139.6975945,35.688725,,,
,106,472359988,,,0,,,,139.6981509,35.6889368,,,
,107,472359990,,,0,,,,139.6981385,35.6891329,,,
,108,472359991,,,0,,,,139.6975654,35.6891126,,,
,109,472359992,,,0,,,,139.6982599,35.6889545,,,
,110,472359993,,,0,,,,139.6985254,35.688486,,,
,111,472359994,,,0,,,,139.6978604,35.6882412,,,
