name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
NSビル,0,45763022,,yes,,,"POLYGON ((139.6933364 35.687667, 139.6931686 35.687631, 139.6930119 35.6882096, 139.6930383 35.6882139, 139.6930262 35.6882601, 139.6930017 35.688257, 139.6929676 35.6884082, 139.6935 35.6884951, 139.6935126 35.6884475, 139.6935653 35.6884558, 139.6935535 35.6885037, 139.6935912 35.6885115, 139.6935881 35.6885236, 139.6935972 35.6885378, 139.693682 35.6885514, 139.6937 35.6885406, 139.6937038 35.688528, 139.69374 35.6885353, 139.6938801 35.6879592, 139.6938572 35.6879539, 139.6938688 35.6879081, 139.6938911 35.6879106, 139.6939317 35.6877588, 139.6933943 35.6876736, 139.6933842 35.687716, 139.6933267 35.6877074, 139.6933364 35.687667))",POINT (139.6934502 35.6880872),6176.2,66480.4
新宿ナイアガラの滝,1,54044218,,fountain,,,"POLYGON ((139.6895288 35.6901816, 139.689535 35.6902408, 139.68961 35.6902571, 139.6896446 35.6901604, 139.6896668 35.6901215, 139.6896788 35.6900721, 139.6896625 35.6900175, 139.6896657 35.6899847, 139.6896766 35.6899511, 139.6895857 35.6899413, 139.6895874 35.6900374, 139.6895749 35.6900652, 139.6895423 35.6901079, 139.6895295 35.6901386, 139.6895288 35.6901816))",POINT (139.6896053 35.6901035),302.5,3256.5
高野,2,55798479,,retail,,,"POLYGON ((139.7019191 35.6920698, 139.7018199 35.6919112, 139.7017578 35.6919357, 139.7017385 35.6919017, 139.7017945 35.6918797, 139.7017506 35.6917979, 139.70201 35.691705, 139.7020289 35.6917368, 139.7020541 35.6917282, 139.7021525 35.6918865, 139.702136 35.6918928, 139.7021848 35.6919589, 139.7019191 35.6920698))",POINT (139.7019646 35.6918821),932.1,10032.7
小田急ハルク,3,55798481,,retail,,,"POLYGON ((139.697876 35.6928511, 139.6990854 35.6926548, 139.6991098 35.6926173, 139.6990979 35.6925846, 139.6991612 35.692304, 139.6990786 35.6922698, 139.6984333 35.6923766, 139.6983712 35.6923901, 139.6983122 35.6924179, 139.6982639 35.6924522, 139.6980643 35.6926175, 139.6978422 35.6927968, 139.697876 35.6928511))",POINT (139.698579 35.6925595),4118.3,44329.2
新宿アルタ,4,55798483,,retail,,,"POLYGON ((139.7012785 35.6929462, 139.701162 35.692743, 139.7011351 35.6927518, 139.701043 35.6925411, 139.701169 35.6925228, 139.7012845 35.6925061, 139.7014128 35.6927152, 139.7014843 35.6926914, 139.7015443 35.6927876, 139.7014704 35.6928148, 139.7015186 35.6928935, 139.7012785 35.6929462))",POINT (139.7012913 35.6927237),1179.5,12695.9
LABI 新宿東口館,5,55798484,,retail,,,"POLYGON ((139.7006105 35.6934669, 139.7005781 35.6934481, 139.7005509 35.6934266, 139.7005297 35.6934041, 139.7005108 35.6933767, 139.7004993 35.6933526, 139.7004916 35.6933276, 139.7004877 35.6932991, 139.7004885 35.6932714, 139.7004968 35.6932348, 139.7010269 35.6931183, 139.7010484 35.693157, 139.7010965 35.6931371, 139.7011974 35.6933125, 139.7010859 35.6933534, 139.7010604 35.6933113, 139.7009638 35.6933467, 139.7010354 35.6934508, 139.7008648 35.693482, 139.7008034 35.6934925, 139.7007589 35.6934957, 139.7007156 35.6934951, 139.7006733 35.6934887, 139.7006411 35.6934794, 139.7006105 35.6934669))",POINT (139.7008221 35.6933111),1753.7,18876.3
新宿中村屋,6,55798486,,yes,,,"POLYGON ((139.7021981 35.6919568, 139.7023288 35.6919, 139.7022452 35.6917508, 139.7023783 35.6917016, 139.7023383 35.6916304, 139.7024746 35.6915764, 139.7024556 35.691532, 139.702062 35.6916822, 139.7021981 35.6919568))",POINT (139.7022397 35.6917375),670.6,7218.5
ビックロ,7,55798487,,retail,,,"POLYGON ((139.7030385 35.6915765, 139.7029673 35.6914555, 139.7026084 35.6915658, 139.7025028 35.6912886, 139.7025376 35.6912505, 139.7033628 35.6911465, 139.7034983 35.6913427, 139.7035126 35.6913634, 139.7030385 35.6915765))",POINT (139.7029969 35.6913495),2774.4,29863.5
紀伊國屋書店,8,55798488,,retail,,,"POLYGON ((139.7031544 35.6926034, 139.7027398 35.691933, 139.7028796 35.6918759, 139.7032943 35.6925463, 139.7031544 35.6926034))",POINT (139.703017 35.6922397),1174.9,12646.9
京王百貨店新宿店,9,55897085,,retail,,,"POLYGON ((139.69928 35.690946, 139.6992674 35.6909404, 139.6992591 35.6909368, 139.699154 35.6908903, 139.6988942 35.6907755, 139.6988692 35.6907575, 139.6988531 35.6907393, 139.6988434 35.6907189, 139.6988394 35.6906944, 139.6989249 35.6900494, 139.698927 35.6900334, 139.6989292 35.6900174, 139.6989786 35.6896532, 139.69902 35.6893481, 139.6995043 35.6893987, 139.6994749 35.6896086, 139.6994655 35.689676, 139.6994567 35.689733, 139.6994493 35.6897809, 139.6994271 35.6899253, 139.6994188 35.689979, 139.6994117 35.6900257, 139.6994035 35.6900799, 139.699397 35.6901229, 139.6993844 35.6902253, 139.6993812 35.6902475, 139.6993792 35.6902614, 139.6993765 35.6902799, 139.6993694 35.6903286, 139.6993683 35.6903363, 139.699349 35.6904694, 139.6993338 35.6905743, 139.6993094 35.6907427, 139.6992959 35.6908364, 139.6992865 35.6909015, 139.69928 35.690946))",POINT (139.6991638 35.6901062),7142.8,76884.2
