o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
1,A1,1,A1,0.0,"LINESTRING (-111.94757 33.42913,-111.94757 33.42913)"
1,A1,2,A2,0.42748588643181085,"LINESTRING (-111.94757 33.42913,-111.9431799 33.4285339)"
1,A1,3,A3,0.8913415813818747,"LINESTRING (-111.94757 33.42913,-111.9383631 33.4283768)"
1,A1,4,A4,1.552725922005457,"LINESTRING (-111.94757 33.42913,-111.9314786 33.4289798)"
1,A1,5,A5,1.9136060503949228,"LINESTRING (-111.94757 33.42913,-111.9277505 33.4284226)"
1,A1,6,A6,2.3897425914633788,"LINESTRING (-111.94757 33.42913,-111.9228591 33.4274675)"
1,A1,7,A7,2.9989091999975357,"LINESTRING (-111.94757 33.42913,-111.91649 33.42913)"
1,A1,8,B1,0.4998182000009605,"LINESTRING (-111.94757 33.42913,-111.94757 33.42395)"
1,A1,9,B2,0.7327200659099538,"LINESTRING (-111.94757 33.42913,-111.9419856 33.4239842)"
1,A1,10,B3,1.125896233087541,"LINESTRING (-111.94757 33.42913,-111.9371483 33.4238819)"
1,A1,11,B4,1.6582120396615272,"LINESTRING (-111.94757 33.42913,-111.9314825 33.4230862)"
1,A1,12,B5,2.110696146892535,"LINESTRING (-111.94757 33.42913,-111.9264144 33.4235672)"
1,A1,13,B6,2.510888915826765,"LINESTRING (-111.94757 33.42913,-111.9221859 33.4234025)"
1,A1,14,B7,2.875440716539318,"LINESTRING (-111.94757 33.42913,-111.9185574 33.4223233)"
1,A1,15,C1,0.9996364000005498,"LINESTRING (-111.94757 33.42913,-111.94757 33.41877)"
1,A1,16,C2,1.127017283141626,"LINESTRING (-111.94757 33.42913,-111.9415843 33.4191002)"
1,A1,17,C3,1.4107339689965608,"LINESTRING (-111.94757 33.42913,-111.9373079 33.4187161)"
1,A1,18,C4,1.7768865908195068,"LINESTRING (-111.94757 33.42913,-111.9322588 33.4188982)"
1,A1,19,C5,2.318807951803164,"LINESTRING (-111.94757 33.42913,-111.9264143 33.4177302)"
1,A1,20,C6,2.7015719146899495,"LINESTRING (-111.94757 33.42913,-111.9218356 33.4181003)"
1,A1,21,C7,2.992502997549538,"LINESTRING (-111.94757 33.42913,-111.9184559 33.4184429)"
1,A1,22,D1,1.4994546000015103,"LINESTRING (-111.94757 33.42913,-111.94757 33.41359)"
1,A1,23,D2,1.3315389646531262,"LINESTRING (-111.94757 33.42913,-111.9432823 33.4160133)"
1,A1,24,D3,1.7102847850992033,"LINESTRING (-111.94757 33.42913,-111.9360074 33.4156956)"
1,A1,25,D4,1.9359848488656777,"LINESTRING (-111.94757 33.42913,-111.9326214 33.4157468)"
1,A1,26,D5,2.4059037672517705,"LINESTRING (-111.94757 33.42913,-111.9267439 33.4154191)"
1,A1,27,D6,2.858826840406953,"LINESTRING (-111.94757 33.42913,-111.9212343 33.4155556)"
1,A1,28,D7,3.0991145196745644,"LINESTRING (-111.94757 33.42913,-111.9184124 33.4156603)"
1,A1,29,Gate1,1.580563928005573,"LINESTRING (-111.94757 33.42913,-111.95275 33.41359)"
1,A1,30,Gate2,1.117627471590667,"LINESTRING (-111.94757 33.42913,-111.95275 33.41877)"
1,A1,31,Gate3,0.7068496771603272,"LINESTRING (-111.94757 33.42913,-111.95275 33.42395)"
1,A1,32,Gate4,0.49981819999958926,"LINESTRING (-111.94757 33.42913,-111.95275 33.42913)"
1,A1,33,Gate5,0.49981819999958926,"LINESTRING (-111.94757 33.42913,-111.94757 33.43431)"
1,A1,34,Gate6,0.7068496771603272,"LINESTRING (-111.94757 33.42913,-111.94239 33.43431)"
1,A1,35,Gate7,1.1176274715918935,"LINESTRING (-111.94757 33.42913,-111.93721 33.43431)"
1,A1,36,Gate8,1.580563928005573,"LINESTRING (-111.94757 33.42913,-111.93203 33.43431)"
1,A1,37,Gate9,2.0608032322057297,"LINESTRING (-111.94757 33.42913,-111.92685 33.43431)"
1,A1,38,Gate10,2.5485827550480713,"LINESTRING (-111.94757 33.42913,-111.92167 33.43431)"
1,A1,39,Gate11,3.040275418921308,"LINESTRING (-111.94757 33.42913,-111.91649 33.43431)"
1,A1,40,Gate12,3.498727399999867,"LINESTRING (-111.94757 33.42913,-111.91131 33.42913)"
1,A1,41,Gate13,3.534248385804545,"LINESTRING (-111.94757 33.42913,-111.91131 33.42395)"
1,A1,42,Gate14,3.6387314206624115,"LINESTRING (-111.94757 33.42913,-111.91131 33.41877)"
1,A1,43,Gate15,3.806502005381241,"LINESTRING (-111.94757 33.42913,-111.91131 33.41359)"
1,A1,44,Gate16,3.604240297020311,"LINESTRING (-111.94757 33.42913,-111.91649 33.40841)"
1,A1,45,Gate17,3.200398030730427,"LINESTRING (-111.94757 33.42913,-111.92167 33.40841)"
1,A1,46,Gate18,2.827398708643248,"LINESTRING (-111.94757 33.42913,-111.92685 33.40841)"
1,A1,47,Gate19,2.499090999999866,"LINESTRING (-111.94757 33.42913,-111.93203 33.40841)"
1,A1,48,Gate20,2.2352549431831736,"LINESTRING (-111.94757 33.42913,-111.93721 33.40841)"
1,A1,49,Gate21,2.0608032322060623,"LINESTRING (-111.94757 33.42913,-111.94239 33.40841)"
1,A1,50,Gate22,1.9992727999997282,"LINESTRING (-111.94757 33.42913,-111.94757 33.40841)"
2,A2,1,A1,0.42748588643181085,"LINESTRING (-111.9431799 33.4285339,-111.94757 33.42913)"
2,A2,2,A2,0.0,"LINESTRING (-111.9431799 33.4285339,-111.9431799 33.4285339)"
2,A2,3,A3,0.4650224327119495,"LINESTRING (-111.9431799 33.4285339,-111.9383631 33.4283768)"
2,A2,4,A4,1.1298795856822048,"LINESTRING (-111.9431799 33.4285339,-111.9314786 33.4289798)"
2,A2,5,A5,1.4888286870641745,"LINESTRING (-111.9431799 33.4285339,-111.9277505 33.4284226)"
2,A2,6,A6,1.963451993179513,"LINESTRING (-111.9431799 33.4285339,-111.9228591 33.4274675)"
2,A2,7,A7,2.575953089956731,"LINESTRING (-111.9431799 33.4285339,-111.91649 33.42913)"
2,A2,8,B1,0.6124239159016943,"LINESTRING (-111.9431799 33.4285339,-111.94757 33.42395)"
2,A2,9,B2,0.4538713748180318,"LINESTRING (-111.9431799 33.4285339,-111.9419856 33.4239842)"
