agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
1,v,2742,2868,,,2,3,"LINESTRING(-111.9426416 33.4296715,-111.9395159 33.430268)",0738
2,v,1914,1259,5634899204.0,5266179152.0,2,3,"LINESTRING(-111.944278 33.4269646,-111.9387635 33.427076)",0703
3,v,3047,2736,,,2,3,"LINESTRING(-111.9439797 33.426675,-111.9353213 33.4273596)",0745
4,v,2765,1259,,5266179152.0,2,3,"LINESTRING(-111.9418549 33.4289587,-111.9387635 33.427076)",0713
5,v,1923,2927,5634899228.0,,2,3,"LINESTRING(-111.9449232 33.4294451,-111.9391558 33.4269134)",0713
6,v,2120,1259,5697244757.0,5266179152.0,2,3,"LINESTRING(-111.9442568 33.4295279,-111.9387635 33.427076)",0751
7,v,3074,2868,,,2,3,"LINESTRING(-111.939942 33.427787,-111.9395159 33.430268)",0708
8,v,1914,2926,5634899204.0,,2,3,"LINESTRING(-111.944278 33.4269646,-111.9394959 33.4278439)",0718
9,v,2742,1259,,5266179152.0,2,3,"LINESTRING(-111.9426416 33.4296715,-111.9387635 33.427076)",0749
10,v,3074,3058,,,2,4,"LINESTRING(-111.939942 33.427787,-111.9322502 33.4274587)",0707
11,v,2749,2944,,,2,4,"LINESTRING(-111.9433358 33.4277712,-111.9301937 33.4297)",0759
12,v,2168,2943,5907585046.0,,2,4,"LINESTRING(-111.9443136 33.4283475,-111.9321107 33.4305406)",0715
13,v,1928,2720,5641347332.0,,2,4,"LINESTRING(-111.9443068 33.4280856,-111.9323497 33.4282513)",0736
14,v,3047,3099,,,2,4,"LINESTRING(-111.9439797 33.426675,-111.9305721 33.4276146)",0752
15,v,48,2943,41662581.0,,2,4,"LINESTRING(-111.9400679 33.4273849,-111.9321107 33.4305406)",0727
16,v,2158,2944,5907561206.0,,2,4,"LINESTRING(-111.9442763 33.4268689,-111.9301937 33.4297)",0703
17,v,2583,2852,,,2,4,"LINESTRING(-111.9447336 33.4302,-111.9297943 33.4274945)",0732
18,v,2158,2943,5907561206.0,,2,4,"LINESTRING(-111.9442763 33.4268689,-111.9321107 33.4305406)",0752
19,v,3042,3058,,,2,4,"LINESTRING(-111.9445403 33.4297769,-111.9322502 33.4274587)",0746
20,v,3049,2720,,,2,4,"LINESTRING(-111.9440529 33.4288937,-111.9323497 33.4282513)",0743
21,v,3043,2943,,,2,4,"LINESTRING(-111.944818 33.42935,-111.9321107 33.4305406)",0726
22,v,3041,2851,,,2,4,"LINESTRING(-111.944463 33.4300281,-111.9298064 33.4281537)",0746
