poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
1,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
2,industrial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,1
3,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,1
4,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
5,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
6,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
7,carport,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
8,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,1
9,library,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
10,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
11,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
12,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
13,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
14,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
15,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
16,roof;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
17,bus_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
18,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
19,bar,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
20,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
21,pharmacy,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
22,fire_station,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,1
23,restaurant,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
24,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,1
25,parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,1
26,theatre,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
27,garages,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
28,post_office,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
29,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
30,fast_food,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
31,college,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
32,ramada,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
33,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,1
34,apartments;bridge,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
35,community_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
36,cafe,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
37,apartments;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
38,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
39,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
40,yes;roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
41,office,"1,000 Sq. Ft. GFA",1,1.15,0.1,1,1
