activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
1,A1,-111.94757,33.42913,"POLYGON ((-111.95016 33.426539999999996,-111.95016 33.43172,-111.94498 33.43172,-111.94498 33.426539999999996,-111.95016 33.426539999999996))",POINT (-111.94757 33.42913),0,0,0,0,0,0,0,0.0,0.0
2,A2,-111.94317992439021,33.42853387317074,"POLYGON ((-111.94498 33.426539999999996,-111.94498 33.43172,-111.9398 33.43172,-111.9398 33.426539999999996,-111.94498 33.426539999999996))",POINT (-111.94317992439021 33.42853387317074),27,3,0,2,0,9,0,740.4855011589314,579.1161748513408
3,A3,-111.93836309999999,33.428376799999995,"POLYGON ((-111.9398 33.426539999999996,-111.9398 33.43172,-111.93462000000001 33.43172,-111.93462000000001 33.426539999999996,-111.9398 33.426539999999996))",POINT (-111.93836309999999 33.428376799999995),8,0,2,0,0,2,0,212.2000396572672,158.41699884134403
4,A4,-111.9314786090909,33.42897982727273,"POLYGON ((-111.93462000000001 33.426539999999996,-111.93462000000001 33.43172,-111.92944000000001 33.43172,-111.92944000000001 33.426539999999996,-111.93462000000001 33.426539999999996))",POINT (-111.9314786090909 33.42897982727273),11,0,0,0,0,1,0,630.6090296835586,619.8348289852162
5,A5,-111.92775045,33.428422616666666,"POLYGON ((-111.92944000000001 33.426539999999996,-111.92944000000001 33.43172,-111.92426000000002 33.43172,-111.92426000000002 33.426539999999996,-111.92944000000001 33.426539999999996))",POINT (-111.92775045 33.428422616666666),6,0,0,0,0,2,0,187.81655554988163,79.299127225152
6,A6,-111.922859125,33.427467475,"POLYGON ((-111.92426000000002 33.426539999999996,-111.92426000000002 33.43172,-111.91908000000002 33.43172,-111.91908000000002 33.426539999999996,-111.92426000000002 33.426539999999996))",POINT (-111.922859125 33.427467475),4,0,0,0,0,2,0,87.02187772810879,38.259135486656
7,A7,-111.91649000000002,33.42913,"POLYGON ((-111.91908000000002 33.426539999999996,-111.91908000000002 33.43172,-111.91390000000003 33.43172,-111.91390000000003 33.426539999999996,-111.91908000000002 33.426539999999996))",POINT (-111.91649000000002 33.42913),0,0,0,0,0,0,0,0.0,0.0
8,B1,-111.94757,33.42394999999999,"POLYGON ((-111.95016 33.42135999999999,-111.95016 33.426539999999996,-111.94498 33.426539999999996,-111.94498 33.42135999999999,-111.95016 33.42135999999999))",POINT (-111.94757 33.42394999999999),0,0,0,0,0,0,0,0.0,0.0
9,B2,-111.94198558101269,33.42398420886076,"POLYGON ((-111.94498 33.42135999999999,-111.94498 33.426539999999996,-111.9398 33.426539999999996,-111.9398 33.42135999999999,-111.94498 33.42135999999999))",POINT (-111.94198558101269 33.42398420886076),41,4,1,4,0,5,0,1375.2250659534016,1234.6291394936957
10,B3,-111.93714829482761,33.42388189568966,"POLYGON ((-111.9398 33.42135999999999,-111.9398 33.426539999999996,-111.93462000000001 33.426539999999996,-111.93462000000001 33.42135999999999,-111.9398 33.42135999999999))",POINT (-111.93714829482761 33.42388189568966),72,0,0,6,1,4,0,1911.3926309758144,1482.4345372672005
