agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
1,v,634,182,,4102444583,1,2,"LINESTRING(132.7105425 34.4063051,132.7133416 34.4060556)",0717
2,v,603,216,,4280235820,1,2,"LINESTRING(132.707755 34.4064783,132.7163964 34.4061759)",0753
3,v,610,614,,,1,2,"LINESTRING(132.7087093 34.4059371,132.7152276 34.4064562)",0753
4,v,608,627,,,1,2,"LINESTRING(132.7085171 34.4062393,132.7136918 34.4058771)",0717
5,v,603,216,,4280235820,1,2,"LINESTRING(132.707755 34.4064783,132.7163964 34.4061759)",0750
6,v,605,643,,,1,2,"LINESTRING(132.7078335 34.4057988,132.7155384 34.4057671)",0710
7,v,607,213,,4280235809,1,2,"LINESTRING(132.7088827 34.4062611,132.7153068 34.4056411)",0740
8,v,575,632,,,1,2,"LINESTRING(132.7098598 34.4066829,132.7119555 34.4059743)",0707
9,v,611,59,,1307418339,1,2,"LINESTRING(132.7091146 34.4062824,132.7138564 34.4061402)",0706
10,v,600,225,,4280248609,1,3,"LINESTRING(132.7075831 34.4062023,132.7178089 34.4060673)",0748
11,v,607,449,,,1,4,"LINESTRING(132.7088827 34.4062611,132.7111006 34.4006911)",0714
12,v,604,595,,,1,4,"LINESTRING(132.707586 34.4064196,132.7089923 34.4039366)",0707
13,v,634,705,,,1,4,"LINESTRING(132.7105425 34.4063051,132.710756 34.4037481)",0722
14,v,601,523,,,1,4,"LINESTRING(132.7075173 34.4063056,132.7113318 34.4035065)",0708
15,v,611,448,,,1,4,"LINESTRING(132.7091146 34.4062824,132.7110124 34.4011336)",0703
16,v,575,682,,,1,4,"LINESTRING(132.7098598 34.4066829,132.710897 34.4044885)",0711
17,v,602,568,,,1,4,"LINESTRING(132.707445 34.4064446,132.7103224 34.404739)",0707
18,v,605,447,,,1,4,"LINESTRING(132.7078335 34.4057988,132.7113702 34.402776)",0718
19,v,606,449,,,1,4,"LINESTRING(132.7089417 34.4065383,132.7111006 34.4006911)",0730
20,v,633,214,,4280235816,1,4,"LINESTRING(132.7106009 34.4060007,132.7092292 34.4055168)",0741
21,v,604,687,,,1,4,"LINESTRING(132.707586 34.4064196,132.7113848 34.4032423)",0703
22,v,608,442,,,1,4,"LINESTRING(132.7085171 34.4062393,132.7115384 34.4010572)",0702
23,v,605,569,,,1,4,"LINESTRING(132.7078335 34.4057988,132.7114297 34.4052975)",0741
24,v,604,689,,,1,4,"LINESTRING(132.707586 34.4064196,132.7095166 34.403603)",0733
25,v,606,214,,4280235816,1,4,"LINESTRING(132.7089417 34.4065383,132.7092292 34.4055168)",0745
26,v,575,569,,,1,4,"LINESTRING(132.7098598 34.4066829,132.7114297 34.4052975)",0729
27,v,600,551,,,1,5,"LINESTRING(132.7075831 34.4062023,132.7117097 34.4033507)",0725
28,v,602,694,,,1,5,"LINESTRING(132.707445 34.4064446,132.7154454 34.4037452)",0746
29,v,601,481,,,1,5,"LINESTRING(132.7075173 34.4063056,132.7148572 34.4039526)",0736
30,v,605,528,,,1,5,"LINESTRING(132.7078335 34.4057988,132.7166293 34.4017688)",0750
31,v,609,536,,,1,5,"LINESTRING(132.708574 34.4060711,132.7140657 34.4006349)",0713
32,v,412,567,,,1,5,"LINESTRING(132.7093185 34.4065,132.7156126 34.4004139)",0750
33,v,609,551,,,1,5,"LINESTRING(132.708574 34.4060711,132.7117097 34.4033507)",0732
34,v,610,477,,,1,5,"LINESTRING(132.7087093 34.4059371,132.7159722 34.401399)",0754
35,v,609,508,,,1,5,"LINESTRING(132.708574 34.4060711,132.7155859 34.4036401)",0740
36,v,600,694,,,1,5,"LINESTRING(132.7075831 34.4062023,132.7154454 34.4037452)",0744
37,v,604,698,,,1,5,"LINESTRING(132.707586 34.4064196,132.7151372 34.4045085)",0708
38,v,612,457,,,1,5,"LINESTRING(132.7095841 34.405831,132.715389 34.4052091)",0745
39,v,611,588,,,1,5,"LINESTRING(132.7091146 34.4062824,132.7118598 34.4017611)",0736
40,v,609,486,,,1,5,"LINESTRING(132.708574 34.4060711,132.7167606 34.4038257)",0749
41,v,606,698,,,1,5,"LINESTRING(132.7089417 34.4065383,132.7151372 34.4045085)",0749
42,v,609,706,,,1,5,"LINESTRING(132.708574 34.4060711,132.7160193 34.4018981)",0753
43,v,611,567,,,1,5,"LINESTRING(132.7091146 34.4062824,132.7156126 34.4004139)",0719
44,v,599,477,,,1,5,"LINESTRING(132.7074444 34.4058819,132.7159722 34.401399)",0747
45,v,575,509,,,1,5,"LINESTRING(132.7098598 34.4066829,132.7150574 34.400685)",0757
46,v,601,462,,,1,5,"LINESTRING(132.7075173 34.4063056,132.7152262 34.401291)",0752
47,v,602,516,,,1,5,"LINESTRING(132.707445 34.4064446,132.7124314 34.4052034)",0741
48,v,611,450,,,1,5,"LINESTRING(132.7091146 34.4062824,132.7134406 34.4029315)",0725
49,v,604,518,,,1,5,"LINESTRING(132.707586 34.4064196,132.7164141 34.4037893)",0707
50,v,611,577,,,1,5,"LINESTRING(132.7091146 34.4062824,132.71549 34.4045031)",0709
51,v,634,697,,,1,5,"LINESTRING(132.7105425 34.4063051,132.7135554 34.4050498)",0723
52,v,412,485,,,1,5,"LINESTRING(132.7093185 34.4065,132.712417 34.405398)",0729
53,v,544,688,,,1,5,"LINESTRING(132.7114525 34.4061969,132.7125421 34.4038975)",0728
54,v,601,528,,,1,5,"LINESTRING(132.7075173 34.4063056,132.7166293 34.4017688)",0711
55,v,634,592,,,1,6,"LINESTRING(132.7105425 34.4063051,132.7176327 34.40086)",0715
