name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
ブールバール　Boulevard,0,23720051,7,13,1,108.06226592976581,2,29,,tertiary,5,"LINESTRING (132.7166393 34.4057888, 132.7172218 34.4058782, 132.7177858 34.4060076)",auto;bike;walk,0
ブールバール　Boulevard,1,23720051,13,399,1,179.14615668240714,2,29,,tertiary,5,"LINESTRING (132.7177858 34.4060076, 132.7180036 34.4060461, 132.7188539 34.4061848, 132.7195244 34.4062992, 132.7197 34.4063258)",auto;bike;walk,0
ブールバール,2,25104941,400,7,1,285.59594881297676,2,29,,tertiary,5,"LINESTRING (132.7197 34.406254, 132.719536 34.4062343, 132.7182097 34.4060032, 132.7166393 34.4057888)",auto;bike;walk,0
イチョウ通り,3,25128691,0,270,1,21.026368441817265,1,29,,service,7,"LINESTRING (132.7145529 34.4054976, 132.7145381 34.4053089)",bike;walk,1
イチョウ通り,4,25128691,270,0,1,21.026368441817265,1,29,,service,7,"LINESTRING (132.7145381 34.4053089, 132.7145529 34.4054976)",bike;walk,1
イチョウ通り,5,25128691,270,31,1,67.69602077210571,1,29,,service,7,"LINESTRING (132.7145381 34.4053089, 132.7145244 34.4047002)",bike;walk,1
イチョウ通り,6,25128691,31,270,1,67.69602077210571,1,29,,service,7,"LINESTRING (132.7145244 34.4047002, 132.7145381 34.4053089)",bike;walk,1
イチョウ通り,7,25128691,31,140,1,74.73827376000482,1,29,,service,7,"LINESTRING (132.7145244 34.4047002, 132.7145236 34.4045398, 132.714498 34.4040285)",bike;walk,1
イチョウ通り,8,25128691,140,31,1,74.73827376000482,1,29,,service,7,"LINESTRING (132.714498 34.4040285, 132.7145236 34.4045398, 132.7145244 34.4047002)",bike;walk,1
イチョウ通り,9,25128691,140,141,1,17.465888838032527,1,29,,service,7,"LINESTRING (132.714498 34.4040285, 132.7144936 34.4039401, 132.7144936 34.4038715)",bike;walk,1
イチョウ通り,10,25128691,141,140,1,17.465888838032527,1,29,,service,7,"LINESTRING (132.7144936 34.4038715, 132.7144936 34.4039401, 132.714498 34.4040285)",bike;walk,1
