name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
,23,371670857.0,,parking,,,"POLYGON ((132.710135 34.3983515, 132.7103093 34.3981161, 132.7109313 34.3972046, 132.7104456 34.3969921, 132.7101717 34.3970991, 132.7095508 34.3980197, 132.7095947 34.3981177, 132.710135 34.3983515))",POINT (132.7102206 34.3976496),9498.5,102241.4,7
,257,884272468.0,,parking,,,"POLYGON ((132.7127735 34.4053522, 132.7133106 34.4053497, 132.7133182 34.4052972, 132.7138016 34.4052983, 132.7138325 34.4052984, 132.7138462 34.4052671, 132.714397 34.4052646, 132.7144015 34.4048277, 132.7143863 34.4047889, 132.7139437 34.4047907, 132.71379 34.4047914, 132.7137658 34.4047827, 132.713476 34.4047839, 132.7134532 34.4048027, 132.7133455 34.4048002, 132.7133113 34.4047987, 132.7132514 34.4048002, 132.7128129 34.4047989, 132.7127537 34.4048452, 132.7127735 34.4053522))",POINT (132.7135554 34.4050498),8518.1,91688.2,5
,24,371670859.0,,parking,,,"POLYGON ((132.7131463 34.3974446, 132.7140153 34.397452, 132.7141387 34.3974268, 132.7141376 34.3968987, 132.7140485 34.3968953, 132.7140469 34.3966449, 132.7137493 34.396644, 132.7136034 34.3968319, 132.713096 34.3968245, 132.7131076 34.3974382, 132.7131463 34.3974446))",POINT (132.713639 34.3971013),7164.2,77115.2,8
???u?????????????^,10,180637804.0,,yes,,,"POLYGON ((132.7129366 34.4032361, 132.7139022 34.4032406, 132.713912 34.4028525, 132.7137949 34.4028533, 132.7137922 34.4025545, 132.7131673 34.4025567, 132.7131598 34.4028502, 132.7129366 34.4028444, 132.7129366 34.4032361))",POINT (132.7134406 34.4029315),5738.6,61769.3,5
,135,428908830.0,,yes,,,"POLYGON ((132.709382 34.4069571, 132.7101196 34.4070222, 132.7101417 34.4068524, 132.7103217 34.4068683, 132.7103776 34.4064378, 132.7094599 34.4063567, 132.709382 34.4069571))",POINT (132.7098598 34.4066829),5364.5,57742.7,1
,155,429437743.0,,parking,,,"POLYGON ((132.7092307 34.4045082, 132.7092217 34.4039017, 132.7092212 34.403868, 132.7092153 34.4034737, 132.7092141 34.4033937, 132.7087482 34.403387, 132.7087498 34.4042583, 132.7089 34.4045151, 132.7092307 34.4045082))",POINT (132.7089923 34.4039366),5215.0,56133.6,4
,26,371670861.0,,parking,,,"POLYGON ((132.7156102 34.4012948, 132.7162777 34.4012873, 132.7162945 34.4014482, 132.7163913 34.4014151, 132.7164546 34.4013842, 132.7165372 34.4013331, 132.716638 34.4012585, 132.7161292 34.4007003, 132.7155947 34.4007173, 132.7156102 34.4012948))",POINT (132.7160377 34.4010489),5022.3,54059.6,5
,12,182521008.0,,public,,,"POLYGON ((132.7119951 34.4025679, 132.7120083 34.4028425, 132.7121024 34.4029751, 132.7122526 34.4030326, 132.7123492 34.4030282, 132.7124374 34.4029975, 132.7125155 34.402953, 132.7125799 34.40286, 132.7125887 34.4028016, 132.712596 34.4027538, 132.7125906 34.4026653, 132.7125233 34.4026566, 132.7125101 34.4025369, 132.7125638 34.4025281, 132.7125236 34.4024074, 132.712473 34.4023538, 132.7123873 34.4023007, 132.7122909 34.4022778, 132.7122034 34.4023014, 132.7121325 34.4023368, 132.7120595 34.4023864, 132.7120619 34.402515, 132.7120059 34.4025281, 132.7119951 34.4025679))",POINT (132.7122897 34.4026669),3588.7,38628.7,5
,21,371670855.0,,parking,,,"POLYGON ((132.7107454 34.405418, 132.7113462 34.405418, 132.7113458 34.4051007, 132.7115588 34.4051051, 132.7115427 34.4049191, 132.7107589 34.4049176, 132.7107454 34.405418))",POINT (132.711094 34.4051514),3406.3,36665.5,4
,17,371670837.0,,parking,,,"POLYGON ((132.7148119 34.4053164, 132.7153076 34.4053145, 132.7153079 34.4053576, 132.7156609 34.4053563, 132.7156612 34.4054162, 132.7159104 34.4054153, 132.7159084 34.4050541, 132.7150785 34.4050572, 132.7150786 34.4050867, 132.7147546 34.4050879, 132.7147556 34.4052696, 132.7148119 34.4053164))",POINT (132.715389 34.4052091),3340.4,35955.6,5
