activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
1,A1,132.70880326315788,34.40623036842106,"POLYGON ((132.70642 34.405559999999994,132.70642 34.41074,132.7116 34.41074,132.7116 34.405559999999994,132.70642 34.405559999999994))",POINT (132.70880326315788 34.40623036842106),18,0,0,0,0,0,0,129.37316996543998,114.37316996543998
2,A2,132.7142539942307,34.40616735961538,"POLYGON ((132.7116 34.405559999999994,132.7116 34.41074,132.71678 34.41074,132.71678 34.405559999999994,132.7116 34.405559999999994))",POINT (132.7142539942307 34.40616735961538),41,0,0,0,0,0,0,313.45549926592,148.45549926592
3,A3,132.71702924285714,34.40634035714286,"POLYGON ((132.71678 34.405559999999994,132.71678 34.41074,132.72196 34.41074,132.72196 34.405559999999994,132.71678 34.405559999999994))",POINT (132.71702924285714 34.40634035714286),5,0,0,0,0,0,0,46.89859017535999,16.89859017536
4,B1,132.7102556153846,34.40293096153846,"POLYGON ((132.70642 34.40037999999999,132.70642 34.405559999999994,132.7116 34.405559999999994,132.7116 34.40037999999999,132.70642 34.40037999999999))",POINT (132.7102556153846 34.40293096153846),35,0,0,0,5,8,0,392.13509218840966,265.96959329345924
5,B2,132.71481180294114,34.40307521911765,"POLYGON ((132.7116 34.40037999999999,132.7116 34.405559999999994,132.71678 34.405559999999994,132.71678 34.40037999999999,132.7116 34.40037999999999))",POINT (132.71481180294114 34.40307521911765),68,0,0,0,3,12,0,568.8622774664639,480.5345759481794
6,B3,132.71753188999998,34.40166947,"POLYGON ((132.71678 34.40037999999999,132.71678 34.405559999999994,132.72196 34.405559999999994,132.72196 34.40037999999999,132.71678 34.40037999999999))",POINT (132.71753188999998 34.40166947),9,0,0,0,0,0,0,38.22479861248001,38.22479861248001
7,C1,132.71071045625,34.39905306875,"POLYGON ((132.70642 34.39519999999999,132.70642 34.40037999999999,132.7116 34.40037999999999,132.7116 34.39519999999999,132.70642 34.39519999999999))",POINT (132.71071045625 34.39905306875),16,0,0,0,1,2,0,210.78483513134077,208.24414324834558
8,C2,132.71486738717948,34.39866854871796,"POLYGON ((132.7116 34.39519999999999,132.7116 34.40037999999999,132.71678 34.40037999999999,132.71678 34.39519999999999,132.7116 34.39519999999999))",POINT (132.71486738717948 34.39866854871796),39,0,0,0,2,6,0,350.5227380013312,317.74162561499514
9,C3,132.71794523333332,34.39661208333334,"POLYGON ((132.71678 34.39519999999999,132.71678 34.40037999999999,132.72196 34.40037999999999,132.72196 34.39519999999999,132.71678 34.39519999999999))",POINT (132.71794523333332 34.39661208333334),6,0,0,0,0,0,0,12.599157123200001,12.599157123200001
10,D1,132.7073985,34.3917959,"POLYGON ((132.70642 34.390019999999986,132.70642 34.39519999999999,132.7116 34.39519999999999,132.7116 34.390019999999986,132.70642 34.390019999999986))",POINT (132.7073985 34.3917959),1,0,0,0,0,0,0,1.7652813056,1.7652813056
11,D2,132.71358507142855,34.39268613571429,"POLYGON ((132.7116 34.390019999999986,132.7116 34.39519999999999,132.71678 34.39519999999999,132.71678 34.390019999999986,132.7116 34.390019999999986))",POINT (132.71358507142855 34.39268613571429),12,0,0,0,0,1,0,84.6847163833984,50.059184222848
12,D3,132.71848471538462,34.39301415384615,"POLYGON ((132.71678 34.390019999999986,132.71678 34.39519999999999,132.72196 34.39519999999999,132.72196 34.390019999999986,132.71678 34.390019999999986))",POINT (132.71848471538462 34.39301415384615),18,0,0,0,0,0,0,199.87813524992006,79.87813524991996
13,Gate1,132.70383,34.392610000000005,,POINT (132.70383 34.392610000000005),0,0,0,0,0,0,1,40.0,10.0
14,Gate2,132.70383,34.39779,,POINT (132.70383 34.39779),0,0,0,0,0,0,9,360.0,90.0
15,Gate3,132.70383,34.402969999999996,,POINT (132.70383 34.402969999999996),0,0,0,0,0,0,21,840.0,210.0
16,Gate4,132.70383,34.408150000000006,,POINT (132.70383 34.408150000000006),0,0,0,0,0,0,1,40.0,10.0
17,Gate5,132.70901,34.413329999999995,,POINT (132.70901 34.413329999999995),0,0,0,0,0,0,0,0.0,0.0
18,Gate6,132.71419,34.413329999999995,,POINT (132.71419 34.413329999999995),0,0,0,0,0,0,12,480.0,120.0
19,Gate7,132.71937,34.413329999999995,,POINT (132.71937 34.413329999999995),0,0,0,0,0,0,0,0.0,0.0
20,Gate8,132.72455,34.40814999999999,,POINT (132.72455 34.40814999999999),0,0,0,0,0,0,6,240.0,60.0
21,Gate9,132.72455,34.402969999999996,,POINT (132.72455 34.402969999999996),0,0,0,0,0,0,8,320.0,80.0
22,Gate10,132.72455,34.39779,,POINT (132.72455 34.39779),0,0,0,0,0,0,0,0.0,0.0
23,Gate11,132.72455,34.39260999999999,,POINT (132.72455 34.39260999999999),0,0,0,0,0,0,1,40.0,10.0
24,Gate12,132.71937,34.38743,,POINT (132.71937 34.38743),0,0,0,0,0,0,5,200.0,50.0
25,Gate13,132.71419,34.38743,,POINT (132.71419 34.38743),0,0,0,0,0,0,7,280.0,70.0
26,Gate14,132.70901,34.38743,,POINT (132.70901 34.38743),0,0,0,0,0,0,0,0.0,0.0
