agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
1,v,912,948,,,4,5,"LINESTRING(103.9705304 30.7749596,103.9769468 30.7745279)",0726
2,v,880,390,,5166935231.0,4,5,"LINESTRING(103.9713539 30.7751791,103.9776798 30.7755493)",0729
3,v,880,948,,,4,5,"LINESTRING(103.9713539 30.7751791,103.9769468 30.7745279)",0745
4,v,912,387,,5166935222.0,4,6,"LINESTRING(103.9705304 30.7749596,103.9797313 30.7748172)",0800
5,v,895,1229,,,4,6,"LINESTRING(103.9716815 30.7745465,103.9792138 30.7758598)",0750
6,v,869,1228,,,4,6,"LINESTRING(103.9696364 30.7744205,103.9795675 30.775549)",0717
7,v,916,795,,,4,6,"LINESTRING(103.9709713 30.774414,103.9791441 30.7763)",0741
8,v,903,389,,5166935226.0,4,6,"LINESTRING(103.9698741 30.7747169,103.9789056 30.7755814)",0706
9,v,862,392,,5166935233.0,4,6,"LINESTRING(103.971543 30.776316,103.9785523 30.7759684)",0756
10,v,907,384,,5166933317.0,4,6,"LINESTRING(103.9719424 30.775157,103.9797246 30.7757529)",0750
11,v,895,386,,5166933319.0,4,6,"LINESTRING(103.9716815 30.7745465,103.9791276 30.7756279)",0753
12,v,903,384,,5166933317.0,4,6,"LINESTRING(103.9698741 30.7747169,103.9797246 30.7757529)",0741
13,v,912,386,,5166933319.0,4,6,"LINESTRING(103.9705304 30.7749596,103.9791276 30.7756279)",0711
14,v,880,389,,5166935226.0,4,6,"LINESTRING(103.9713539 30.7751791,103.9789056 30.7755814)",0740
15,v,155,397,2684114214.0,5166935247.0,4,6,"LINESTRING(103.9720324 30.7756324,103.9794786 30.775223)",0750
16,v,916,795,,,4,6,"LINESTRING(103.9709713 30.774414,103.9791441 30.7763)",0723
17,v,903,795,,,4,6,"LINESTRING(103.9698741 30.7747169,103.9791441 30.7763)",0751
18,v,869,291,,4572407358.0,4,8,"LINESTRING(103.9696364 30.7744205,103.9911104 30.7755379)",0734
19,v,880,888,,,4,14,"LINESTRING(103.9713539 30.7751791,103.967455 30.773476)",0740
20,v,864,872,,,4,15,"LINESTRING(103.9683864 30.7749586,103.9720179 30.7731018)",0752
21,v,863,882,,,4,15,"LINESTRING(103.9692782 30.7752122,103.9722481 30.7738109)",0709
22,v,917,881,,,4,15,"LINESTRING(103.9701275 30.7744566,103.9706045 30.7722416)",0742
23,v,903,899,,,4,15,"LINESTRING(103.9698741 30.7747169,103.9694123 30.7731576)",0723
24,v,893,884,,,4,15,"LINESTRING(103.971466 30.7748542,103.9718881 30.7736634)",0733
25,v,862,640,,7093250501.0,4,15,"LINESTRING(103.971543 30.776316,103.9711051 30.7718693)",0717
26,v,862,892,,,4,15,"LINESTRING(103.971543 30.776316,103.9689138 30.7739018)",0707
27,v,869,639,,7093250500.0,4,15,"LINESTRING(103.9696364 30.7744205,103.9726789 30.7720029)",0728
28,v,864,911,,,4,15,"LINESTRING(103.9683864 30.7749586,103.970748 30.7733684)",0736
29,v,917,871,,,4,15,"LINESTRING(103.9701275 30.7744566,103.9695625 30.7737817)",0702
30,v,903,639,,7093250500.0,4,15,"LINESTRING(103.9698741 30.7747169,103.9726789 30.7720029)",0703
31,v,912,890,,,4,15,"LINESTRING(103.9705304 30.7749596,103.9678799 30.7729654)",0708
32,v,864,872,,,4,15,"LINESTRING(103.9683864 30.7749586,103.9720179 30.7731018)",0750
33,v,155,378,2684114214.0,5166933293.0,4,15,"LINESTRING(103.9720324 30.7756324,103.972647 30.7727942)",0733
34,v,863,889,,,4,15,"LINESTRING(103.9692782 30.7752122,103.9699137 30.7739857)",0719
35,v,885,871,,,4,15,"LINESTRING(103.9707226 30.7746983,103.9695625 30.7737817)",0722
36,v,834,867,,,4,15,"LINESTRING(103.9727235 30.7763,103.9696904 30.7729487)",0800
37,v,904,923,,,4,15,"LINESTRING(103.9720759 30.7745311,103.9690756 30.7736633)",0744
38,v,893,894,,,4,15,"LINESTRING(103.971466 30.7748542,103.9692525 30.7734206)",0742
39,v,907,378,,5166933293.0,4,15,"LINESTRING(103.9719424 30.775157,103.972647 30.7727942)",0740
40,v,861,890,,,4,15,"LINESTRING(103.9712258 30.7770377,103.9678799 30.7729654)",0715
41,v,862,919,,,4,15,"LINESTRING(103.971543 30.776316,103.9702154 30.7721596)",0720
42,v,155,897,2684114214.0,,4,15,"LINESTRING(103.9720324 30.7756324,103.9712411 30.7738543)",0746
43,v,862,1109,,,4,15,"LINESTRING(103.971543 30.776316,103.9727231 30.7705612)",0738
44,v,862,918,,,4,15,"LINESTRING(103.971543 30.776316,103.9687559 30.7741741)",0736
45,v,834,377,,5166933291.0,4,16,"LINESTRING(103.9727235 30.7763,103.9748886 30.7738943)",0739
46,v,864,372,,5166933277.0,4,16,"LINESTRING(103.9683864 30.7749586,103.9746909 30.7706064)",0757
47,v,834,858,,,4,16,"LINESTRING(103.9727235 30.7763,103.976059 30.769586)",0732
48,v,864,939,,,4,16,"LINESTRING(103.9683864 30.7749586,103.9760627 30.7728778)",0711
49,v,869,377,,5166933291.0,4,16,"LINESTRING(103.9696364 30.7744205,103.9748886 30.7738943)",0737
50,v,863,955,,,4,16,"LINESTRING(103.9692782 30.7752122,103.9771883 30.7741989)",0706
51,v,893,267,,2981056914.0,4,16,"LINESTRING(103.971466 30.7748542,103.9751607 30.7699983)",0739
52,v,893,375,,5166933283.0,4,16,"LINESTRING(103.971466 30.7748542,103.9763725 30.7718297)",0735
53,v,912,1213,,,4,16,"LINESTRING(103.9705304 30.7749596,103.9767946 30.7714056)",0718
54,v,862,1251,,,4,16,"LINESTRING(103.971543 30.776316,103.9775647 30.7720192)",0736
55,v,912,622,,7093176988.0,4,16,"LINESTRING(103.9705304 30.7749596,103.9736893 30.7711266)",0758
56,v,893,1251,,,4,16,"LINESTRING(103.971466 30.7748542,103.9775647 30.7720192)",0724
57,v,904,377,,5166933291.0,4,16,"LINESTRING(103.9720759 30.7745311,103.9748886 30.7738943)",0730
58,v,893,941,,,4,16,"LINESTRING(103.971466 30.7748542,103.9756338 30.7734821)",0749
59,v,834,959,,,4,16,"LINESTRING(103.9727235 30.7763,103.9769921 30.7732189)",0753
60,v,862,1213,,,4,16,"LINESTRING(103.971543 30.776316,103.9767946 30.7714056)",0716
