name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
四环路北段,0,37484179,755,0,1,240.52482397082434,3,59,,motorway,1,"LINESTRING (103.9622343 30.7763, 103.9618126 30.7759462, 103.9613041 30.7755189, 103.9604199 30.7748005)",bike;walk;auto,0
,1,37484182,0,1,1,43.57720967533565,3,59,,motorway,1,"LINESTRING (103.9604199 30.7748005, 103.9601088 30.7745139)",bike;walk;auto,0
四环路北段,2,37484183,2,756,1,250.79408635062657,3,59,,motorway,1,"LINESTRING (103.9606132 30.7747033, 103.9614114 30.7754105, 103.9619045 30.7758341, 103.9624669 30.7763)",bike;walk;auto,0
,3,37484185,3,2,1,43.1011477915932,3,59,,motorway,1,"LINESTRING (103.9602975 30.7744264, 103.9606132 30.7747033)",bike;walk;auto,0
,4,37484195,4,3,1,160.04025969730787,3,59,,motorway,1,"LINESTRING (103.9591684 30.7733632, 103.9602975 30.7744264)",bike;walk;auto,0
新犀路,5,42451057,757,119,1,333.79828608456586,2,29,,tertiary,5,"LINESTRING (103.9627669 30.7763, 103.9627964 30.7760928, 103.962872 30.775443, 103.9629077 30.7751083, 103.9629432 30.7748316, 103.9629791 30.7746735, 103.9630282 30.7745307, 103.9631734 30.7742467, 103.9634309 30.7738175, 103.9635263 30.773618, 103.9635907 30.7734186)",bike;walk;auto,0
新犀路,6,42451057,119,217,1,50.64017509435903,2,29,,tertiary,5,"LINESTRING (103.9635907 30.7734186, 103.9636985 30.7729727)",bike;walk;auto,0
犀安路,7,42451205,10,9,1,30.807341413130164,2,39,,secondary,4,"LINESTRING (103.9879655 30.7608698, 103.988209 30.7610514)",bike;walk;auto,0
犀安路,8,42451251,9,42,1,252.31763524741746,2,39,,secondary,4,"LINESTRING (103.988209 30.7610514, 103.9901794 30.7625621)",bike;walk;auto,0
犀安路,9,42451251,42,112,1,57.5149839737647,2,39,,secondary,4,"LINESTRING (103.9901794 30.7625621, 103.9906456 30.7628893)",bike;walk;auto,0
犀安路,10,42451251,112,572,1,410.1037622351422,2,39,,secondary,4,"LINESTRING (103.9906456 30.7628893, 103.991256 30.7633713, 103.9916939 30.7636397, 103.9922649 30.7638829, 103.992828 30.7640562, 103.9944541 30.7644512)",bike;walk;auto,0
