name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,activity_zone_id,production,attraction,activity_location_tab
,0,438361525.0,,,0.0,,motorway,0.0,103.9604199,30.7748005,,,,,0.0,0.0,
,1,438361529.0,,,0.0,,motorway,0.0,103.9601088,30.774513899999995,,,,,0.0,0.0,
,2,438361792.0,,,0.0,,motorway,0.0,103.9606132,30.7747033,,,,,0.0,0.0,
,3,438361798.0,,,0.0,,motorway,0.0,103.9602975,30.7744264,,,,,0.0,0.0,
,4,438361803.0,,,0.0,,motorway,0.0,103.9591684,30.7733632,,,,,0.0,0.0,
,5,438361810.0,,,0.0,,motorway,0.0,103.9588327,30.773047,,,,,0.0,0.0,
,6,529941316.0,,,0.0,,tertiary,0.0,103.9637959,30.77259,,,,,0.0,0.0,
,7,529941320.0,,,0.0,,tertiary,0.0,103.9625095,30.7656604,,,,,0.0,0.0,
,8,529941325.0,,,0.0,,secondary,0.0,103.9747188,30.7560765,,,,,0.0,0.0,
,9,529941752.0,,,0.0,,secondary,0.0,103.988209,30.7610514,,,,,0.0,0.0,
,10,529941753.0,,,0.0,,secondary,0.0,103.9879655,30.7608698,,,,,0.0,0.0,
,11,529941754.0,,,0.0,,residential,0.0,103.9812341,30.7559902,,,,50,20.0,20.0,residential
,12,671596005.0,,,0.0,,trunk,0.0,103.9951825,30.7633609,,,,,0.0,0.0,
,13,671596023.0,,,0.0,,secondary,0.0,103.9948597,30.764593100000006,,,,,0.0,0.0,
,14,671596029.0,,,0.0,,trunk,0.0,103.9940907,30.7664903,,,,,0.0,0.0,
,15,1830094204.0,,,0.0,,rail,0.0,103.9596673,30.7669762,,,,,0.0,0.0,
,16,2178309248.0,,,0.0,,residential,0.0,103.984422,30.761224100000003,,,,40,20.0,20.0,residential
,17,2178309259.0,,,0.0,,service,0.0,103.9881016,30.7645091,,,,,0.0,0.0,
,18,2178309265.0,,,0.0,,footway,0.0,103.9859719,30.7635887,,,,,0.0,0.0,
,19,2178309293.0,,,0.0,,service,0.0,103.987819,30.7647875,,,,,0.0,0.0,
,20,2178309301.0,,,0.0,,residential,0.0,103.9876456,30.7638697,,,,40,20.0,20.0,residential
,21,2178309316.0,,,0.0,,residential,0.0,103.9859642,30.7633748,,,,40,20.0,20.0,residential
,22,2178309343.0,,,0.0,,footway,0.0,103.9849814,30.7650891,,,,,0.0,0.0,
,23,2178309358.0,,,0.0,,footway,0.0,103.9840885,30.7659424,,,,,0.0,0.0,
,24,2178309361.0,,,0.0,,footway,0.0,103.9847159,30.7645521,,,,,0.0,0.0,
,25,2178309450.0,,,0.0,,footway,0.0,103.9853408,30.7636417,,,,,0.0,0.0,
,26,2178309452.0,,,0.0,,residential,0.0,103.9842812,30.7640559,,,,29,20.0,20.0,residential
,27,2178309477.0,,,0.0,,residential,0.0,103.9848634,30.7620606,,,,40,20.0,20.0,residential
,28,2178309550.0,,,0.0,,residential,0.0,103.9810869,30.771749600000003,,,,17,20.0,20.0,residential
,29,2178309599.0,,,0.0,,residential,0.0,103.9794281,30.7646016,,,,28,20.0,20.0,residential
,30,2178309636.0,,,0.0,,footway,0.0,103.9848232,30.7644507,,,,,0.0,0.0,
,31,2178309655.0,,,0.0,,residential,0.0,103.9813407,30.7721012,,,,17,20.0,20.0,residential
,32,2178309659.0,,,0.0,,residential,0.0,103.9869792,30.7699287,,,,18,20.0,20.0,residential
,33,2178309677.0,,,0.0,,footway,0.0,103.9841838,30.7658507,,,,,0.0,0.0,
