poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,kindergarten,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,1
1,,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
2,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
3,restaurant,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
4,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,1
5,recycling,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
6,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,1
7,marketplace,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
8,parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,1
9,public_bath,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
10,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
11,house,"1,000 Sq. Ft. GFA",1,0.1,0.44,1,1
12,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
13,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,1
14,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
15,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
16,bus_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
17,library,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
18,hospital,"1,000 Sq. Ft. GFA",1,0.97,0.1,1,1
19,college,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
