activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
1,A1,103.95483,30.77697,"POLYGON ((103.95224 30.77438,103.95224 30.77956,103.95742 30.77956,103.95742 30.77438,103.95224 30.77438))",POINT (103.95483 30.77697),0,0,0,0,0,0,0,0.0,0.0
2,A2,103.96001,30.77697,"POLYGON ((103.95742 30.77438,103.95742 30.77956,103.9626 30.77956,103.9626 30.77438,103.95742 30.77438))",POINT (103.96001 30.77697),0,0,0,0,0,0,0,0.0,0.0
3,A3,103.96518999999999,30.77697,"POLYGON ((103.9626 30.77438,103.9626 30.77956,103.96777999999999 30.77956,103.96777999999999 30.77438,103.9626 30.77438))",POINT (103.96518999999999 30.77697),0,0,0,0,0,0,0,0.0,0.0
4,A4,103.97091595882351,30.775140629411755,"POLYGON ((103.96777999999999 30.77438,103.96777999999999 30.77956,103.97295999999999 30.77956,103.97295999999999 30.77438,103.96777999999999 30.77438))",POINT (103.97091595882351 30.775140629411755),15,11,0,0,2,0,0,386.93111172643205,154.38999179685126
5,A5,103.97755579999999,30.77484705,"POLYGON ((103.97295999999999 30.77438,103.97295999999999 30.77956,103.97813999999998 30.77956,103.97813999999998 30.77438,103.97295999999999 30.77438))",POINT (103.97755579999999 30.77484705),3,0,0,0,0,0,0,45.35008538304,45.35008538304
6,A6,103.97946052105262,30.775379121052634,"POLYGON ((103.97813999999998 30.77438,103.97813999999998 30.77956,103.98331999999998 30.77956,103.98331999999998 30.77438,103.97813999999998 30.77438))",POINT (103.97946052105262 30.775379121052634),7,7,0,0,0,0,0,247.89974148166397,268.4390693339904
7,A7,103.98590999999998,30.77697,"POLYGON ((103.98331999999998 30.77438,103.98331999999998 30.77956,103.98849999999997 30.77956,103.98849999999997 30.77438,103.98331999999998 30.77438))",POINT (103.98590999999998 30.77697),0,0,0,0,0,0,0,0.0,0.0
8,A8,103.9911104,30.7755379,"POLYGON ((103.98849999999997 30.77438,103.98849999999997 30.77956,103.99367999999997 30.77956,103.99367999999997 30.77438,103.98849999999997 30.77438))",POINT (103.9911104 30.7755379),0,0,0,0,0,0,0,20.0,20.0
9,A9,103.99626999999997,30.77697,"POLYGON ((103.99367999999997 30.77438,103.99367999999997 30.77956,103.99885999999996 30.77956,103.99885999999996 30.77438,103.99367999999997 30.77438))",POINT (103.99626999999997 30.77697),0,0,0,0,0,0,0,0.0,0.0
10,A10,104.00144999999996,30.77697,"POLYGON ((103.99885999999996 30.77438,103.99885999999996 30.77956,104.00403999999996 30.77956,104.00403999999996 30.77438,103.99885999999996 30.77438))",POINT (104.00144999999996 30.77697),0,0,0,0,0,0,0,0.0,0.0
11,A11,104.00662999999996,30.77697,"POLYGON ((104.00403999999996 30.77438,104.00403999999996 30.77956,104.00921999999996 30.77956,104.00921999999996 30.77438,104.00403999999996 30.77438))",POINT (104.00662999999996 30.77697),0,0,0,0,0,0,0,0.0,0.0
12,B1,103.95483,30.771790000000003,"POLYGON ((103.95224 30.7692,103.95224 30.77438,103.95742 30.77438,103.95742 30.7692,103.95224 30.7692))",POINT (103.95483 30.771790000000003),0,0,0,0,0,0,0,0.0,0.0
13,B2,103.96001,30.771790000000003,"POLYGON ((103.95742 30.7692,103.95742 30.77438,103.9626 30.77438,103.9626 30.7692,103.95742 30.7692))",POINT (103.96001 30.771790000000003),0,0,0,0,0,0,0,0.0,0.0
14,B3,103.9675771,30.77335255,"POLYGON ((103.9626 30.7692,103.9626 30.77438,103.96777999999999 30.77438,103.96777999999999 30.7692,103.9626 30.7692))",POINT (103.9675771 30.77335255),2,2,0,0,0,0,0,1.569701053632,5.650923793075199
15,B4,103.97073457164177,30.772627046268664,"POLYGON ((103.96777999999999 30.7692,103.96777999999999 30.77438,103.97295999999999 30.77438,103.97295999999999 30.7692,103.96777999999999 30.7692))",POINT (103.97073457164177 30.772627046268664),59,46,0,0,0,0,0,364.0523105656321,441.94844818142735
16,B5,103.9760717,30.772023285,"POLYGON ((103.97295999999999 30.7692,103.97295999999999 30.77438,103.97813999999998 30.77438,103.97813999999998 30.7692,103.97295999999999 30.7692))",POINT (103.9760717 30.772023285),32,8,0,0,0,0,0,482.7673492003074,503.3538660358274
17,B6,103.9808286511628,30.77181843720929,"POLYGON ((103.97813999999998 30.7692,103.97813999999998 30.77438,103.98331999999998 30.77438,103.98331999999998 30.7692,103.97813999999998 30.7692))",POINT (103.9808286511628 30.77181843720929),14,4,0,0,1,1,0,827.8560869940734,755.1864737121024
18,B7,103.98617626491229,30.77109849122807,"POLYGON ((103.98331999999998 30.7692,103.98331999999998 30.77438,103.98849999999997 30.77438,103.98849999999997 30.7692,103.98331999999998 30.7692))",POINT (103.98617626491229 30.77109849122807),12,0,0,1,5,3,0,1545.738717558336,1040.785274407552
19,B8,103.99108999999997,30.771790000000003,"POLYGON ((103.98849999999997 30.7692,103.98849999999997 30.77438,103.99367999999997 30.77438,103.99367999999997 30.7692,103.98849999999997 30.7692))",POINT (103.99108999999997 30.771790000000003),0,0,0,0,0,0,0,0.0,0.0
