agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
1,v,9673,9783,,,1,2,"LINESTRING(-76.9586594 39.0043661,-76.9513898 39.0044573)",0746
2,v,9670,321,,50616957,1,3,"LINESTRING(-76.9588647 39.0037411,-76.947982 39.004208)",0749
3,v,9671,8341,,,1,4,"LINESTRING(-76.9585293 39.0042463,-76.9403534 39.0042931)",0719
4,v,9670,8531,,,1,5,"LINESTRING(-76.9588647 39.0037411,-76.9314885 39.0041673)",0721
5,v,9671,8621,,,1,7,"LINESTRING(-76.9585293 39.0042463,-76.9596687 38.99917)",0745
6,v,9670,9952,,,1,8,"LINESTRING(-76.9588647 39.0037411,-76.9511461 39.0034098)",0717
7,v,9671,10005,,,1,9,"LINESTRING(-76.9585293 39.0042463,-76.9466562 39.0001612)",0757
8,v,9672,8888,,,1,10,"LINESTRING(-76.9584932 39.0042869,-76.9364456 38.9985438)",0702
9,v,9673,305,,50574968,1,11,"LINESTRING(-76.9586594 39.0043661,-76.9323024 38.9985824)",0730
10,v,9670,10696,,,1,13,"LINESTRING(-76.9588647 39.0037411,-76.9572613 38.9911231)",0753
11,v,9670,8166,,,1,14,"LINESTRING(-76.9588647 39.0037411,-76.952974 38.9971326)",0725
12,v,9884,8110,,,1,15,"LINESTRING(-76.9591241 39.0045816,-76.9442824 38.9920852)",0725
13,v,9673,8921,,,1,16,"LINESTRING(-76.9586594 39.0043661,-76.9383095 38.9922528)",0800
14,v,9884,8282,,,1,17,"LINESTRING(-76.9591241 39.0045816,-76.933216 38.991683)",0751
15,v,9671,10160,,,1,19,"LINESTRING(-76.9585293 39.0042463,-76.9583386 38.986449)",0710
16,v,9671,840,,253436287,1,20,"LINESTRING(-76.9585293 39.0042463,-76.9490118 38.985165)",0715
17,v,9670,8962,,,1,21,"LINESTRING(-76.9588647 39.0037411,-76.9443168 38.9905005)",0705
18,v,9670,10681,,,1,22,"LINESTRING(-76.9588647 39.0037411,-76.9380372 38.9895806)",0728
19,v,9672,146,,50404446,1,23,"LINESTRING(-76.9584932 39.0042869,-76.9340864 38.9852181)",0728
20,v,9671,8395,,,1,24,"LINESTRING(-76.9585293 39.0042463,-76.9295583 38.9909648)",0704
21,v,9672,10526,,,1,25,"LINESTRING(-76.9584932 39.0042869,-76.957492 38.9785479)",0745
22,v,9884,10491,,,1,26,"LINESTRING(-76.9591241 39.0045816,-76.9536647 38.980571)",0744
23,v,9673,10450,,,1,27,"LINESTRING(-76.9586594 39.0043661,-76.9471676 38.9789316)",0714
24,v,9671,7992,,,1,28,"LINESTRING(-76.9585293 39.0042463,-76.9405665 38.9815983)",0753
25,v,9672,271,,50550545,1,29,"LINESTRING(-76.9584932 39.0042869,-76.9356537 38.9791031)",0705
26,v,9672,8177,,,1,30,"LINESTRING(-76.9584932 39.0042869,-76.9280749 38.9833154)",0753
27,v,9884,10122,,,1,31,"LINESTRING(-76.9591241 39.0045816,-76.9560505 38.977829)",0720
28,v,9672,8315,,,1,32,"LINESTRING(-76.9584932 39.0042869,-76.9509528 38.9772681)",0721
29,v,9673,9247,,,1,33,"LINESTRING(-76.9586594 39.0043661,-76.944801 38.9780098)",0704
30,v,9670,195,,50489281,1,34,"LINESTRING(-76.9588647 39.0037411,-76.942113 38.978305)",0742
31,v,9671,9521,,,1,35,"LINESTRING(-76.9585293 39.0042463,-76.9316299 38.9771152)",0720
32,v,9673,10675,,,1,36,"LINESTRING(-76.9586594 39.0043661,-76.9294298 38.977771)",0716
33,v,9673,7759,,,1,37,"LINESTRING(-76.9586594 39.0043661,-76.9591 38.9780857)",0724
34,v,9670,7185,,6580832468,1,38,"LINESTRING(-76.9588647 39.0037411,-76.9557448 38.9843416)",0736
35,v,9672,2056,,269555850,1,39,"LINESTRING(-76.9584932 39.0042869,-76.9460527 38.9890221)",0728
36,v,9671,4946,,5547857884,1,40,"LINESTRING(-76.9585293 39.0042463,-76.9464344 38.9929029)",0734
37,v,9672,168,,50454634,1,41,"LINESTRING(-76.9584932 39.0042869,-76.9552394 39.0009356)",0702
38,v,9672,7748,,,1,42,"LINESTRING(-76.9584932 39.0042869,-76.9585139 39.0049)",0740
39,v,9673,3630,,2438344709,1,44,"LINESTRING(-76.9586594 39.0043661,-76.9547709 39.0044634)",0732
40,v,9671,6122,,6533007737,1,45,"LINESTRING(-76.9585293 39.0042463,-76.9422568 38.9923428)",0759
41,v,9673,2177,,269716849,1,46,"LINESTRING(-76.9586594 39.0043661,-76.9391091 38.9970023)",0724
42,v,9672,7804,,,1,47,"LINESTRING(-76.9584932 39.0042869,-76.9297 39.0047604)",0735
43,v,9670,7822,,,1,50,"LINESTRING(-76.9588647 39.0037411,-76.9297 39.0004779)",0749
44,v,9672,6607,,6545931394,1,51,"LINESTRING(-76.9584932 39.0042869,-76.9379786 38.9928591)",0721
45,v,9670,4633,,5521008084,1,52,"LINESTRING(-76.9588647 39.0037411,-76.9337576 38.9854909)",0727
46,v,9673,2951,,280522142,1,53,"LINESTRING(-76.9586594 39.0043661,-76.9329256 38.9836592)",0741
47,v,9884,7795,,,1,56,"LINESTRING(-76.9591241 39.0045816,-76.9332698 38.9766)",0704
48,v,9673,7797,,,1,57,"LINESTRING(-76.9586594 39.0043661,-76.937752 38.9766)",0736
49,v,9673,6624,,6547692308,1,58,"LINESTRING(-76.9586594 39.0043661,-76.9445957 38.9877505)",0800
50,v,9671,7842,,,1,59,"LINESTRING(-76.9585293 39.0042463,-76.952731 38.9766)",0742
51,v,9689,9671,,,2,1,"LINESTRING(-76.9487326 39.0049615,-76.9585293 39.0042463)",0729
52,v,9761,9873,,,2,3,"LINESTRING(-76.9500026 39.0039637,-76.9481901 39.0037914)",0747
53,v,9857,10029,,,2,3,"LINESTRING(-76.9507382 39.0041276,-76.9475039 39.0041567)",0748
54,v,8337,8338,,,2,3,"LINESTRING(-76.9541291 39.0047482,-76.942753 39.0044286)",0731
55,v,9689,8543,,,2,3,"LINESTRING(-76.9487326 39.0049615,-76.9455159 39.0044156)",0712
56,v,9824,8425,,,2,4,"LINESTRING(-76.9522574 39.0038786,-76.9401493 39.0041845)",0704
57,v,9847,8525,,,2,5,"LINESTRING(-76.9522451 39.0041903,-76.9317922 39.0043071)",0713
58,v,9784,8501,,,2,5,"LINESTRING(-76.9486137 39.004409,-76.9315033 39.0038233)",0732
59,v,9876,8361,,,2,7,"LINESTRING(-76.9520524 39.0040502,-76.9556352 39.0020247)",0749
60,v,8336,8361,,,2,7,"LINESTRING(-76.9544548 39.0037088,-76.9556352 39.0020247)",0723
61,v,9846,9893,,,2,8,"LINESTRING(-76.9504836 39.0041921,-76.9497434 38.9997754)",0745
62,v,9678,8710,,,2,8,"LINESTRING(-76.9505725 39.0045946,-76.9499535 38.9984758)",0713
63,v,9698,9801,,,2,8,"LINESTRING(-76.9499422 39.0048629,-76.9497831 39.0005386)",0705
64,v,215,9980,50512149,,2,8,"LINESTRING(-76.951761 39.004492,-76.9496578 39.0033295)",0747
65,v,9713,9709,,,2,8,"LINESTRING(-76.9500015 39.0041213,-76.9494423 39.0032099)",0704
66,v,9935,8588,,,2,9,"LINESTRING(-76.9503249 39.0037084,-76.9484243 38.9983841)",0723
67,v,215,8676,50512149,,2,9,"LINESTRING(-76.951761 39.004492,-76.946956 38.9994003)",0732
68,v,9843,9953,,,2,9,"LINESTRING(-76.9487939 39.0043154,-76.9467605 39.0033781)",0719
69,v,9852,10612,,,2,9,"LINESTRING(-76.9519094 39.0042476,-76.9449162 38.9999456)",0722
70,v,9737,9707,,,2,9,"LINESTRING(-76.9524199 39.0040014,-76.9483339 39.0032928)",0754
71,v,9713,8605,,,2,9,"LINESTRING(-76.9500015 39.0041213,-76.9482627 38.9988661)",0722
72,v,9944,258,,50542001,2,10,"LINESTRING(-76.9510837 39.0044969,-76.9412039 39.0006757)",0704
73,v,9888,10672,,,2,10,"LINESTRING(-76.9507455 39.0037364,-76.9418572 39.0013029)",0716
74,v,9691,8506,,,2,10,"LINESTRING(-76.9494521 39.0048038,-76.9402826 39.0004849)",0709
75,v,9871,8835,,,2,10,"LINESTRING(-76.9509941 39.0038526,-76.9379062 38.9996141)",0739
76,v,322,8533,50616958,,2,11,"LINESTRING(-76.94867 39.004705,-76.932714 39.0023664)",0713
77,v,9888,8780,,,2,11,"LINESTRING(-76.9507455 39.0037364,-76.9318987 38.9994395)",0702
78,v,9679,414,,50829637,2,11,"LINESTRING(-76.9508195 39.0045572,-76.9318636 39.0019432)",0800
79,v,9853,414,,50829637,2,11,"LINESTRING(-76.9489456 39.0041736,-76.9318636 39.0019432)",0744
80,v,9935,8907,,,2,11,"LINESTRING(-76.9503249 39.0037084,-76.9297331 38.9978314)",0729
81,v,9737,8745,,,2,13,"LINESTRING(-76.9524199 39.0040014,-76.9587235 38.9914156)",0722
82,v,9737,8104,,,2,14,"LINESTRING(-76.9524199 39.0040014,-76.9487218 38.9917939)",0726
83,v,9762,8258,,,2,14,"LINESTRING(-76.9489444 39.0040338,-76.9504291 38.9932603)",0714
84,v,9853,5566,,6484425420,2,15,"LINESTRING(-76.9489456 39.0041736,-76.9476269 38.991873)",0703
85,v,9944,8190,,,2,15,"LINESTRING(-76.9510837 39.0044969,-76.9433159 38.9956335)",0714
86,v,9846,8109,,,2,15,"LINESTRING(-76.9504836 39.0041921,-76.9442851 38.9925133)",0735
87,v,9824,5150,,5702313158,2,15,"LINESTRING(-76.9522574 39.0038786,-76.9433373 38.9914532)",0722
88,v,9699,7923,,,2,15,"LINESTRING(-76.950033 39.0047318,-76.9430464 38.992208)",0705
89,v,9877,7907,,,2,15,"LINESTRING(-76.9503108 39.0040262,-76.9464978 38.9933884)",0703
90,v,9877,7881,,,2,15,"LINESTRING(-76.9503108 39.0040262,-76.9433458 38.9950323)",0740
91,v,9761,8090,,,2,16,"LINESTRING(-76.9500026 39.0039637,-76.9364759 38.9955696)",0704
92,v,8337,8958,,,2,16,"LINESTRING(-76.9541291 39.0047482,-76.9365254 38.9918684)",0720
93,v,9875,7894,,,2,16,"LINESTRING(-76.9491204 39.0040633,-76.9421256 38.9922688)",0726
94,v,9877,8070,,,2,16,"LINESTRING(-76.9503108 39.0040262,-76.9404709 38.9924135)",0712
95,v,9853,1005,,255334004,2,16,"LINESTRING(-76.9489456 39.0041736,-76.9374132 38.9936548)",0703
96,v,9738,8059,,,2,16,"LINESTRING(-76.9509537 39.0039881,-76.9411042 38.9969899)",0721
97,v,9712,3516,,2189168649,2,16,"LINESTRING(-76.9498306 39.0040704,-76.9406834 38.9914262)",0714
98,v,9886,8957,,,2,17,"LINESTRING(-76.9489913 39.0037137,-76.9309934 38.9928645)",0751
99,v,9918,4777,,5521008632,2,17,"LINESTRING(-76.9491102 39.003884,-76.931913 38.9934442)",0759
100,v,9935,8945,,,2,17,"LINESTRING(-76.9503249 39.0037084,-76.9302432 38.992198)",0757
101,v,9761,8983,,,2,17,"LINESTRING(-76.9500026 39.0039637,-76.9299776 38.992906)",0715
102,v,9685,8968,,,2,17,"LINESTRING(-76.9496426 39.0042662,-76.930708 38.9938736)",0721
103,v,9876,8273,,,2,17,"LINESTRING(-76.9520524 39.0040502,-76.9333973 38.9916496)",0725
104,v,9699,3327,,1653488410,2,17,"LINESTRING(-76.950033 39.0047318,-76.9333218 38.9919306)",0719
105,v,215,158,50512149,50434405,2,17,"LINESTRING(-76.951761 39.004492,-76.9326675 38.9915662)",0712
106,v,9846,8988,,,2,17,"LINESTRING(-76.9504836 39.0041921,-76.9296765 38.9967914)",0740
107,v,9738,10089,,,2,19,"LINESTRING(-76.9509537 39.0039881,-76.9585038 38.9858362)",0709
108,v,9739,10107,,,2,19,"LINESTRING(-76.9502964 39.0039797,-76.958465 38.9877266)",0719
109,v,9698,10086,,,2,19,"LINESTRING(-76.9499422 39.0048629,-76.9579136 38.9876373)",0705
110,v,9877,5168,,5702391138,2,19,"LINESTRING(-76.9503108 39.0040262,-76.9556293 38.9849403)",0715
111,v,216,4534,50512152,5074756203,2,20,"LINESTRING(-76.951522 39.004167,-76.9490045 38.9862553)",0736
112,v,9919,4020,,3732371541,2,20,"LINESTRING(-76.9486513 39.0039545,-76.9490125 38.9890587)",0702
113,v,9679,9,,50162450,2,20,"LINESTRING(-76.9508195 39.0045572,-76.952286 38.986175)",0725
114,v,9761,10061,,,2,20,"LINESTRING(-76.9500026 39.0039637,-76.9498539 38.9879971)",0743
115,v,9683,4531,,5074756199,2,20,"LINESTRING(-76.9503297 39.0046614,-76.9490129 38.9854121)",0754
116,v,9931,39,,50194004,2,20,"LINESTRING(-76.9507456 39.0037724,-76.949423 38.98996)",0704
117,v,9871,10642,,,2,20,"LINESTRING(-76.9509941 39.0038526,-76.9533495 38.9882339)",0702
118,v,9931,4017,,3732371538,2,20,"LINESTRING(-76.9507456 39.0037724,-76.949444 38.9871896)",0703
119,v,9678,9,,50162450,2,20,"LINESTRING(-76.9505725 39.0045946,-76.952286 38.986175)",0734
120,v,9684,715,,251636065,2,21,"LINESTRING(-76.9499347 39.0043239,-76.9453245 38.9887172)",0704
121,v,9738,7913,,,2,21,"LINESTRING(-76.9509537 39.0039881,-76.944568 38.9852295)",0755
122,v,9886,8784,,,2,21,"LINESTRING(-76.9489913 39.0037137,-76.9457262 38.990624)",0728
123,v,9796,7939,,,2,21,"LINESTRING(-76.9524218 39.0037143,-76.9463639 38.9897685)",0748
124,v,9931,7888,,,2,21,"LINESTRING(-76.9507456 39.0037724,-76.947653 38.9852091)",0758
125,v,9824,3713,,2501305997,2,21,"LINESTRING(-76.9522574 39.0038786,-76.9471928 38.9890567)",0713
126,v,9737,7957,,,2,21,"LINESTRING(-76.9524199 39.0040014,-76.9453003 38.9855351)",0739
127,v,216,7941,50512152,,2,22,"LINESTRING(-76.951522 39.004167,-76.9409724 38.9909194)",0721
128,v,8337,386,,50737663,2,22,"LINESTRING(-76.9541291 39.0047482,-76.9406471 38.9890544)",0726
129,v,9897,7955,,,2,22,"LINESTRING(-76.951086 39.0040664,-76.941386 38.9848626)",0734
130,v,9697,9061,,,2,22,"LINESTRING(-76.949765 39.0048368,-76.9410535 38.9883008)",0716
131,v,9874,5024,,5689514524,2,22,"LINESTRING(-76.9515903 39.0037909,-76.9387484 38.9901612)",0721
132,v,9918,8131,,,2,22,"LINESTRING(-76.9491102 39.003884,-76.9409602 38.9894845)",0738
133,v,9687,10680,,,2,22,"LINESTRING(-76.9505964 39.0047723,-76.938579 38.9895782)",0715
134,v,9824,7921,,,2,22,"LINESTRING(-76.9522574 39.0038786,-76.9383334 38.9895714)",0747
135,v,9852,8950,,,2,23,"LINESTRING(-76.9519094 39.0042476,-76.9335499 38.9901608)",0709
136,v,9853,6682,,6549790472,2,23,"LINESTRING(-76.9489456 39.0041736,-76.9341052 38.9873962)",0733
137,v,322,8415,50616958,,2,23,"LINESTRING(-76.94867 39.004705,-76.9329426 38.9899889)",0714
138,v,9888,4217,,3789629326,2,23,"LINESTRING(-76.9507455 39.0037364,-76.9328725 38.9904939)",0717
139,v,9857,10637,,,2,23,"LINESTRING(-76.9507382 39.0041276,-76.9350956 38.9847805)",0748
140,v,9877,145,,50394763,2,23,"LINESTRING(-76.9503108 39.0040262,-76.929819 38.990626)",0743
141,v,9897,4051,,3732371589,2,23,"LINESTRING(-76.951086 39.0040664,-76.9341613 38.9850687)",0720
142,v,9845,8413,,,2,23,"LINESTRING(-76.9502083 39.0042502,-76.9322744 38.9908219)",0740
143,v,9738,8073,,,2,23,"LINESTRING(-76.9509537 39.0039881,-76.9356166 38.9858468)",0709
144,v,9857,8395,,,2,24,"LINESTRING(-76.9507382 39.0041276,-76.9295583 38.9909648)",0721
145,v,9845,10104,,,2,25,"LINESTRING(-76.9502083 39.0042502,-76.9560212 38.9837377)",0751
146,v,9684,5177,,5702401139,2,25,"LINESTRING(-76.9499347 39.0043239,-76.9550969 38.9824097)",0710
147,v,9684,10284,,,2,25,"LINESTRING(-76.9499347 39.0043239,-76.9585944 38.9811786)",0722
148,v,9931,6615,,6546340055,2,25,"LINESTRING(-76.9507456 39.0037724,-76.9553919 38.9784767)",0748
149,v,9737,10184,,,2,25,"LINESTRING(-76.9524199 39.0040014,-76.9552499 38.9817931)",0733
150,v,9935,10435,,,2,25,"LINESTRING(-76.9503249 39.0037084,-76.9590938 38.9790344)",0714
151,v,9697,10463,,,2,26,"LINESTRING(-76.949765 39.0048368,-76.9516972 38.9787293)",0733
152,v,8336,10493,,,2,26,"LINESTRING(-76.9544548 39.0037088,-76.949136 38.9797662)",0752
153,v,216,10225,50512152,,2,26,"LINESTRING(-76.951522 39.004167,-76.9543231 38.980538)",0727
154,v,9691,10177,,,2,26,"LINESTRING(-76.9494521 39.0048038,-76.9536737 38.9803533)",0709
155,v,9919,10257,,,2,26,"LINESTRING(-76.9486513 39.0039545,-76.9492474 38.9834555)",0720
156,v,9944,10222,,,2,26,"LINESTRING(-76.9510837 39.0044969,-76.9516113 38.9804496)",0713
157,v,9712,9412,,,2,27,"LINESTRING(-76.9498306 39.0040704,-76.9447609 38.9784118)",0800
158,v,9783,8363,,,2,27,"LINESTRING(-76.9513898 39.0044573,-76.9446028 38.9842066)",0729
159,v,9874,10317,,,2,27,"LINESTRING(-76.9515903 39.0037909,-76.945947 38.9797995)",0733
160,v,9917,7966,,,2,27,"LINESTRING(-76.9501599 39.0038308,-76.9445222 38.982743)",0742
