poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,cafe,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
2,greenhouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,0
4,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.15,0,1
5,fast_food,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
6,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,bar,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,university;yes,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
9,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,0
10,ice_cream,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,library,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
12,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
13,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,public,"1,000 Sq. Ft. GFA",1,0.11,0.11,1,1
15,bank,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,0
17,pharmacy,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
18,smoking_area,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
19,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,childcare,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,0
21,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
22,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
23,bench,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
24,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,arts_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
26,office,"1,000 Sq. Ft. GFA",1,1.15,0.1,1,0
27,silo,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
28,parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,0
29,theatre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
30,house,"1,000 Sq. Ft. GFA",1,0.1,0.44,0,1
31,post_office,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
32,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
33,waste_disposal,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
35,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
36,motorcycle_parking,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
37,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
38,barn,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,bleachers,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
40,fire_station,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,0
41,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
42,restaurant,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
43,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
44,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
