activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
1,A1,-76.95873414,39.00424439999999,"POLYGON ((-76.96126 39.003679999999996,-76.96126 39.01002,-76.95492 39.01002,-76.95492 39.003679999999996,-76.96126 39.003679999999996))",POINT (-76.95873414 39.00424439999999),5,0,0,0,0,0,0,2.16569877248,2.16569877248
2,A2,-76.95036411428575,39.004214964285715,"POLYGON ((-76.95492 39.003679999999996,-76.95492 39.01002,-76.94858 39.01002,-76.94858 39.003679999999996,-76.95492 39.003679999999996))",POINT (-76.95036411428575 39.004214964285715),52,0,0,0,0,1,0,213.69492516841606,182.02626292192005
3,A3,-76.94582264545453,39.00425853409091,"POLYGON ((-76.94858 39.003679999999996,-76.94858 39.01002,-76.94224000000001 39.01002,-76.94224000000001 39.003679999999996,-76.94858 39.003679999999996))",POINT (-76.94582264545453 39.00425853409091),33,0,0,0,0,1,0,382.0317588814271,370.7748290933759
4,A4,-76.9388650125,39.00411125,"POLYGON ((-76.94224000000001 39.003679999999996,-76.94224000000001 39.01002,-76.93590000000002 39.01002,-76.93590000000002 39.003679999999996,-76.94224000000001 39.003679999999996))",POINT (-76.9388650125 39.00411125),8,0,0,0,0,0,0,90.5998338368,90.5998338368
5,A5,-76.93204024571428,39.00423928,"POLYGON ((-76.93590000000002 39.003679999999996,-76.93590000000002 39.01002,-76.92956000000002 39.01002,-76.92956000000002 39.003679999999996,-76.93590000000002 39.003679999999996))",POINT (-76.93204024571428 39.00423928),29,1,0,0,0,1,0,186.85088012575994,192.95554579783675
6,A6,-76.92639000000003,39.00685,"POLYGON ((-76.92956000000002 39.003679999999996,-76.92956000000002 39.01002,-76.92322000000003 39.01002,-76.92322000000003 39.003679999999996,-76.92956000000002 39.003679999999996))",POINT (-76.92639000000003 39.00685),0,0,0,0,0,0,0,0.0,0.0
7,B1,-76.95717276666667,39.00122602222221,"POLYGON ((-76.96126 38.997339999999994,-76.96126 39.003679999999996,-76.95492 39.003679999999996,-76.95492 38.997339999999994,-76.96126 38.997339999999994))",POINT (-76.95717276666667 39.00122602222221),9,0,0,0,2,2,0,561.4970071918016,125.55961550764802
8,B2,-76.95007293970046,39.00092365430711,"POLYGON ((-76.95492 38.997339999999994,-76.95492 39.003679999999996,-76.94858 39.003679999999996,-76.94858 38.997339999999994,-76.95492 38.997339999999994))",POINT (-76.95007293970046 39.00092365430711),254,0,0,0,0,0,0,500.6261406009603,500.6261406009603
9,B3,-76.94677678541669,39.00072645750002,"POLYGON ((-76.94858 38.997339999999994,-76.94858 39.003679999999996,-76.94224000000001 39.003679999999996,-76.94224000000001 38.997339999999994,-76.94858 38.997339999999994))",POINT (-76.94677678541669 39.00072645750002),219,2,0,0,0,16,0,844.491415337747,718.5218563025151
10,B4,-76.93881352142857,38.99965555357142,"POLYGON ((-76.94224000000001 38.997339999999994,-76.94224000000001 39.003679999999996,-76.93590000000002 39.003679999999996,-76.93590000000002 38.997339999999994,-76.94224000000001 38.997339999999994))",POINT (-76.93881352142857 38.99965555357142),94,5,0,0,3,3,0,533.5358818718142,485.1030319563007
11,B5,-76.9317973234375,39.00001651093748,"POLYGON ((-76.93590000000002 38.997339999999994,-76.93590000000002 39.003679999999996,-76.92956000000002 39.003679999999996,-76.92956000000002 38.997339999999994,-76.93590000000002 38.997339999999994))",POINT (-76.9317973234375 39.00001651093748),103,1,0,0,0,7,0,715.7524658922238,690.0212089140988
12,B6,-76.92639000000003,39.00050999999999,"POLYGON ((-76.92956000000002 38.997339999999994,-76.92956000000002 39.003679999999996,-76.92322000000003 39.003679999999996,-76.92322000000003 38.997339999999994,-76.92956000000002 38.997339999999994))",POINT (-76.92639000000003 39.00050999999999),0,0,0,0,0,0,0,0.0,0.0
13,C1,-76.95836572250002,38.991998015,"POLYGON ((-76.96126 38.99099999999999,-76.96126 38.997339999999994,-76.95492 38.997339999999994,-76.95492 38.99099999999999,-76.96126 38.99099999999999))",POINT (-76.95836572250002 38.991998015),37,0,0,0,0,0,0,116.33938342463998,116.33938342463998
14,C2,-76.95019599032256,38.99319283225807,"POLYGON ((-76.95492 38.99099999999999,-76.95492 38.997339999999994,-76.94858 38.997339999999994,-76.94858 38.99099999999999,-76.95492 38.99099999999999))",POINT (-76.95019599032256 38.99319283225807),26,2,0,0,3,8,0,230.78786206713602,147.06948226033927
15,C3,-76.94498726111112,38.99309022999998,"POLYGON ((-76.94858 38.99099999999999,-76.94858 38.997339999999994,-76.94224000000001 38.997339999999994,-76.94224000000001 38.99099999999999,-76.94858 38.99099999999999))",POINT (-76.94498726111112 38.99309022999998),55,1,0,0,14,22,0,1360.559158287321,906.5289571817469
16,C4,-76.93948440595238,38.993131823809534,"POLYGON ((-76.94224000000001 38.99099999999999,-76.94224000000001 38.997339999999994,-76.93590000000002 38.997339999999994,-76.93590000000002 38.99099999999999,-76.94224000000001 38.99099999999999))",POINT (-76.93948440595238 38.993131823809534),58,0,0,0,9,22,0,1553.2831180871872,926.6512779490558
17,C5,-76.9312267560241,38.99399702228916,"POLYGON ((-76.93590000000002 38.99099999999999,-76.93590000000002 38.997339999999994,-76.92956000000002 38.997339999999994,-76.92956000000002 38.99099999999999,-76.93590000000002 38.99099999999999))",POINT (-76.9312267560241 38.99399702228916),128,3,0,2,0,7,0,1242.7110171032386,1184.7430647989893
18,C6,-76.92639000000003,38.99417,"POLYGON ((-76.92956000000002 38.99099999999999,-76.92956000000002 38.997339999999994,-76.92322000000003 38.997339999999994,-76.92322000000003 38.99099999999999,-76.92956000000002 38.99099999999999))",POINT (-76.92639000000003 38.99417),0,0,0,0,0,0,0,0.0,0.0
19,D1,-76.95812894567898,38.987225932098745,"POLYGON ((-76.96126 38.98465999999999,-76.96126 38.99099999999999,-76.95492 38.99099999999999,-76.95492 38.98465999999999,-76.96126 38.98465999999999))",POINT (-76.95812894567898 38.987225932098745),66,0,0,0,0,2,0,471.468339198272,442.16004104384007
20,D2,-76.950489419403,38.98782845820896,"POLYGON ((-76.95492 38.98465999999999,-76.95492 38.99099999999999,-76.94858 38.99099999999999,-76.94858 38.98465999999999,-76.95492 38.98465999999999))",POINT (-76.950489419403 38.98782845820896),31,0,0,0,4,14,0,1673.9390300082944,1120.289161068032
21,D3,-76.94531323434344,38.98785562626262,"POLYGON ((-76.94858 38.98465999999999,-76.94858 38.99099999999999,-76.94224000000001 38.99099999999999,-76.94224000000001 38.98465999999999,-76.94858 38.98465999999999))",POINT (-76.94531323434344 38.98785562626262),67,0,0,0,30,10,0,1821.76296308027,861.7305802697282
22,D4,-76.93938052500002,38.988425577499996,"POLYGON ((-76.94224000000001 38.98465999999999,-76.94224000000001 38.99099999999999,-76.93590000000002 38.99099999999999,-76.93590000000002 38.98465999999999,-76.94224000000001 38.98465999999999))",POINT (-76.93938052500002 38.988425577499996),76,1,0,0,29,25,0,2297.377028734304,1072.3522628781436
23,D5,-76.93356551494254,38.98797093448277,"POLYGON ((-76.93590000000002 38.98465999999999,-76.93590000000002 38.99099999999999,-76.92956000000002 38.99099999999999,-76.92956000000002 38.98465999999999,-76.93590000000002 38.98465999999999))",POINT (-76.93356551494254 38.98797093448277),33,4,0,1,1,11,0,1503.6386983558598,1271.9915642406404
24,D6,-76.9295583,38.9909648,"POLYGON ((-76.92956000000002 38.98465999999999,-76.92956000000002 38.99099999999999,-76.92322000000003 38.99099999999999,-76.92322000000003 38.98465999999999,-76.92956000000002 38.98465999999999))",POINT (-76.9295583 38.9909648),1,1,0,0,0,0,0,2.140726500352,7.706615401267199
25,E1,-76.95694939190034,38.98134032679128,"POLYGON ((-76.96126 38.97831999999999,-76.96126 38.98465999999999,-76.95492 38.98465999999999,-76.95492 38.97831999999999,-76.96126 38.97831999999999))",POINT (-76.95694939190034 38.98134032679128),294,1,0,0,0,3,0,880.5312565755453,876.4568258635645
26,E2,-76.95221796182797,38.98066040645161,"POLYGON ((-76.95492 38.97831999999999,-76.95492 38.98465999999999,-76.94858 38.98465999999999,-76.94858 38.97831999999999,-76.95492 38.97831999999999))",POINT (-76.95221796182797 38.98066040645161),168,3,0,0,1,1,0,1393.4940584392962,798.2886279801983
